"","date","ENTA"
"1","2013-03-21",17.18
"2","2013-03-22",16.809999
"3","2013-03-25",16.83
"4","2013-03-26",17.09
"5","2013-03-27",17.09
"6","2013-03-28",18.200001
"7","2013-04-01",19.93
"8","2013-04-02",20.16
"9","2013-04-03",19.93
"10","2013-04-04",19.84
"11","2013-04-05",20.34
"12","2013-04-08",20.799999
"13","2013-04-09",20.65
"14","2013-04-10",21.690001
"15","2013-04-11",21.120001
"16","2013-04-12",19.68
"17","2013-04-15",20.35
"18","2013-04-16",20
"19","2013-04-17",19.9
"20","2013-04-18",20.639999
"21","2013-04-19",20.129999
"22","2013-04-22",20.43
"23","2013-04-23",20.99
"24","2013-04-24",21.01
"25","2013-04-25",18.52
"26","2013-04-26",20.620001
"27","2013-04-29",20.43
"28","2013-04-30",19.959999
"29","2013-05-01",19.73
"30","2013-05-02",19.57
"31","2013-05-03",19.370001
"32","2013-05-06",19.9
"33","2013-05-07",19.92
"34","2013-05-08",20.07
"35","2013-05-09",20.049999
"36","2013-05-10",19.9
"37","2013-05-13",19.790001
"38","2013-05-14",19.76
"39","2013-05-15",20.4
"40","2013-05-16",20.85
"41","2013-05-17",20.879999
"42","2013-05-20",20.700001
"43","2013-05-21",20.4
"44","2013-05-22",20.059999
"45","2013-05-23",19.860001
"46","2013-05-24",20
"47","2013-05-28",19.950001
"48","2013-05-29",19.780001
"49","2013-05-30",19.5
"50","2013-05-31",19.48
"51","2013-06-03",18.969999
"52","2013-06-04",18.57
"53","2013-06-05",18.889999
"54","2013-06-06",18.75
"55","2013-06-07",18.799999
"56","2013-06-10",18.82
"57","2013-06-11",18.76
"58","2013-06-12",18.16
"59","2013-06-13",17.450001
"60","2013-06-14",16.870001
"61","2013-06-17",16.49
"62","2013-06-18",17.719999
"63","2013-06-19",17.74
"64","2013-06-20",17.469999
"65","2013-06-21",17.6
"66","2013-06-24",17.889999
"67","2013-06-25",18
"68","2013-06-26",18.200001
"69","2013-06-27",17.99
"70","2013-06-28",17.709999
"71","2013-07-01",17.290001
"72","2013-07-02",17.52
"73","2013-07-03",17.24
"74","2013-07-05",17.379999
"75","2013-07-08",17.700001
"76","2013-07-09",18.1
"77","2013-07-10",19
"78","2013-07-11",18.290001
"79","2013-07-12",17.799999
"80","2013-07-15",17.959999
"81","2013-07-16",17.690001
"82","2013-07-17",18.700001
"83","2013-07-18",18.190001
"84","2013-07-19",17.65
"85","2013-07-22",17.440001
"86","2013-07-23",17.200001
"87","2013-07-24",17.190001
"88","2013-07-25",17.440001
"89","2013-07-26",17.370001
"90","2013-07-29",16.98
"91","2013-07-30",17.01
"92","2013-07-31",18.34
"93","2013-08-01",19.18
"94","2013-08-02",18.93
"95","2013-08-05",19.1
"96","2013-08-06",18.92
"97","2013-08-07",18.09
"98","2013-08-08",17.690001
"99","2013-08-09",17.67
"100","2013-08-12",18.870001
"101","2013-08-13",18.98
"102","2013-08-14",18.709999
"103","2013-08-15",19.02
"104","2013-08-16",18.58
"105","2013-08-19",18.719999
"106","2013-08-20",18.799999
"107","2013-08-21",19.049999
"108","2013-08-22",18.98
"109","2013-08-23",18.5
"110","2013-08-26",18.67
"111","2013-08-27",18.440001
"112","2013-08-28",18.67
"113","2013-08-29",18.6
"114","2013-08-30",18.58
"115","2013-09-03",18.74
"116","2013-09-04",18.870001
"117","2013-09-05",18.98
"118","2013-09-06",18.610001
"119","2013-09-09",18.77
"120","2013-09-10",19.290001
"121","2013-09-11",19.620001
"122","2013-09-12",19.610001
"123","2013-09-13",19.09
"124","2013-09-16",19.129999
"125","2013-09-17",21.389999
"126","2013-09-18",22.42
"127","2013-09-19",24.75
"128","2013-09-20",25
"129","2013-09-23",23.59
"130","2013-09-24",22.950001
"131","2013-09-25",22.75
"132","2013-09-26",23.290001
"133","2013-09-27",23.01
"134","2013-09-30",22.92
"135","2013-10-01",23.709999
"136","2013-10-02",23.27
"137","2013-10-03",22.74
"138","2013-10-04",21.84
"139","2013-10-07",21.66
"140","2013-10-08",20.9
"141","2013-10-09",20.559999
