"","date","NKTX"
"1","2020-07-10",47.900002
"2","2020-07-13",38.52
"3","2020-07-14",36.049999
"4","2020-07-15",36.549999
"5","2020-07-16",36.349998
"6","2020-07-17",37.02
"7","2020-07-20",36.389999
"8","2020-07-21",33.599998
"9","2020-07-22",30.85
"10","2020-07-23",30.35
"11","2020-07-24",28.700001
"12","2020-07-27",27.690001
"13","2020-07-28",27.219999
"14","2020-07-29",26.459999
"15","2020-07-30",27.219999
"16","2020-07-31",25.75
"17","2020-08-03",26.58
"18","2020-08-04",26.23
"19","2020-08-05",25.219999
"20","2020-08-06",24.889999
"21","2020-08-07",24
"22","2020-08-10",23.52
"23","2020-08-11",24.23
"24","2020-08-12",24.34
"25","2020-08-13",26.860001
"26","2020-08-14",27.98
"27","2020-08-17",26.870001
"28","2020-08-18",28.969999
"29","2020-08-19",27.91
"30","2020-08-20",27.209999
"31","2020-08-21",25.950001
"32","2020-08-24",24.84
"33","2020-08-25",24.57
"34","2020-08-26",24.08
"35","2020-08-27",25.370001
"36","2020-08-28",26.59
"37","2020-08-31",24.639999
"38","2020-09-01",24.059999
"39","2020-09-02",26.09
"40","2020-09-03",26.360001
"41","2020-09-04",27.65
"42","2020-09-08",26.200001
"43","2020-09-09",28.01
"44","2020-09-10",31.41
"45","2020-09-11",31.799999
"46","2020-09-14",34.580002
"47","2020-09-15",34.25
"48","2020-09-16",32.34
"49","2020-09-17",30.530001
"50","2020-09-18",33.810001
"51","2020-09-21",34.34
"52","2020-09-22",34.119999
"53","2020-09-23",32.349998
"54","2020-09-24",31.290001
"55","2020-09-25",30.610001
"56","2020-09-28",31.74
"57","2020-09-29",30.360001
"58","2020-09-30",30.059999
"59","2020-10-01",29.98
"60","2020-10-02",29.73
"61","2020-10-05",32.330002
"62","2020-10-06",33.200001
"63","2020-10-07",34.720001
"64","2020-10-08",33.59
"65","2020-10-09",29.200001
"66","2020-10-12",29.85
"67","2020-10-13",31.4
"68","2020-10-14",29.77
"69","2020-10-15",31.17
"70","2020-10-16",32
"71","2020-10-19",30.190001
"72","2020-10-20",29.120001
"73","2020-10-21",27.41
"74","2020-10-22",27.030001
"75","2020-10-23",29.9
"76","2020-10-26",31.110001
"77","2020-10-27",32.119999
"78","2020-10-28",30.059999
"79","2020-10-29",28.07
"80","2020-10-30",28.709999
"81","2020-11-02",29
"82","2020-11-03",29.389999
"83","2020-11-04",31.309999
"84","2020-11-05",29.75
"85","2020-11-06",28.290001
"86","2020-11-09",29.57
"87","2020-11-10",29.709999
"88","2020-11-11",30.93
"89","2020-11-12",31.780001
"90","2020-11-13",31.83
"91","2020-11-16",33.549999
"92","2020-11-17",35.43
"93","2020-11-18",34.130001
"94","2020-11-19",34.029999
"95","2020-11-20",34.560001
"96","2020-11-23",34.849998
"97","2020-11-24",34.689999
"98","2020-11-25",35.349998
"99","2020-11-27",33.900002
