"","date","ATOS"
"1","2012-11-08",864
"2","2012-11-09",729
"3","2012-11-12",828
"4","2012-11-13",795.599976
"5","2012-11-14",774
"6","2012-11-15",840.599976
"7","2012-11-16",770.400024
"8","2012-11-19",810
"9","2012-11-20",804.599976
"10","2012-11-21",819
"11","2012-11-23",828
"12","2012-11-26",828
"13","2012-11-27",817.200012
"14","2012-11-28",810
"15","2012-11-29",815.400024
"16","2012-11-30",820.799988
"17","2012-12-03",768.599976
"18","2012-12-04",828
"19","2012-12-05",783
"20","2012-12-06",792
"21","2012-12-07",855
"22","2012-12-10",867.599976
"23","2012-12-11",898.200012
"24","2012-12-12",885.599976
"25","2012-12-13",853.200012
"26","2012-12-14",817.200012
"27","2012-12-17",763.200012
"28","2012-12-18",703.799988
"29","2012-12-19",693
"30","2012-12-20",739.799988
"31","2012-12-21",765
"32","2012-12-24",797.400024
"33","2012-12-26",797.400024
"34","2012-12-27",729
"35","2012-12-28",788.400024
"36","2012-12-31",702
"37","2013-01-02",684
"38","2013-01-03",775.799988
"39","2013-01-04",738
"40","2013-01-07",711
"41","2013-01-08",745.200012
"42","2013-01-09",754.200012
"43","2013-01-10",730.799988
"44","2013-01-11",754.200012
"45","2013-01-14",765
"46","2013-01-15",799.200012
"47","2013-01-16",811.799988
"48","2013-01-17",748.799988
"49","2013-01-18",793.799988
"50","2013-01-22",766.799988
"51","2013-01-23",770.400024
"52","2013-01-24",802.799988
"53","2013-01-25",784.799988
"54","2013-01-28",847.799988
"55","2013-01-29",923.400024
"56","2013-01-30",905.400024
"57","2013-01-31",943.200012
"58","2013-02-01",964.799988
"59","2013-02-04",918
"60","2013-02-05",990
"61","2013-02-06",1024.199951
"62","2013-02-07",1058.400024
"63","2013-02-08",1062
"64","2013-02-11",1143
"65","2013-02-12",1431
"66","2013-02-13",1260
"67","2013-02-14",1218.599976
"68","2013-02-15",1285.199951
"69","2013-02-19",1184.400024
"70","2013-02-20",1197
"71","2013-02-21",1263.599976
"72","2013-02-22",1247.400024
"73","2013-02-25",1177.199951
"74","2013-02-26",1144.800049
"75","2013-02-27",1161
"76","2013-02-28",1152
"77","2013-03-01",1215
"78","2013-03-04",1215
"79","2013-03-05",1162.800049
"80","2013-03-06",1162.800049
"81","2013-03-07",1144.800049
"82","2013-03-08",1245.599976
"83","2013-03-11",1182.599976
"84","2013-03-12",1188
"85","2013-03-13",1247.400024
"86","2013-03-14",1198.800049
"87","2013-03-15",1332
"88","2013-03-18",1657.800049
"89","2013-03-19",2226.600098
"90","2013-03-20",1904.400024
"91","2013-03-21",1969.199951
"92","2013-03-22",1989
"93","2013-03-25",2043
"94","2013-03-26",2034
"95","2013-03-27",1719
"96","2013-03-28",1575
"97","2013-04-01",1593
"98","2013-04-02",1636.199951
"99","2013-04-03",1440
"100","2013-04-04",1492.199951
"101","2013-04-05",1443.599976
"102","2013-04-08",1378.800049
"103","2013-04-09",1605.599976
"104","2013-04-10",1675.800049
"105","2013-04-11",1578.599976
"106","2013-04-12",1548
"107","2013-04-15",1591.199951
"108","2013-04-16",1621.800049
"109","2013-04-17",1726.199951
"110","2013-04-18",1639.800049
"111","2013-04-19",1474.199951
"112","2013-04-22",1398.599976
"113","2013-04-23",1404
"114","2013-04-24",1404
"115","2013-04-25",1342.800049
"116","2013-04-26",1236.599976
"117","2013-04-29",1272.599976
"118","2013-04-30",1202.400024
"119","2013-05-01",1249.199951
"120","2013-05-02",1260
"121","2013-05-03",1233
"122","2013-05-06",1188
"123","2013-05-07",1024.199951
"124","2013-05-08",919.799988
"125","2013-05-09",903.599976
"126","2013-05-10",914.400024
"127","2013-05-13",923.400024
"128","2013-05-14",1015.200012
"129","2013-05-15",981
"130","2013-05-16",946.799988
"131","2013-05-17",930.599976
"132","2013-05-20",909
"133","2013-05-21",916.200012
"134","2013-05-22",950.400024
"135","2013-05-23",923.400024
"136","2013-05-24",923.400024
"137","2013-05-28",921.599976
"138","2013-05-29",898.200012
"139","2013-05-30",855
"140","2013-05-31",802.799988
