"","date","AEMD"
"1","2007-01-03",187.5
"2","2007-01-04",217.5
"3","2007-01-05",210
"4","2007-01-08",210
"5","2007-01-09",195
"6","2007-01-10",187.5
"7","2007-01-11",210
"8","2007-01-12",202.5
"9","2007-01-16",217.5
"10","2007-01-17",202.5
"11","2007-01-18",217.5
"12","2007-01-19",217.5
"13","2007-01-22",217.5
"14","2007-01-23",225
"15","2007-01-24",217.5
"16","2007-01-25",255
"17","2007-01-26",247.5
"18","2007-01-29",247.5
"19","2007-01-30",225
"20","2007-01-31",210
"21","2007-02-01",225
"22","2007-02-02",217.5
"23","2007-02-05",225
"24","2007-02-06",232.5
"25","2007-02-07",255
"26","2007-02-08",247.5
"27","2007-02-09",225
"28","2007-02-12",217.5
"29","2007-02-13",277.5
"30","2007-02-14",322.5
"31","2007-02-15",315
"32","2007-02-16",315
"33","2007-02-20",360
"34","2007-02-21",420
"35","2007-02-22",495
"36","2007-02-23",442.5
"37","2007-02-26",502.5
"38","2007-02-27",412.5
"39","2007-02-28",427.5
"40","2007-03-01",382.5
"41","2007-03-02",382.5
"42","2007-03-05",375
"43","2007-03-06",375
"44","2007-03-07",375
"45","2007-03-08",382.5
"46","2007-03-09",405
"47","2007-03-12",382.5
"48","2007-03-13",390
"49","2007-03-14",390
"50","2007-03-15",427.5
"51","2007-03-16",480
"52","2007-03-19",472.5
"53","2007-03-20",547.5
"54","2007-03-21",577.5
"55","2007-03-22",540
"56","2007-03-23",562.5
"57","2007-03-26",562.5
"58","2007-03-27",562.5
"59","2007-03-28",615
"60","2007-03-29",562.5
"61","2007-03-30",555
"62","2007-04-02",540
"63","2007-04-03",570
"64","2007-04-04",532.5
"65","2007-04-05",510
"66","2007-04-09",472.5
"67","2007-04-10",480
"68","2007-04-11",495
"69","2007-04-12",502.5
"70","2007-04-13",510
"71","2007-04-16",472.5
"72","2007-04-17",457.5
"73","2007-04-18",427.5
"74","2007-04-19",450
"75","2007-04-20",457.5
"76","2007-04-23",442.5
"77","2007-04-24",450
"78","2007-04-25",427.5
"79","2007-04-26",427.5
"80","2007-04-27",435
"81","2007-04-30",442.5
"82","2007-05-01",427.5
"83","2007-05-02",442.5
"84","2007-05-03",435
"85","2007-05-04",442.5
"86","2007-05-07",435
"87","2007-05-08",442.5
"88","2007-05-09",420
"89","2007-05-10",427.5
"90","2007-05-11",420
"91","2007-05-14",420
"92","2007-05-15",420
"93","2007-05-16",420
"94","2007-05-17",420
"95","2007-05-18",412.5
"96","2007-05-21",427.5
"97","2007-05-22",562.5
"98","2007-05-23",532.5
"99","2007-05-24",480
"100","2007-05-25",487.5
"101","2007-05-29",487.5
"102","2007-05-30",525
"103","2007-05-31",525
"104","2007-06-01",525
"105","2007-06-04",495
"106","2007-06-05",480
"107","2007-06-06",480
"108","2007-06-07",487.5
"109","2007-06-08",480
"110","2007-06-11",480
"111","2007-06-12",450
"112","2007-06-13",465
"113","2007-06-14",465
"114","2007-06-15",472.5
"115","2007-06-18",487.5
"116","2007-06-19",495
"117","2007-06-20",502.5
"118","2007-06-21",502.5
"119","2007-06-22",502.5
"120","2007-06-25",502.5
"121","2007-06-26",510
"122","2007-06-27",502.5
"123","2007-06-28",517.5
"124","2007-06-29",502.5
"125","2007-07-02",487.5
"126","2007-07-03",495
"127","2007-07-05",502.5
"128","2007-07-06",495
"129","2007-07-09",510
"130","2007-07-10",525
"131","2007-07-11",525
"132","2007-07-12",510
"133","2007-07-13",510
"134","2007-07-16",525
"135","2007-07-17",532.5
"136","2007-07-18",570
"137","2007-07-19",577.5
"138","2007-07-20",600
"139","2007-07-23",637.5
"140","2007-07-24",577.5
"141","2007-07-25",577.5
"142","2007-07-26",585
"143","2007-07-27",607.5
"144","2007-07-30",585
"145","2007-07-31",585
"146","2007-08-01",592.5
"147","2007-08-02",592.5
"148","2007-08-03",570
"149","2007-08-06",555
"150","2007-08-07",562.5
"151","2007-08-08",555
"152","2007-08-09",562.5
"153","2007-08-10",540
"154","2007-08-13",540
"155","2007-08-14",525
"156","2007-08-15",525
"157","2007-08-16",502.5
"158","2007-08-17",487.5
"159","2007-08-20",525
"160","2007-08-21",517.5
"161","2007-08-22",510
"162","2007-08-23",517.5
"163","2007-08-24",525
"164","2007-08-27",517.5
"165","2007-08-28",510
"166","2007-08-29",510
"167","2007-08-30",510
"168","2007-08-31",502.5
"169","2007-09-04",502.5
"170","2007-09-05",510
"171","2007-09-06",510
"172","2007-09-07",502.5
"173","2007-09-10",502.5
"174","2007-09-11",472.5
"175","2007-09-12",450
"176","2007-09-13",472.5
"177","2007-09-14",465
"178","2007-09-17",465
"179","2007-09-18",465
"180","2007-09-19",510
"181","2007-09-20",510
"182","2007-09-21",502.5
"183","2007-09-24",487.5
"184","2007-09-25",510
"185","2007-09-26",487.5
"186","2007-09-27",495
"187","2007-09-28",465
"188","2007-10-01",465
"189","2007-10-02",457.5
"190","2007-10-03",457.5
"191","2007-10-04",450
"192","2007-10-05",457.5
"193","2007-10-08",450
"194","2007-10-09",442.5
"195","2007-10-10",465
"196","2007-10-11",450
"197","2007-10-12",457.5
"198","2007-10-15",450
"199","2007-10-16",450
"200","2007-10-17",450
"201","2007-10-18",457.5
"202","2007-10-19",450
"203","2007-10-22",457.5
"204","2007-10-23",457.5
"205","2007-10-24",457.5
"206","2007-10-25",442.5
"207","2007-10-26",457.5
"208","2007-10-29",427.5
"209","2007-10-30",450
"210","2007-10-31",427.5
"211","2007-11-01",435
"212","2007-11-02",427.5
"213","2007-11-05",442.5
"214","2007-11-06",427.5
"215","2007-11-07",420
"216","2007-11-08",420
"217","2007-11-09",420
"218","2007-11-12",412.5
"219","2007-11-13",450
"220","2007-11-14",435
"221","2007-11-15",427.5
"222","2007-11-16",397.5
"223","2007-11-19",465
"224","2007-11-20",517.5
"225","2007-11-21",540
"226","2007-11-23",532.5
"227","2007-11-26",510
"228","2007-11-27",555
"229","2007-11-28",517.5
"230","2007-11-29",517.5
"231","2007-11-30",540
"232","2007-12-03",540
"233","2007-12-04",540
"234","2007-12-05",540
"235","2007-12-06",525
"236","2007-12-07",525
"237","2007-12-10",540
"238","2007-12-11",525
"239","2007-12-12",532.5
"240","2007-12-13",502.5
"241","2007-12-14",510
"242","2007-12-17",495
"243","2007-12-18",510
"244","2007-12-19",502.5
"245","2007-12-20",510
"246","2007-12-21",510
"247","2007-12-24",525
"248","2007-12-26",487.5
"249","2007-12-27",532.5
"250","2007-12-28",540
"251","2007-12-31",562.5
"252","2008-01-02",510
"253","2008-01-03",510
"254","2008-01-04",502.5
"255","2008-01-07",495
"256","2008-01-08",502.5
"257","2008-01-09",502.5
"258","2008-01-10",480
"259","2008-01-11",472.5
