"","date","CSV"
"1","2007-01-03",5.08
"2","2007-01-04",5.09
"3","2007-01-05",5.1
"4","2007-01-08",5.16
"5","2007-01-09",5.45
"6","2007-01-10",5.25
"7","2007-01-11",5.2
"8","2007-01-12",5.2
"9","2007-01-16",5.22
"10","2007-01-17",5.45
"11","2007-01-18",5.5
"12","2007-01-19",5.39
"13","2007-01-22",5.4
"14","2007-01-23",5.5
"15","2007-01-24",5.4
"16","2007-01-25",5.45
"17","2007-01-26",5.5
"18","2007-01-29",5.5
"19","2007-01-30",5.53
"20","2007-01-31",5.4
"21","2007-02-01",5.4
"22","2007-02-02",5.4
"23","2007-02-05",5.39
"24","2007-02-06",5.36
"25","2007-02-07",5.38
"26","2007-02-08",5.35
"27","2007-02-09",6.08
"28","2007-02-12",6.39
"29","2007-02-13",6.4
"30","2007-02-14",6.46
"31","2007-02-15",6.7
"32","2007-02-16",6.68
"33","2007-02-20",6.74
"34","2007-02-21",7.19
"35","2007-02-22",7.19
"36","2007-02-23",7.28
"37","2007-02-26",7.29
"38","2007-02-27",6.89
"39","2007-02-28",7.01
"40","2007-03-01",7.3
"41","2007-03-02",7.34
"42","2007-03-05",7.32
"43","2007-03-06",7.35
"44","2007-03-07",7.32
"45","2007-03-08",7.19
"46","2007-03-09",7.29
"47","2007-03-12",7.76
"48","2007-03-13",7.76
"49","2007-03-14",7.72
"50","2007-03-15",7.75
"51","2007-03-16",7.7
"52","2007-03-19",7.86
"53","2007-03-20",7.9
"54","2007-03-21",8.29
"55","2007-03-22",8
"56","2007-03-23",8.1
"57","2007-03-26",8.28
"58","2007-03-27",8.17
"59","2007-03-28",8.11
"60","2007-03-29",8.09
"61","2007-03-30",8.09
"62","2007-04-02",8.12
"63","2007-04-03",8.43
"64","2007-04-04",8.45
"65","2007-04-05",8.31
"66","2007-04-09",8.15
"67","2007-04-10",8.26
"68","2007-04-11",8.39
"69","2007-04-12",8.3
"70","2007-04-13",8.46
"71","2007-04-16",8.55
"72","2007-04-17",8.5
"73","2007-04-18",8.55
"74","2007-04-19",8.42
"75","2007-04-20",8.3
"76","2007-04-23",8.19
"77","2007-04-24",8.11
"78","2007-04-25",8.27
"79","2007-04-26",8.22
"80","2007-04-27",8.2
"81","2007-04-30",8.17
"82","2007-05-01",8.12
"83","2007-05-02",8
"84","2007-05-03",8.12
"85","2007-05-04",8.07
"86","2007-05-07",7.95
"87","2007-05-08",8.12
"88","2007-05-09",8.35
"89","2007-05-10",8.8
"90","2007-05-11",8.76
"91","2007-05-14",8.38
"92","2007-05-15",8.1
"93","2007-05-16",7.71
"94","2007-05-17",7.82
"95","2007-05-18",7.74
"96","2007-05-21",7.96
"97","2007-05-22",7.89
"98","2007-05-23",7.93
"99","2007-05-24",7.91
"100","2007-05-25",7.77
"101","2007-05-29",7.75
"102","2007-05-30",7.83
"103","2007-05-31",7.63
"104","2007-06-01",7.92
"105","2007-06-04",8
"106","2007-06-05",7.7
"107","2007-06-06",7.89
"108","2007-06-07",7.94
"109","2007-06-08",7.66
