"","date","VERX"
"1","2020-07-29",23.93
"2","2020-07-30",24.200001
"3","2020-07-31",23.559999
"4","2020-08-03",23.5
"5","2020-08-04",24.67
"6","2020-08-05",24.690001
"7","2020-08-06",25.76
"8","2020-08-07",25.200001
"9","2020-08-10",24.58
"10","2020-08-11",23.65
"11","2020-08-12",24.209999
"12","2020-08-13",24.43
"13","2020-08-14",24.549999
"14","2020-08-17",25.16
"15","2020-08-18",25.110001
"16","2020-08-19",25.629999
"17","2020-08-20",26.1
"18","2020-08-21",27.24
"19","2020-08-24",28.299999
"20","2020-08-25",27.959999
"21","2020-08-26",28.34
"22","2020-08-27",29.1
"23","2020-08-28",28.190001
"24","2020-08-31",25.610001
"25","2020-09-01",24.75
"26","2020-09-02",23.690001
"27","2020-09-03",22.700001
"28","2020-09-04",24
"29","2020-09-08",23.35
"30","2020-09-09",23.379999
"31","2020-09-10",23.51
"32","2020-09-11",23.01
"33","2020-09-14",22.879999
"34","2020-09-15",22.75
"35","2020-09-16",22.780001
"36","2020-09-17",22.6
"37","2020-09-18",22.299999
"38","2020-09-21",22.1
"39","2020-09-22",22.49
"40","2020-09-23",21.85
"41","2020-09-24",21.709999
"42","2020-09-25",22.76
"43","2020-09-28",22.93
"44","2020-09-29",23.309999
"45","2020-09-30",23
"46","2020-10-01",23.879999
"47","2020-10-02",24.58
"48","2020-10-05",25.66
"49","2020-10-06",25.469999
"50","2020-10-07",25
"51","2020-10-08",24.83
"52","2020-10-09",25.299999
"53","2020-10-12",26.24
"54","2020-10-13",26.24
"55","2020-10-14",26.68
"56","2020-10-15",26.690001
"57","2020-10-16",27.35
"58","2020-10-19",26
"59","2020-10-20",26.040001
"60","2020-10-21",25.77
"61","2020-10-22",25.879999
"62","2020-10-23",25.92
"63","2020-10-26",24.93
"64","2020-10-27",24.5
"65","2020-10-28",23.459999
"66","2020-10-29",24.459999
"67","2020-10-30",24.24
"68","2020-11-02",25.09
"69","2020-11-03",25.51
"70","2020-11-04",26.01
"71","2020-11-05",28.120001
"72","2020-11-06",28.33
"73","2020-11-09",27.4
"74","2020-11-10",25.85
"75","2020-11-11",24.610001
"76","2020-11-12",25.139999
"77","2020-11-13",24.99
"78","2020-11-16",24.799999
"79","2020-11-17",26.290001
"80","2020-11-18",25.82
"81","2020-11-19",25.85
"82","2020-11-20",26.1
"83","2020-11-23",26.639999
"84","2020-11-24",25.68
"85","2020-11-25",26
"86","2020-11-27",25.93
