"","date","MR"
"1","2014-06-20",386.25
"2","2014-06-23",378.899994
"3","2014-06-24",367.799988
"4","2014-06-25",373.799988
"5","2014-06-26",375
"6","2014-06-27",382.649994
"7","2014-06-30",376.950012
"8","2014-07-01",368.25
"9","2014-07-02",364.649994
"10","2014-07-03",363.899994
"11","2014-07-07",357
"12","2014-07-08",362.399994
"13","2014-07-09",370.049988
"14","2014-07-10",367.5
"15","2014-07-11",358.799988
"16","2014-07-14",358.799988
"17","2014-07-15",342
"18","2014-07-16",330.299988
"19","2014-07-17",332.100006
"20","2014-07-18",330.899994
"21","2014-07-21",321
"22","2014-07-22",310.350006
"23","2014-07-23",306
"24","2014-07-24",304.5
"25","2014-07-25",298.049988
"26","2014-07-28",300
"27","2014-07-29",312.450012
"28","2014-07-30",315.299988
"29","2014-07-31",308.700012
"30","2014-08-01",306.450012
"31","2014-08-04",310.649994
"32","2014-08-05",303.299988
"33","2014-08-06",300.450012
"34","2014-08-07",302.549988
"35","2014-08-08",312.600006
"36","2014-08-11",315.450012
"37","2014-08-12",309.75
"38","2014-08-13",311.549988
"39","2014-08-14",288.450012
"40","2014-08-15",288.75
"41","2014-08-18",276
"42","2014-08-19",282.450012
"43","2014-08-20",278.850006
"44","2014-08-21",276.149994
"45","2014-08-22",269.100006
"46","2014-08-25",265.350006
"47","2014-08-26",262.049988
"48","2014-08-27",264.450012
"49","2014-08-28",270.75
"50","2014-08-29",274.350006
"51","2014-09-02",268.200012
"52","2014-09-03",272.399994
"53","2014-09-04",273.299988
"54","2014-09-05",270.299988
"55","2014-09-08",272.100006
"56","2014-09-09",268.200012
"57","2014-09-10",270
"58","2014-09-11",262.350006
"59","2014-09-12",261.899994
"60","2014-09-15",264.450012
"61","2014-09-16",271.049988
"62","2014-09-17",268.200012
"63","2014-09-18",256.5
"64","2014-09-19",254.25
"65","2014-09-22",241.949997
"66","2014-09-23",245.100006
"67","2014-09-24",247.5
"68","2014-09-25",249.75
"69","2014-09-26",254.25
"70","2014-09-29",255.75
"71","2014-09-30",249.300003
"72","2014-10-01",231.300003
"73","2014-10-02",225.149994
"74","2014-10-03",223.5
"75","2014-10-06",213.449997
"76","2014-10-07",203.25
"77","2014-10-08",213.75
"78","2014-10-09",196.649994
"79","2014-10-10",193.949997
"80","2014-10-13",194.25
"81","2014-10-14",190.649994
"82","2014-10-15",198.75
"83","2014-10-16",207.449997
"84","2014-10-17",205.5
"85","2014-10-20",204
"86","2014-10-21",206.699997
"87","2014-10-22",193.949997
"88","2014-10-23",192.75
"89","2014-10-24",187.800003
"90","2014-10-27",175.199997
"91","2014-10-28",178.050003
"92","2014-10-29",187.350006
"93","2014-10-30",191.25
"94","2014-10-31",196.649994
"95","2014-11-03",193.5
"96","2014-11-04",186.600006
"97","2014-11-05",189.300003
"98","2014-11-06",191.850006
"99","2014-11-07",206.399994
"100","2014-11-10",209.399994
"101","2014-11-11",209.25
"102","2014-11-12",204
"103","2014-11-13",192
"104","2014-11-14",197.550003
"105","2014-11-17",190.350006
"106","2014-11-18",195.300003
"107","2014-11-19",194.25
"108","2014-11-20",198.449997
