"","date","RUBY"
"1","2018-07-19",24.549999
"2","2018-07-20",26.540001
"3","2018-07-23",26.940001
"4","2018-07-24",24.75
"5","2018-07-25",24.299999
"6","2018-07-26",23.51
"7","2018-07-27",21.67
"8","2018-07-30",21.969999
"9","2018-07-31",21
"10","2018-08-01",20.450001
"11","2018-08-02",20.9
"12","2018-08-03",20.860001
"13","2018-08-06",21.110001
"14","2018-08-07",21.77
"15","2018-08-08",22.049999
"16","2018-08-09",21.93
"17","2018-08-10",23.76
"18","2018-08-13",23.26
"19","2018-08-14",22.32
"20","2018-08-15",21.450001
"21","2018-08-16",21.49
"22","2018-08-17",21.299999
"23","2018-08-20",22.67
"24","2018-08-21",23.290001
"25","2018-08-22",24.52
"26","2018-08-23",25.74
"27","2018-08-24",25.139999
"28","2018-08-27",24.65
"29","2018-08-28",24.5
"30","2018-08-29",24.870001
"31","2018-08-30",25
"32","2018-08-31",25.120001
"33","2018-09-04",24.65
"34","2018-09-05",23.1
"35","2018-09-06",21.83
"36","2018-09-07",20.93
"37","2018-09-10",22.209999
"38","2018-09-11",20.620001
"39","2018-09-12",20.059999
"40","2018-09-13",20.15
"41","2018-09-14",22.190001
"42","2018-09-17",21.610001
"43","2018-09-18",21.9
"44","2018-09-19",20.469999
"45","2018-09-20",20.99
"46","2018-09-21",22.82
"47","2018-09-24",23.15
"48","2018-09-25",23.370001
"49","2018-09-26",23.389999
"50","2018-09-27",23.82
"51","2018-09-28",24
"52","2018-10-01",22.959999
"53","2018-10-02",22.190001
"54","2018-10-03",21.76
"55","2018-10-04",19.91
"56","2018-10-05",17.959999
"57","2018-10-08",17.01
"58","2018-10-09",16.530001
"59","2018-10-10",16.200001
"60","2018-10-11",17.02
"61","2018-10-12",18
"62","2018-10-15",17.27
"63","2018-10-16",18.559999
"64","2018-10-17",17.77
"65","2018-10-18",17.17
"66","2018-10-19",17.129999
"67","2018-10-22",17.23
"68","2018-10-23",16.129999
"69","2018-10-24",15.93
"70","2018-10-25",16.559999
"71","2018-10-26",17.1
"72","2018-10-29",16.719999
"73","2018-10-30",16.6
"74","2018-10-31",16.43
"75","2018-11-01",18.35
"76","2018-11-02",18.09
"77","2018-11-05",18.280001
"78","2018-11-06",17.860001
"79","2018-11-07",17.18
"80","2018-11-08",16.83
"81","2018-11-09",15.69
"82","2018-11-12",14.73
"83","2018-11-13",17.58
"84","2018-11-14",18.469999
"85","2018-11-15",20.35
"86","2018-11-16",20.23
"87","2018-11-19",19.4
"88","2018-11-20",19.030001
"89","2018-11-21",20.34
"90","2018-11-23",20.6
"91","2018-11-26",20.73
"92","2018-11-27",20.860001
"93","2018-11-28",22.969999
"94","2018-11-29",21.75
"95","2018-11-30",21.379999
"96","2018-12-03",22.809999
"97","2018-12-04",22.389999
"98","2018-12-06",21.23
"99","2018-12-07",19.299999
