"","date","VNOM"
"1","2014-06-18",32.349998
"2","2014-06-19",33.34
"3","2014-06-20",33.990002
"4","2014-06-23",34.224998
"5","2014-06-24",33
"6","2014-06-25",31.969999
"7","2014-06-26",32.43
"8","2014-06-27",33.099998
"9","2014-06-30",33.799999
"10","2014-07-01",32.25
"11","2014-07-02",33.290001
"12","2014-07-03",33.669998
"13","2014-07-07",33.970001
"14","2014-07-08",33.5
"15","2014-07-09",33.360001
"16","2014-07-10",32.919998
"17","2014-07-11",32.68
"18","2014-07-14",32.5
"19","2014-07-15",32.470001
"20","2014-07-16",32.810001
"21","2014-07-17",33.220001
"22","2014-07-18",33.599998
"23","2014-07-21",33.040001
"24","2014-07-22",32.919998
"25","2014-07-23",32.720001
"26","2014-07-24",32.669998
"27","2014-07-25",32.349998
"28","2014-07-28",31.360001
"29","2014-07-29",31.34
"30","2014-07-30",30.360001
"31","2014-07-31",30.450001
"32","2014-08-01",30.799999
"33","2014-08-04",30.639999
"34","2014-08-05",30.51
"35","2014-08-06",30.57
"36","2014-08-07",31.25
"37","2014-08-08",31.959999
"38","2014-08-11",31.52
"39","2014-08-12",31.5
"40","2014-08-13",31.34
"41","2014-08-14",31.780001
"42","2014-08-15",31.389999
"43","2014-08-18",32.110001
"44","2014-08-19",32.84
"45","2014-08-20",32
"46","2014-08-21",32.400002
"47","2014-08-22",32.130001
"48","2014-08-25",31.51
"49","2014-08-26",31.610001
"50","2014-08-27",32.32
"51","2014-08-28",31.85
"52","2014-08-29",32.040001
"53","2014-09-02",31.83
"54","2014-09-03",31.35
"55","2014-09-04",30
"56","2014-09-05",30.200001
"57","2014-09-08",30.23
"58","2014-09-09",30.01
"59","2014-09-10",30.07
"60","2014-09-11",30.08
"61","2014-09-12",30.059999
"62","2014-09-15",28.5
"63","2014-09-16",27.209999
"64","2014-09-17",27
"65","2014-09-18",26.67
"66","2014-09-19",26.49
"67","2014-09-22",24.549999
"68","2014-09-23",24.450001
"69","2014-09-24",24.16
"70","2014-09-25",23.059999
"71","2014-09-26",23.299999
"72","2014-09-29",23.57
"73","2014-09-30",23.23
"74","2014-10-01",23.559999
"75","2014-10-02",23.43
"76","2014-10-03",24.17
"77","2014-10-06",23.93
"78","2014-10-07",23.74
"79","2014-10-08",22.1
"80","2014-10-09",19.76
"81","2014-10-10",18.33
"82","2014-10-13",17.18
"83","2014-10-14",17.48
"84","2014-10-15",17.59
"85","2014-10-16",19.709999
"86","2014-10-17",20.700001
"87","2014-10-20",20.41
"88","2014-10-21",20.870001
"89","2014-10-22",20.74
"90","2014-10-23",21.6
"91","2014-10-24",21.360001
"92","2014-10-27",20.91
"93","2014-10-28",21.01
"94","2014-10-29",20.67
"95","2014-10-30",20.1
"96","2014-10-31",20.24
"97","2014-11-03",20.290001
"98","2014-11-04",19.959999
"99","2014-11-05",20.200001
"100","2014-11-06",20.540001
"101","2014-11-07",20.530001
"102","2014-11-10",19.940001
"103","2014-11-11",19.49
"104","2014-11-12",19.65
"105","2014-11-13",19.09
"106","2014-11-14",18.780001
"107","2014-11-17",19.059999
"108","2014-11-18",19.08
"109","2014-11-19",18.91
"110","2014-11-20",19.51
"111","2014-11-21",19.9
"112","2014-11-24",19.85
"113","2014-11-25",19.870001
"114","2014-11-26",19.4
"115","2014-11-28",17.969999
"116","2014-12-01",16.309999
"117","2014-12-02",16.360001
"118","2014-12-03",15.91
"119","2014-12-04",15.12
"120","2014-12-05",14.44
"121","2014-12-08",14.51
"122","2014-12-09",15.87
"123","2014-12-10",15.32
"124","2014-12-11",14.92
"125","2014-12-12",15.01
"126","2014-12-15",15.34
"127","2014-12-16",16.42
"128","2014-12-17",17.08
"129","2014-12-18",17.65
"130","2014-12-19",19.65
"131","2014-12-22",19.07
"132","2014-12-23",18.68
"133","2014-12-24",18.075001
"134","2014-12-26",18.15
"135","2014-12-29",17.530001
"136","2014-12-30",16.969999
"137","2014-12-31",18.129999
"138","2015-01-02",19.73
"139","2015-01-05",17.68
"140","2015-01-06",17.280001
"141","2015-01-07",16.57
"142","2015-01-08",17.5
"143","2015-01-09",18.15
"144","2015-01-12",17.68
"145","2015-01-13",17.540001
"146","2015-01-14",17.75
"147","2015-01-15",17.719999
"148","2015-01-16",17.469999
"149","2015-01-20",16.75
"150","2015-01-21",16.99
"151","2015-01-22",17
"152","2015-01-23",17.129999
"153","2015-01-26",16.82
"154","2015-01-27",17.49
"155","2015-01-28",16.690001
"156","2015-01-29",17.48
"157","2015-01-30",17.5
"158","2015-02-02",18.4
"159","2015-02-03",19.639999
"160","2015-02-04",18.629999
"161","2015-02-05",18.719999
"162","2015-02-06",18.530001
"163","2015-02-09",18.9
"164","2015-02-10",18.629999
"165","2015-02-11",18.59
"166","2015-02-12",18.99
"167","2015-02-13",18.98
"168","2015-02-17",18.950001
"169","2015-02-18",17.84
"170","2015-02-19",18.17
"171","2015-02-20",18.26
"172","2015-02-23",17.860001
"173","2015-02-24",18.135
"174","2015-02-25",18.950001
"175","2015-02-26",19.01
"176","2015-02-27",19
"177","2015-03-02",18.75
"178","2015-03-03",19.01
"179","2015-03-04",18.190001
"180","2015-03-05",18.059999
"181","2015-03-06",17.709999
"182","2015-03-09",17.23
"183","2015-03-10",17.120001
"184","2015-03-11",17.41
"185","2015-03-12",17.139999
"186","2015-03-13",17.26
"187","2015-03-16",17.450001
"188","2015-03-17",17.74
"189","2015-03-18",17.75
"190","2015-03-19",17.719999
"191","2015-03-20",17.610001
"192","2015-03-23",17.719999
"193","2015-03-24",17.530001
"194","2015-03-25",17.49
"195","2015-03-26",18.120001
"196","2015-03-27",18.129999
"197","2015-03-30",18.82
"198","2015-03-31",18.25
"199","2015-04-01",18.66
"200","2015-04-02",18.59
"201","2015-04-06",18.84
"202","2015-04-07",18.610001
"203","2015-04-08",18.450001
"204","2015-04-09",18.92
"205","2015-04-10",19.870001
"206","2015-04-13",19.75
"207","2015-04-14",20.25
"208","2015-04-15",21.42
"209","2015-04-16",21.280001
"210","2015-04-17",20.74
