"","date","TBK"
"1","2014-11-07",12.75
"2","2014-11-10",12.82
"3","2014-11-11",12.72
"4","2014-11-12",12.74
"5","2014-11-13",12.67
"6","2014-11-14",12.71
"7","2014-11-17",12.74
"8","2014-11-18",12.99
"9","2014-11-19",12.75
"10","2014-11-20",12.99
"11","2014-11-21",13.57
"12","2014-11-24",14.33
"13","2014-11-25",14.73
"14","2014-11-26",14.98
"15","2014-11-28",15.03
"16","2014-12-01",14.71
"17","2014-12-02",13.96
"18","2014-12-03",14.5
"19","2014-12-04",14.33
"20","2014-12-05",14.34
"21","2014-12-08",14.5
"22","2014-12-09",14
"23","2014-12-10",12.91
"24","2014-12-11",12.75
"25","2014-12-12",13.7
"26","2014-12-15",13.28
"27","2014-12-16",13.76
"28","2014-12-17",13.17
"29","2014-12-18",13.9
"30","2014-12-19",14
"31","2014-12-22",13.52
"32","2014-12-23",13.33
"33","2014-12-24",13.82
"34","2014-12-26",13.98
"35","2014-12-29",14
"36","2014-12-30",13.84
"37","2014-12-31",13.55
"38","2015-01-02",13.5
"39","2015-01-05",13.48
"40","2015-01-06",13.5
"41","2015-01-07",13.38
"42","2015-01-08",12.98
"43","2015-01-09",12.9
"44","2015-01-12",12.95
"45","2015-01-13",13.41
"46","2015-01-14",13.6
"47","2015-01-15",13.48
"48","2015-01-16",13.71
"49","2015-01-20",13.25
"50","2015-01-21",13.01
"51","2015-01-22",13.2
"52","2015-01-23",13.23
"53","2015-01-26",12.97
"54","2015-01-27",13.22
"55","2015-01-28",12.92
"56","2015-01-29",13.06
"57","2015-01-30",13
"58","2015-02-02",12.97
"59","2015-02-03",13.14
"60","2015-02-04",12.85
"61","2015-02-05",12.75
"62","2015-02-06",12.64
"63","2015-02-09",12.07
"64","2015-02-10",12.1
"65","2015-02-11",12.35
"66","2015-02-12",12.62
"67","2015-02-13",13.03
"68","2015-02-17",13
"69","2015-02-18",12.89
"70","2015-02-19",13.1
"71","2015-02-20",12.98
"72","2015-02-23",12.97
"73","2015-02-24",12.89
