"","date","AMYT"
"1","2020-07-08",11.25
"2","2020-07-09",11
"3","2020-07-10",11.075
"4","2020-07-13",11.49
"5","2020-07-14",11.5
"6","2020-07-15",11.01
"7","2020-07-16",11.5
"8","2020-07-17",11
"9","2020-07-20",11.112
"10","2020-07-21",11.795
"11","2020-07-22",11.51
"12","2020-07-23",11.65
"13","2020-07-24",11.5
"14","2020-07-27",11.5
"15","2020-07-28",11.39
"16","2020-07-29",11.33
"17","2020-07-30",10.8
"18","2020-07-31",10.99
"19","2020-08-03",11.25
"20","2020-08-04",11.45
"21","2020-08-05",11.125
"22","2020-08-06",11.34
"23","2020-08-07",11.61
"24","2020-08-10",11.3
"25","2020-08-11",11.3
"26","2020-08-12",11.58
"27","2020-08-13",11.39
"28","2020-08-14",11.5
"29","2020-08-17",11.24
"30","2020-08-18",11.24
"31","2020-08-19",11.33
"32","2020-08-20",11.4
"33","2020-08-21",11.41
"34","2020-08-24",11.41
"35","2020-08-25",11.58
"36","2020-08-26",11.36
"37","2020-08-27",11.15
"38","2020-08-28",11.3
"39","2020-08-31",11.01
"40","2020-09-01",11.08
"41","2020-09-02",11
"42","2020-09-03",11
"43","2020-09-04",10.83
"44","2020-09-08",11.08
"45","2020-09-09",13.5
"46","2020-09-10",13
"47","2020-09-11",11.8
"48","2020-09-14",12.8
"49","2020-09-15",13
"50","2020-09-16",12.9
"51","2020-09-17",12.725
"52","2020-09-18",12.07
"53","2020-09-21",12.1
"54","2020-09-22",12
"55","2020-09-23",11.25
"56","2020-09-24",11.57
"57","2020-09-25",11.85
"58","2020-09-28",12.01
"59","2020-09-29",12.89
"60","2020-09-30",12.36
"61","2020-10-01",12.75
"62","2020-10-02",12.51
"63","2020-10-05",12.91
"64","2020-10-06",12.865
"65","2020-10-07",13.052
"66","2020-10-08",12.95
"67","2020-10-09",12.51
"68","2020-10-12",12.477
"69","2020-10-13",12.6
"70","2020-10-14",12.22
"71","2020-10-15",12.5
"72","2020-10-16",12.46
"73","2020-10-19",12.75
"74","2020-10-20",12.6
"75","2020-10-21",12.6
"76","2020-10-22",12.7
"77","2020-10-23",12.768
"78","2020-10-26",12.75
"79","2020-10-27",12.85
"80","2020-10-28",13
"81","2020-10-29",13
"82","2020-10-30",12.855
"83","2020-11-02",13
"84","2020-11-03",12.7
"85","2020-11-04",12.7
"86","2020-11-05",13.5
"87","2020-11-06",13.017
"88","2020-11-09",13.5
"89","2020-11-10",13.25
"90","2020-11-11",13.53
"91","2020-11-12",13.85
"92","2020-11-13",13.85
"93","2020-11-16",13.25
"94","2020-11-17",13.32
"95","2020-11-18",13.55
"96","2020-11-19",13.21
"97","2020-11-20",12.99
"98","2020-11-23",13
"99","2020-11-24",12.95
"100","2020-11-25",12.52
"101","2020-11-27",12.625
