"","date","JAX"
"1","2015-09-25",11.6
"2","2015-09-28",10.75
"3","2015-09-29",9.73
"4","2015-09-30",9.97
"5","2015-10-01",10.49
"6","2015-10-02",10.62
"7","2015-10-05",10.7
"8","2015-10-06",10.3
"9","2015-10-07",10.3
"10","2015-10-08",10.32
"11","2015-10-09",10.36
"12","2015-10-12",10.59
"13","2015-10-13",10.39
"14","2015-10-14",10.31
"15","2015-10-15",10.31
"16","2015-10-16",10.3
"17","2015-10-19",10.17
"18","2015-10-20",10
"19","2015-10-21",9.87
"20","2015-10-22",10
"21","2015-10-23",9.93
"22","2015-10-26",9.9
"23","2015-10-27",9.71
"24","2015-10-28",9.62
"25","2015-10-29",9.51
"26","2015-10-30",9.64
"27","2015-11-02",9.9
"28","2015-11-03",10.3
"29","2015-11-04",10.4
"30","2015-11-05",10.49
"31","2015-11-06",10.76
"32","2015-11-09",10.47
"33","2015-11-10",10.41
"34","2015-11-11",10.3
"35","2015-11-12",10.34
"36","2015-11-13",10.25
"37","2015-11-16",10.34
"38","2015-11-17",10.3
"39","2015-11-18",10.43
"40","2015-11-19",10.26
"41","2015-11-20",10.39
"42","2015-11-23",10.22
"43","2015-11-24",10.63
"44","2015-11-25",10.59
"45","2015-11-27",10.52
"46","2015-11-30",10.64
"47","2015-12-01",10.68
"48","2015-12-02",10.63
"49","2015-12-03",10.52
"50","2015-12-04",10.51
"51","2015-12-07",10.48
"52","2015-12-08",10.65
"53","2015-12-09",10.5
"54","2015-12-10",10.48
"55","2015-12-11",10.27
"56","2015-12-14",10.21
"57","2015-12-15",10.6
"58","2015-12-16",10.74
"59","2015-12-17",10.67
"60","2015-12-18",11.56
"61","2015-12-21",11.24
"62","2015-12-22",11.45
"63","2015-12-23",11.62
"64","2015-12-24",11.41
"65","2015-12-28",11.45
"66","2015-12-29",11.34
"67","2015-12-30",11.05
"68","2015-12-31",10.92
"69","2016-01-04",10.77
"70","2016-01-05",10.83
"71","2016-01-06",10.49
"72","2016-01-07",10.35
"73","2016-01-08",9.79
"74","2016-01-11",10.25
"75","2016-01-12",10
"76","2016-01-13",9.97
"77","2016-01-14",10.21
"78","2016-01-15",10.08
"79","2016-01-19",10.13
"80","2016-01-20",10.45
"81","2016-01-21",10.46
"82","2016-01-22",10.02
"83","2016-01-25",9.71
"84","2016-01-26",9.51
"85","2016-01-27",9.4
"86","2016-01-28",9.22
"87","2016-01-29",9.43
"88","2016-02-01",9.27
"89","2016-02-02",9.21
"90","2016-02-03",9.21
"91","2016-02-04",9.17
"92","2016-02-05",9.08
"93","2016-02-08",9.17
"94","2016-02-09",9.09
"95","2016-02-10",9.11
"96","2016-02-11",9.04
"97","2016-02-12",8.98
"98","2016-02-16",9.33
"99","2016-02-17",9.25
"100","2016-02-18",9.05
"101","2016-02-19",9.31
"102","2016-02-22",9.45
"103","2016-02-23",9.28
"104","2016-02-24",9.01
"105","2016-02-25",9.99
"106","2016-02-26",10.93
"107","2016-02-29",10.38
"108","2016-03-01",10.65
"109","2016-03-02",10.47
"110","2016-03-03",9.84
"111","2016-03-04",10
"112","2016-03-07",10.09
"113","2016-03-08",9.95
"114","2016-03-09",9.99
"115","2016-03-10",9.31
"116","2016-03-11",9.51
"117","2016-03-14",9.55
"118","2016-03-15",9.41
"119","2016-03-16",9.45
"120","2016-03-17",9.45
"121","2016-03-18",9.44
"122","2016-03-21",9.39
"123","2016-03-22",9.5
"124","2016-03-23",9.57
"125","2016-03-24",9.53
"126","2016-03-28",9.65
"127","2016-03-29",10.24
"128","2016-03-30",10.85
"129","2016-03-31",10.56
"130","2016-04-01",10.56
"131","2016-04-04",10.76
"132","2016-04-05",10.74
"133","2016-04-06",10.73
"134","2016-04-07",10.61
"135","2016-04-08",10.72
"136","2016-04-11",10.37
"137","2016-04-12",10.25
"138","2016-04-13",10.43
"139","2016-04-14",10.48
"140","2016-04-15",10.71
"141","2016-04-18",10.64
"142","2016-04-19",10.32
"143","2016-04-20",10.25
"144","2016-04-21",10.23
"145","2016-04-22",10.37
"146","2016-04-25",10.11
"147","2016-04-26",10.5
"148","2016-04-27",10.44
"149","2016-04-28",10.24
"150","2016-04-29",10.3
"151","2016-05-02",10.23
"152","2016-05-03",10.16
"153","2016-05-04",9.84
"154","2016-05-05",9.61
"155","2016-05-06",9.45
"156","2016-05-09",9.25
"157","2016-05-10",9.64
"158","2016-05-11",9.59
"159","2016-05-12",9.7
"160","2016-05-13",9.51
"161","2016-05-16",9.56
"162","2016-05-17",9.47
"163","2016-05-18",9.46
"164","2016-05-19",9.5
"165","2016-05-20",9.59
"166","2016-05-23",9.58
"167","2016-05-24",9.8
"168","2016-05-25",10.14
"169","2016-05-26",9.94
"170","2016-05-27",10.25
"171","2016-05-31",10.4
"172","2016-06-01",10.62
"173","2016-06-02",10.66
"174","2016-06-03",10.53
"175","2016-06-06",10.69
"176","2016-06-07",10.67
"177","2016-06-08",10.62
"178","2016-06-09",10.53
"179","2016-06-10",10.2
"180","2016-06-13",10.17
"181","2016-06-14",10.52
"182","2016-06-15",10.47
"183","2016-06-16",10.58
"184","2016-06-17",10.48
"185","2016-06-20",10.6
"186","2016-06-21",10.61
"187","2016-06-22",10.44
"188","2016-06-23",10.44
"189","2016-06-24",10.4
"190","2016-06-27",9.65
"191","2016-06-28",9.56
"192","2016-06-29",10.02
"193","2016-06-30",9.93
"194","2016-07-01",9.8
"195","2016-07-05",9.59
"196","2016-07-06",10.03
"197","2016-07-07",9.93
"198","2016-07-08",9.89
"199","2016-07-11",10.09
"200","2016-07-12",10.08
"201","2016-07-13",10.13
"202","2016-07-14",9.91
"203","2016-07-15",9.6
"204","2016-07-18",9.92
"205","2016-07-19",9.94
"206","2016-07-20",9.99
"207","2016-07-21",9.84
"208","2016-07-22",9.91
"209","2016-07-25",9.7
"210","2016-07-26",9.57
"211","2016-07-27",9.41
"212","2016-07-28",9.52
"213","2016-07-29",9.57
"214","2016-08-01",9.66
"215","2016-08-02",9.4
"216","2016-08-03",9.24
"217","2016-08-04",9.17
"218","2016-08-05",9.27
"219","2016-08-08",9.36
"220","2016-08-09",9.7
"221","2016-08-10",9.71
"222","2016-08-11",10
"223","2016-08-12",9.9
"224","2016-08-15",9.94
"225","2016-08-16",9.93
"226","2016-08-17",9.71
"227","2016-08-18",9.68
"228","2016-08-19",9.65
"229","2016-08-22",9.49
"230","2016-08-23",9.44
"231","2016-08-24",9.55
"232","2016-08-25",9.46
"233","2016-08-26",9.55
"234","2016-08-29",9.56
"235","2016-08-30",9.83
"236","2016-08-31",9.97
"237","2016-09-01",9.84
"238","2016-09-02",10.02
"239","2016-09-06",9.99
"240","2016-09-07",10.09
"241","2016-09-08",10.06
"242","2016-09-09",9.98
"243","2016-09-12",10.09
"244","2016-09-13",10.1
"245","2016-09-14",10.17
"246","2016-09-15",10.12
"247","2016-09-16",10.22
"248","2016-09-19",10.28
"249","2016-09-20",9.96
"250","2016-09-21",10.05
"251","2016-09-22",10.02
"252","2016-09-23",10.12
"253","2016-09-26",9.73
"254","2016-09-27",9.97
"255","2016-09-28",9.91
"256","2016-09-29",9.65
"257","2016-09-30",10.13
"258","2016-10-03",10.15
"259","2016-10-04",10.16
"260","2016-10-05",10.22
"261","2016-10-06",10.11
"262","2016-10-07",10.06
"263","2016-10-10",9.95
"264","2016-10-11",9.71
"265","2016-10-12",9.83
"266","2016-10-13",9.81
"267","2016-10-14",9.8
"268","2016-10-17",9.7
"269","2016-10-18",9.55
"270","2016-10-19",9.55
"271","2016-10-20",9.25
"272","2016-10-21",9.2
"273","2016-10-24",9.45
"274","2016-10-25",9.2
