"","date","RMTI"
"1","2007-01-03",7.11
"2","2007-01-04",7.09
"3","2007-01-05",7.09
"4","2007-01-08",7.01
"5","2007-01-09",6.96
"6","2007-01-10",6.93
"7","2007-01-11",6.84
"8","2007-01-12",6.9
"9","2007-01-16",6.8
"10","2007-01-17",6.68
"11","2007-01-18",6.48
"12","2007-01-19",6.48
"13","2007-01-22",6.12
"14","2007-01-23",5.55
"15","2007-01-24",6.13
"16","2007-01-25",6.27
"17","2007-01-26",6.24
"18","2007-01-29",6.55
"19","2007-01-30",6.6
"20","2007-01-31",6.64
"21","2007-02-01",6.83
"22","2007-02-02",6.89
"23","2007-02-05",6.81
"24","2007-02-06",6.7
"25","2007-02-07",6.8
"26","2007-02-08",6.67
"27","2007-02-09",6.78
"28","2007-02-12",6.63
"29","2007-02-13",6.91
"30","2007-02-14",7.04
"31","2007-02-15",7.01
"32","2007-02-16",7.15
"33","2007-02-20",7.43
"34","2007-02-21",7.65
"35","2007-02-22",8
"36","2007-02-23",7.8
"37","2007-02-26",7.78
"38","2007-02-27",7.59
"39","2007-02-28",7.6
"40","2007-03-01",7.61
"41","2007-03-02",7.45
"42","2007-03-05",7.26
"43","2007-03-06",7.26
"44","2007-03-07",7
"45","2007-03-08",7
"46","2007-03-09",7.02
"47","2007-03-12",7.11
"48","2007-03-13",6.81
"49","2007-03-14",6.65
"50","2007-03-15",6.49
"51","2007-03-16",6.63
"52","2007-03-19",6.63
"53","2007-03-20",6.52
"54","2007-03-21",6.54
"55","2007-03-22",6.66
"56","2007-03-23",6.95
"57","2007-03-26",6.74
"58","2007-03-27",6.74
"59","2007-03-28",6.56
"60","2007-03-29",6.53
"61","2007-03-30",6.8
"62","2007-04-02",6.98
"63","2007-04-03",7.09
"64","2007-04-04",6.92
"65","2007-04-05",6.79
"66","2007-04-09",6.6
"67","2007-04-10",6.57
"68","2007-04-11",6.85
"69","2007-04-12",6.75
"70","2007-04-13",6.7
"71","2007-04-16",6.6
"72","2007-04-17",6.68
"73","2007-04-18",6.7
"74","2007-04-19",6.6
"75","2007-04-20",6.6
"76","2007-04-23",6.6
"77","2007-04-24",6.64
"78","2007-04-25",6.55
"79","2007-04-26",6.49
"80","2007-04-27",6.6
"81","2007-04-30",6.5
"82","2007-05-01",6.49
"83","2007-05-02",6.57
"84","2007-05-03",6.77
"85","2007-05-04",6.84
"86","2007-05-07",6.61
"87","2007-05-08",6.67
"88","2007-05-09",6.45
"89","2007-05-10",5.73
"90","2007-05-11",6
"91","2007-05-14",6.05
"92","2007-05-15",6.05
"93","2007-05-16",6.13
"94","2007-05-17",6.16
"95","2007-05-18",5.91
"96","2007-05-21",5.94
"97","2007-05-22",6.02
"98","2007-05-23",5.93
"99","2007-05-24",5.91
"100","2007-05-25",5.87
"101","2007-05-29",5.72
"102","2007-05-30",5.7
"103","2007-05-31",6.34
"104","2007-06-01",6
"105","2007-06-04",5.98
"106","2007-06-05",5.94
"107","2007-06-06",5.93
"108","2007-06-07",5.83
"109","2007-06-08",5.8
"110","2007-06-11",5.75
"111","2007-06-12",5.6
"112","2007-06-13",5.58
"113","2007-06-14",5.52
"114","2007-06-15",5.47
"115","2007-06-18",5.46
"116","2007-06-19",5.37
"117","2007-06-20",5.19
"118","2007-06-21",5.41
"119","2007-06-22",5.45
"120","2007-06-25",5.51
"121","2007-06-26",5.47
"122","2007-06-27",5.48
"123","2007-06-28",5.53
"124","2007-06-29",5.5
"125","2007-07-02",5.34
"126","2007-07-03",5.33
"127","2007-07-05",5.37
"128","2007-07-06",5.4
"129","2007-07-09",5.37
"130","2007-07-10",5.33
"131","2007-07-11",5.22
"132","2007-07-12",5.21
"133","2007-07-13",5.17
"134","2007-07-16",5.25
"135","2007-07-17",5.31
"136","2007-07-18",5.26
"137","2007-07-19",5.27
"138","2007-07-20",5.21
"139","2007-07-23",5.26
"140","2007-07-24",5.35
"141","2007-07-25",5.5
"142","2007-07-26",5.5
"143","2007-07-27",5.36
"144","2007-07-30",5.34
"145","2007-07-31",5.31
"146","2007-08-01",5.24
"147","2007-08-02",5.25
"148","2007-08-03",5.43
"149","2007-08-06",5.69
"150","2007-08-07",5.85
"151","2007-08-08",6.14
"152","2007-08-09",6.03
"153","2007-08-10",5.93
"154","2007-08-13",5.49
"155","2007-08-14",5.57
"156","2007-08-15",5.5
"157","2007-08-16",5.3
"158","2007-08-17",5.23
"159","2007-08-20",5.17
"160","2007-08-21",5.27
"161","2007-08-22",5.25
"162","2007-08-23",5.25
"163","2007-08-24",5.25
"164","2007-08-27",5.24
"165","2007-08-28",5.25
"166","2007-08-29",5.28
"167","2007-08-30",5.24
"168","2007-08-31",5.19
"169","2007-09-04",5.37
"170","2007-09-05",5.23
"171","2007-09-06",5.25
"172","2007-09-07",5.21
"173","2007-09-10",5.12
"174","2007-09-11",5.24
"175","2007-09-12",5.29
"176","2007-09-13",5.26
"177","2007-09-14",5.23
"178","2007-09-17",5.02
"179","2007-09-18",5.06
"180","2007-09-19",5.12
"181","2007-09-20",4.94
"182","2007-09-21",4.93
"183","2007-09-24",4.91
"184","2007-09-25",4.66
"185","2007-09-26",4.66
"186","2007-09-27",5.52
"187","2007-09-28",5.7
"188","2007-10-01",5.69
"189","2007-10-02",5.99
"190","2007-10-03",5.87
"191","2007-10-04",6
"192","2007-10-05",6.18
"193","2007-10-08",6.21
"194","2007-10-09",6.03
"195","2007-10-10",6.25
"196","2007-10-11",6.21
"197","2007-10-12",6.5
"198","2007-10-15",6.27
"199","2007-10-16",6.2
"200","2007-10-17",6.25
"201","2007-10-18",6.17
"202","2007-10-19",6.19
"203","2007-10-22",6.19
"204","2007-10-23",6.23
"205","2007-10-24",6.18
"206","2007-10-25",6.45
"207","2007-10-26",6.65
"208","2007-10-29",7.25
"209","2007-10-30",7.13
"210","2007-10-31",7.3
"211","2007-11-01",7.29
"212","2007-11-02",7.07
"213","2007-11-05",7.27
"214","2007-11-06",7.3
"215","2007-11-07",7
"216","2007-11-08",7.22
"217","2007-11-09",6.9
"218","2007-11-12",7.09
"219","2007-11-13",7.14
"220","2007-11-14",6.86
"221","2007-11-15",7
"222","2007-11-16",7.09
"223","2007-11-19",6.99
"224","2007-11-20",6.93
"225","2007-11-21",7.17
"226","2007-11-23",7.28
"227","2007-11-26",7.25
"228","2007-11-27",7.18
"229","2007-11-28",7.5
"230","2007-11-29",7.51
"231","2007-11-30",7.54
"232","2007-12-03",7.38
"233","2007-12-04",7.4
"234","2007-12-05",7.23
"235","2007-12-06",7.2
"236","2007-12-07",7.14
"237","2007-12-10",6.78
"238","2007-12-11",6.18
"239","2007-12-12",6.57
"240","2007-12-13",6.6
"241","2007-12-14",6.68
"242","2007-12-17",6.5
"243","2007-12-18",6.7
"244","2007-12-19",6.91
"245","2007-12-20",7.03
"246","2007-12-21",7.01
"247","2007-12-24",7.12
"248","2007-12-26",7.17
"249","2007-12-27",7.12
"250","2007-12-28",7.13
"251","2007-12-31",7.18
"252","2008-01-02",7.2
"253","2008-01-03",7.14
"254","2008-01-04",7.17
"255","2008-01-07",7.17
"256","2008-01-08",7.09
"257","2008-01-09",6.97
"258","2008-01-10",6.97
"259","2008-01-11",6.8
"260","2008-01-14",6.77
"261","2008-01-15",6.69
"262","2008-01-16",6.5
"263","2008-01-17",6.58
"264","2008-01-18",6.28
"265","2008-01-22",5.92
"266","2008-01-23",6.13
"267","2008-01-24",6.55
"268","2008-01-25",6.21
"269","2008-01-28",5.88
"270","2008-01-29",6.37
"271","2008-01-30",6.49
"272","2008-01-31",6.56
"273","2008-02-01",6.4
"274","2008-02-04",6.44
"275","2008-02-05",6.44
"276","2008-02-06",6.55
"277","2008-02-07",6.52
"278","2008-02-08",6.54
"279","2008-02-11",6.49
"280","2008-02-12",6.43
"281","2008-02-13",6.63
"282","2008-02-14",6.36
"283","2008-02-15",6.45
"284","2008-02-19",6.51
"285","2008-02-20",6.34
"286","2008-02-21",6.5
"287","2008-02-22",6.5
"288","2008-02-25",6.38
"289","2008-02-26",6.3
"290","2008-02-27",6.3
"291","2008-02-28",6.33
"292","2008-02-29",6.42
"293","2008-03-03",6.33
"294","2008-03-04",6.16
"295","2008-03-05",6.25
"296","2008-03-06",6.11
"297","2008-03-07",6.36
"298","2008-03-10",6.1
"299","2008-03-11",6.29
"300","2008-03-12",6.16
"301","2008-03-13",6.27
"302","2008-03-14",6.25
"303","2008-03-17",6.03
"304","2008-03-18",6.42
