"","date","VIRC"
"1","2007-01-03",7.88
"2","2007-01-04",7.8
"3","2007-01-05",7.78
"4","2007-01-08",7.85
"5","2007-01-09",7.95
"6","2007-01-10",8.1
"7","2007-01-11",8.25
"8","2007-01-12",8.49
"9","2007-01-16",8.65
"10","2007-01-17",8.59
"11","2007-01-18",8.5
"12","2007-01-19",8.69
"13","2007-01-22",8.72
"14","2007-01-23",9
"15","2007-01-24",8.98
"16","2007-01-25",9
"17","2007-01-26",9.05
"18","2007-01-29",9
"19","2007-01-30",9
"20","2007-01-31",8.99
"21","2007-02-01",8.88
"22","2007-02-02",9.12
"23","2007-02-05",9.26
"24","2007-02-06",9.21
"25","2007-02-07",9.3
"26","2007-02-08",9.41
"27","2007-02-09",9.45
"28","2007-02-12",9.45
"29","2007-02-13",9.46
"30","2007-02-14",9.4
"31","2007-02-15",9.41
"32","2007-02-16",9.39
"33","2007-02-20",9.4
"34","2007-02-21",9.25
"35","2007-02-22",9.34
"36","2007-02-23",9.45
"37","2007-02-26",9.6
"38","2007-02-27",9.45
"39","2007-02-28",8.91
"40","2007-03-01",9.05
"41","2007-03-02",9.19
"42","2007-03-05",9
"43","2007-03-06",9
"44","2007-03-07",9.01
"45","2007-03-08",8.95
"46","2007-03-09",8.99
"47","2007-03-12",8.85
"48","2007-03-13",8.7
"49","2007-03-14",8.49
"50","2007-03-15",8.15
"51","2007-03-16",7.54
"52","2007-03-19",7.04
"53","2007-03-20",6.97
"54","2007-03-21",7
"55","2007-03-22",7.13
"56","2007-03-23",6.9
"57","2007-03-26",6.86
"58","2007-03-27",6.89
"59","2007-03-28",6.88
"60","2007-03-29",6.61
"61","2007-03-30",6.75
"62","2007-04-02",6.57
"63","2007-04-03",6.84
"64","2007-04-04",7.25
"65","2007-04-05",7.25
"66","2007-04-09",6.95
"67","2007-04-10",6.7
"68","2007-04-11",6.6
"69","2007-04-12",6.62
"70","2007-04-13",6.88
"71","2007-04-16",6.65
"72","2007-04-17",6.69
"73","2007-04-18",6.71
"74","2007-04-19",6.55
"75","2007-04-20",6.69
"76","2007-04-23",6.53
"77","2007-04-24",6.55
"78","2007-04-25",6.59
"79","2007-04-26",6.64
"80","2007-04-27",6.7
"81","2007-04-30",6.53
"82","2007-05-01",6.51
"83","2007-05-02",6.51
"84","2007-05-03",6.48
"85","2007-05-04",6.49
"86","2007-05-07",6.45
"87","2007-05-08",6.49
"88","2007-05-09",6.63
"89","2007-05-10",6.51
"90","2007-05-11",6.54
"91","2007-05-14",6.1
"92","2007-05-15",6.2
"93","2007-05-16",6.15
"94","2007-05-17",6.1
"95","2007-05-18",6.06
"96","2007-05-21",6.05
"97","2007-05-22",6.09
"98","2007-05-23",6.29
"99","2007-05-24",6.4
"100","2007-05-25",6.2
"101","2007-05-29",6.28
"102","2007-05-30",6.2
"103","2007-05-31",6.16
"104","2007-06-01",6.2
"105","2007-06-04",6.4
"106","2007-06-05",6.25
"107","2007-06-06",6.2
"108","2007-06-07",6.35
"109","2007-06-08",6.27
"110","2007-06-11",6.3
"111","2007-06-12",6.31
"112","2007-06-13",6.4
"113","2007-06-14",6.7
"114","2007-06-15",6.75
"115","2007-06-18",6.65
"116","2007-06-19",6.79
"117","2007-06-20",6.85
"118","2007-06-21",6.72
"119","2007-06-22",6.86
"120","2007-06-25",6.5
"121","2007-06-26",6.5
"122","2007-06-27",6.54
"123","2007-06-28",6.62
"124","2007-06-29",6.58
"125","2007-07-02",6.55
"126","2007-07-03",6.56
