"","date","DNLI"
"1","2017-12-08",21.450001
"2","2017-12-11",20.99
"3","2017-12-12",20.16
"4","2017-12-13",20.040001
"5","2017-12-14",18.99
"6","2017-12-15",19.040001
"7","2017-12-18",18.709999
"8","2017-12-19",18.280001
"9","2017-12-20",17.700001
"10","2017-12-21",16.450001
"11","2017-12-22",15.78
"12","2017-12-26",15.46
"13","2017-12-27",15.85
"14","2017-12-28",15.04
"15","2017-12-29",15.64
"16","2018-01-02",16.129999
"17","2018-01-03",16.65
"18","2018-01-04",16.08
"19","2018-01-05",16.799999
"20","2018-01-08",16.48
"21","2018-01-09",15.5
"22","2018-01-10",15.36
"23","2018-01-11",16.530001
"24","2018-01-12",17.16
"25","2018-01-16",17.1
"26","2018-01-17",17.620001
"27","2018-01-18",18.32
"28","2018-01-19",19.76
"29","2018-01-22",21.559999
"30","2018-01-23",21.85
"31","2018-01-24",21.799999
"32","2018-01-25",21.15
"33","2018-01-26",22.200001
"34","2018-01-29",23.950001
"35","2018-01-30",23.67
"36","2018-01-31",23.26
"37","2018-02-01",21.18
"38","2018-02-02",20.389999
"39","2018-02-05",19.26
"40","2018-02-06",19.379999
"41","2018-02-07",20.27
"42","2018-02-08",20.889999
"43","2018-02-09",21.49
"44","2018-02-12",21.219999
"45","2018-02-13",20.59
"46","2018-02-14",20.93
"47","2018-02-15",23.34
"48","2018-02-16",24.799999
"49","2018-02-20",23.68
"50","2018-02-21",23.02
"51","2018-02-22",22.42
"52","2018-02-23",22.4
"53","2018-02-26",22.16
"54","2018-02-27",21.51
"55","2018-02-28",22.889999
"56","2018-03-01",21.57
"57","2018-03-02",22.59
"58","2018-03-05",22.549999
"59","2018-03-06",21.959999
"60","2018-03-07",21.57
"61","2018-03-08",20.559999
"62","2018-03-09",20.370001
"63","2018-03-12",20.18
"64","2018-03-13",20.120001
"65","2018-03-14",21.889999
"66","2018-03-15",19.58
"67","2018-03-16",21.535
"68","2018-03-19",21.959999
"69","2018-03-20",22.059999
"70","2018-03-21",21.709999
"71","2018-03-22",21.17
"72","2018-03-23",21.34
"73","2018-03-26",21.16
"74","2018-03-27",20.049999
"75","2018-03-28",19.709999
"76","2018-03-29",19.690001
"77","2018-04-02",18.75
"78","2018-04-03",19.120001
"79","2018-04-04",19.6
"80","2018-04-05",18.889999
"81","2018-04-06",18.110001
"82","2018-04-09",18.440001
"83","2018-04-10",19.620001
"84","2018-04-11",19.52
"85","2018-04-12",19.41
"86","2018-04-13",19.200001
"87","2018-04-16",18.620001
"88","2018-04-17",19.629999
"89","2018-04-18",19.360001
"90","2018-04-19",19.26
"91","2018-04-20",19.77
"92","2018-04-23",19.450001
"93","2018-04-24",19.200001
"94","2018-04-25",18.360001
"95","2018-04-26",18.700001
"96","2018-04-27",18.73
"97","2018-04-30",18.48
"98","2018-05-01",18.629999
"99","2018-05-02",18.68
"100","2018-05-03",18.15
"101","2018-05-04",18.98
"102","2018-05-07",19.27
"103","2018-05-08",18.719999
"104","2018-05-09",19.469999
"105","2018-05-10",20.5
"106","2018-05-11",19.440001
"107","2018-05-14",18.700001
"108","2018-05-15",19.18
"109","2018-05-16",18.85
"110","2018-05-17",18.99
"111","2018-05-18",19.73
"112","2018-05-21",19.719999
"113","2018-05-22",20
"114","2018-05-23",20.34
"115","2018-05-24",19.98
"116","2018-05-25",19.93
"117","2018-05-29",20.790001
"118","2018-05-30",20.73
"119","2018-05-31",19.23
"120","2018-06-01",18.84
"121","2018-06-04",20.799999
"122","2018-06-05",21.02
"123","2018-06-06",19.809999
"124","2018-06-07",18.16
"125","2018-06-08",17.959999
"126","2018-06-11",18.34
"127","2018-06-12",18.75
"128","2018-06-13",18.92
"129","2018-06-14",17.9
"130","2018-06-15",17.9
"131","2018-06-18",17.610001
"132","2018-06-19",17.27
"133","2018-06-20",17.77
"134","2018-06-21",17
"135","2018-06-22",17.940001
"136","2018-06-25",17.139999
"137","2018-06-26",17.08
"138","2018-06-27",16.65
"139","2018-06-28",15.64
"140","2018-06-29",15.25
"141","2018-07-02",15.54
"142","2018-07-03",15.07
"143","2018-07-05",15.54
"144","2018-07-06",15.9
"145","2018-07-09",15.47
"146","2018-07-10",15.21
"147","2018-07-11",14.9
"148","2018-07-12",14.76
"149","2018-07-13",14.49
"150","2018-07-16",14.05
"151","2018-07-17",14
"152","2018-07-18",14
"153","2018-07-19",14
"154","2018-07-20",13.46
"155","2018-07-23",13.96
"156","2018-07-24",13.5
"157","2018-07-25",13.89
"158","2018-07-26",13.37
"159","2018-07-27",12.63
"160","2018-07-30",12.46
"161","2018-07-31",12.59
"162","2018-08-01",12.73
"163","2018-08-02",14
"164","2018-08-03",13.86
"165","2018-08-06",15
"166","2018-08-07",15.63
"167","2018-08-08",15.15
"168","2018-08-09",15.3
"169","2018-08-10",15.08
"170","2018-08-13",14.85
"171","2018-08-14",15.05
"172","2018-08-15",15.16
"173","2018-08-16",16.17
"174","2018-08-17",15.74
"175","2018-08-20",15.92
"176","2018-08-21",16.08
"177","2018-08-22",16.379999
