"","date","MCAC"
"1","2020-08-31",9.88
"2","2020-09-01",9.9
"3","2020-09-02",9.97
"4","2020-09-03",10
"5","2020-09-04",10
"6","2020-09-08",10
"7","2020-09-09",10.07
"8","2020-09-10",10.13
"9","2020-09-11",10.2
"10","2020-09-14",10.36
"11","2020-09-15",10.17
"12","2020-09-16",10.2
"13","2020-09-17",10.2
"14","2020-09-18",10.5
"15","2020-09-21",10.35
"16","2020-09-22",10.35
"17","2020-09-23",10.11
"18","2020-09-24",10.05
"19","2020-09-25",10.11
"20","2020-09-28",10.07
"21","2020-09-29",10.1
"22","2020-09-30",10.15
"23","2020-10-01",10.21
"24","2020-10-02",10.18
"25","2020-10-05",10.11
"26","2020-10-06",10.12
"27","2020-10-07",10.108
"28","2020-10-08",10.05
"29","2020-10-09",10.04
"30","2020-10-12",10.05
"31","2020-10-13",10.05
"32","2020-10-14",10.07
"33","2020-10-15",10.05
"34","2020-10-16",10.072
"35","2020-10-19",10.07
"36","2020-10-20",10.04
"37","2020-10-21",10.04
"38","2020-10-22",10.04
"39","2020-10-23",10.02
"40","2020-10-26",10
"41","2020-10-27",10
"42","2020-10-28",10.01
"43","2020-10-29",10
"44","2020-10-30",10.01
"45","2020-11-02",10.02
"46","2020-11-03",10.06
"47","2020-11-04",10.05
"48","2020-11-05",10.05
"49","2020-11-06",10.05
"50","2020-11-09",10.05
"51","2020-11-10",10.05
"52","2020-11-11",10.04
"53","2020-11-12",10
"54","2020-11-13",10.03
"55","2020-11-16",10.06
"56","2020-11-17",10.05
"57","2020-11-18",10.05
"58","2020-11-19",10.03
"59","2020-11-20",10.08
"60","2020-11-23",10.12
"61","2020-11-24",10.087
"62","2020-11-25",10.08
"63","2020-11-27",10.076
