"","date","AXAS"
"1","2007-01-03",63.400002
"2","2007-01-04",61
"3","2007-01-05",61.200001
"4","2007-01-08",64.599998
"5","2007-01-09",63.200001
"6","2007-01-10",63.599998
"7","2007-01-11",62.799999
"8","2007-01-12",63.200001
"9","2007-01-16",61.799999
"10","2007-01-17",61.599998
"11","2007-01-18",60.799999
"12","2007-01-19",62.200001
"13","2007-01-22",62.200001
"14","2007-01-23",64.400002
"15","2007-01-24",64
"16","2007-01-25",62.799999
"17","2007-01-26",63.599998
"18","2007-01-29",62.400002
"19","2007-01-30",68.400002
"20","2007-01-31",67.599998
"21","2007-02-01",66
"22","2007-02-02",66
"23","2007-02-05",67
"24","2007-02-06",65.199997
"25","2007-02-07",67.400002
"26","2007-02-08",64.400002
"27","2007-02-09",65.599998
"28","2007-02-12",62.799999
"29","2007-02-13",62
"30","2007-02-14",61.400002
"31","2007-02-15",61.799999
"32","2007-02-16",61
"33","2007-02-20",60.400002
"34","2007-02-21",61.599998
"35","2007-02-22",61.400002
"36","2007-02-23",62
"37","2007-02-26",63.799999
"38","2007-02-27",61.200001
"39","2007-02-28",61
"40","2007-03-01",60
"41","2007-03-02",57.200001
"42","2007-03-05",56.200001
"43","2007-03-06",59.400002
"44","2007-03-07",60.799999
"45","2007-03-08",61.599998
"46","2007-03-09",61
"47","2007-03-12",65
"48","2007-03-13",61
"49","2007-03-14",61
"50","2007-03-15",61.599998
"51","2007-03-16",60.400002
"52","2007-03-19",62
"53","2007-03-20",61
"54","2007-03-21",61
"55","2007-03-22",64.400002
"56","2007-03-23",64.400002
"57","2007-03-26",64.400002
"58","2007-03-27",63.599998
"59","2007-03-28",64
"60","2007-03-29",63.599998
"61","2007-03-30",65
"62","2007-04-02",63.200001
"63","2007-04-03",62.400002
"64","2007-04-04",62.200001
"65","2007-04-05",61.400002
"66","2007-04-09",59.599998
"67","2007-04-10",61.400002
"68","2007-04-11",60.599998
"69","2007-04-12",61.200001
"70","2007-04-13",63.200001
"71","2007-04-16",63.200001
"72","2007-04-17",61.799999
"73","2007-04-18",61.599998
"74","2007-04-19",61.200001
"75","2007-04-20",61.200001
"76","2007-04-23",61.599998
"77","2007-04-24",63.200001
"78","2007-04-25",67.400002
"79","2007-04-26",66.400002
"80","2007-04-27",68.400002
"81","2007-04-30",69.800003
"82","2007-05-01",69.599998
"83","2007-05-02",70
"84","2007-05-03",69
"85","2007-05-04",75
"86","2007-05-07",76.800003
"87","2007-05-08",74.400002
"88","2007-05-09",80.199997
"89","2007-05-10",77.199997
"90","2007-05-11",78.400002
"91","2007-05-14",80
"92","2007-05-15",79
"93","2007-05-16",79.199997
"94","2007-05-17",77
"95","2007-05-18",78.800003
"96","2007-05-21",73.599998
"97","2007-05-22",73.800003
"98","2007-05-23",73.599998
"99","2007-05-24",72
"100","2007-05-25",85
"101","2007-05-29",80
"102","2007-05-30",80
"103","2007-05-31",79.800003
"104","2007-06-01",80
"105","2007-06-04",78.400002
"106","2007-06-05",77.599998
"107","2007-06-06",77.599998
"108","2007-06-07",80.800003
"109","2007-06-08",79.800003
