"","date","FCRD"
"1","2010-04-22",12.75
"2","2010-04-23",12.7
"3","2010-04-26",12.7
"4","2010-04-27",12.68
"5","2010-04-28",12.68
"6","2010-04-29",12.69
"7","2010-04-30",13
"8","2010-05-03",12.95
"9","2010-05-04",12.89
"10","2010-05-05",12.6
"11","2010-05-06",12.15
"12","2010-05-07",11.92
"13","2010-05-10",12.07
"14","2010-05-11",12.6
"15","2010-05-12",12.2
"16","2010-05-13",12.08
"17","2010-05-14",12.01
"18","2010-05-17",11.99
"19","2010-05-18",11.97
"20","2010-05-19",12.11
"21","2010-05-20",12
"22","2010-05-21",12.28
"23","2010-05-24",11.47
"24","2010-05-25",11.1
"25","2010-05-26",11.18
"26","2010-05-27",11.27
"27","2010-05-28",11.83
"28","2010-06-01",12.31
"29","2010-06-02",11.91
"30","2010-06-03",12.3
"31","2010-06-04",12.09
"32","2010-06-07",11.52
"33","2010-06-08",11.14
"34","2010-06-09",11.22
"35","2010-06-10",11.23
"36","2010-06-11",11.3
"37","2010-06-14",11.72
"38","2010-06-15",11.55
"39","2010-06-16",11.14
"40","2010-06-17",11.09
"41","2010-06-18",11.23
"42","2010-06-21",11.29
"43","2010-06-22",11.4
"44","2010-06-23",11.77
"45","2010-06-24",11.8
"46","2010-06-25",11.83
"47","2010-06-28",11.25
"48","2010-06-29",11.13
"49","2010-06-30",11.5
"50","2010-07-01",10.99
"51","2010-07-02",11.12
"52","2010-07-06",10.95
"53","2010-07-07",11.28
"54","2010-07-08",11.31
"55","2010-07-09",11.26
"56","2010-07-12",11.09
"57","2010-07-13",11.49
"58","2010-07-14",11.39
"59","2010-07-15",12.12
"60","2010-07-16",11.7
"61","2010-07-19",11.81
"62","2010-07-20",12
"63","2010-07-21",11.8
"64","2010-07-22",11.96
"65","2010-07-23",12.08
"66","2010-07-26",12
"67","2010-07-27",12.08
"68","2010-07-28",12.01
"69","2010-07-29",12.27
"70","2010-07-30",12.3
"71","2010-08-02",12.03
"72","2010-08-03",11.9
"73","2010-08-04",12.02
"74","2010-08-05",11.94
"75","2010-08-06",12
"76","2010-08-09",12.09
"77","2010-08-10",12.25
"78","2010-08-11",11.5
"79","2010-08-12",11.83
"80","2010-08-13",11.83
"81","2010-08-16",11.99
"82","2010-08-17",11.96
"83","2010-08-18",11.85
"84","2010-08-19",11.58
"85","2010-08-20",11.6
"86","2010-08-23",11.22
"87","2010-08-24",11.5
"88","2010-08-25",11.71
"89","2010-08-26",11.71
"90","2010-08-27",12.26
"91","2010-08-30",11.6
"92","2010-08-31",11.59
"93","2010-09-01",12
"94","2010-09-02",11.99
"95","2010-09-03",11.8
"96","2010-09-07",11.3
"97","2010-09-08",11.48
"98","2010-09-09",11.48
"99","2010-09-10",11.62
"100","2010-09-13",12.14
"101","2010-09-14",12.17
"102","2010-09-15",11.83
"103","2010-09-16",11.85
"104","2010-09-17",11.86
"105","2010-09-20",12
"106","2010-09-21",11.82
"107","2010-09-22",11.72
"108","2010-09-23",11.63
"109","2010-09-24",11.59
"110","2010-09-27",11.54
"111","2010-09-28",11.52
"112","2010-09-29",11.85
"113","2010-09-30",11.78
"114","2010-10-01",11.94
"115","2010-10-04",11.89
"116","2010-10-05",12.23
"117","2010-10-06",12.05
"118","2010-10-07",12.19
"119","2010-10-08",12.3
"120","2010-10-11",12.14
"121","2010-10-12",12.17
"122","2010-10-13",12.31
"123","2010-10-14",12.35
"124","2010-10-15",12.52
"125","2010-10-18",12.74
"126","2010-10-19",12.6
"127","2010-10-20",12.76
"128","2010-10-21",12.55
"129","2010-10-22",12.69
"130","2010-10-25",12.55
"131","2010-10-26",12.68
"132","2010-10-27",12.55
"133","2010-10-28",12.53
"134","2010-10-29",12.6
"135","2010-11-01",12.61
"136","2010-11-02",12.81
"137","2010-11-03",12.87
"138","2010-11-04",12.85
"139","2010-11-05",12.79
"140","2010-11-08",12.85
"141","2010-11-09",12.76
"142","2010-11-10",12.62
"143","2010-11-11",12.8
"144","2010-11-12",12.74
"145","2010-11-15",12.9
"146","2010-11-16",12.88
"147","2010-11-17",12.95
"148","2010-11-18",12.83
"149","2010-11-19",12.96
"150","2010-11-22",13
"151","2010-11-23",12.97
"152","2010-11-24",12.95
"153","2010-11-26",12.98
"154","2010-11-29",13.1
"155","2010-11-30",13.1
"156","2010-12-01",13.05
"157","2010-12-02",13
"158","2010-12-03",12.99
"159","2010-12-06",13
"160","2010-12-07",13.27
"161","2010-12-08",13.25
"162","2010-12-09",13.24
"163","2010-12-10",13.42
"164","2010-12-13",13.34
"165","2010-12-14",13.24
"166","2010-12-15",13.17
"167","2010-12-16",13.23
"168","2010-12-17",13.3
"169","2010-12-20",13.2
"170","2010-12-21",13.2
"171","2010-12-22",13.22
"172","2010-12-23",13.22
"173","2010-12-27",13.35
"174","2010-12-28",13.3
"175","2010-12-29",13.28
"176","2010-12-30",13.12
"177","2010-12-31",13.01
"178","2011-01-03",13.39
"179","2011-01-04",13.26
"180","2011-01-05",13.27
"181","2011-01-06",12.99
"182","2011-01-07",13.2
"183","2011-01-10",13.28
"184","2011-01-11",13.31
"185","2011-01-12",13.26
"186","2011-01-13",13.24
"187","2011-01-14",13.35
"188","2011-01-18",13.17
"189","2011-01-19",12.81
"190","2011-01-20",12.85
"191","2011-01-21",12.8
"192","2011-01-24",12.84
"193","2011-01-25",12.9
"194","2011-01-26",13.21
"195","2011-01-27",13.24
"196","2011-01-28",12.81
"197","2011-01-31",12.78
"198","2011-02-01",13.01
"199","2011-02-02",12.96
"200","2011-02-03",12.91
"201","2011-02-04",12.94
"202","2011-02-07",13.19
"203","2011-02-08",13.2
"204","2011-02-09",13.27
"205","2011-02-10",13.3
"206","2011-02-11",12.94
"207","2011-02-14",12.81
"208","2011-02-15",12.82
"209","2011-02-16",13.03
"210","2011-02-17",13.14
"211","2011-02-18",13.17
"212","2011-02-22",13.25
"213","2011-02-23",13.41
"214","2011-02-24",13.32
"215","2011-02-25",13.5
"216","2011-02-28",13.45
"217","2011-03-01",13.31
"218","2011-03-02",13.45
"219","2011-03-03",13.87
"220","2011-03-04",13.75
"221","2011-03-07",13.41
"222","2011-03-08",13.65
"223","2011-03-09",13.3
"224","2011-03-10",13.2
"225","2011-03-11",13.1
"226","2011-03-14",13
"227","2011-03-15",13.96
"228","2011-03-16",13.3
"229","2011-03-17",13.25
"230","2011-03-18",13.42
"231","2011-03-21",13.53
"232","2011-03-22",13.53
"233","2011-03-23",13.39
"234","2011-03-24",13.45
"235","2011-03-25",13.8
"236","2011-03-28",13.55
"237","2011-03-29",13.75
"238","2011-03-30",13.67
"239","2011-03-31",13.66
"240","2011-04-01",13.68
"241","2011-04-04",13.87
"242","2011-04-05",13.86
"243","2011-04-06",13.65
"244","2011-04-07",13.78
"245","2011-04-08",13.52
"246","2011-04-11",13.61
"247","2011-04-12",13.68
"248","2011-04-13",13.42
"249","2011-04-14",13.58
"250","2011-04-15",13.79
"251","2011-04-18",13.66
"252","2011-04-19",13.79
"253","2011-04-20",13.79
"254","2011-04-21",13.8
"255","2011-04-25",13.9
"256","2011-04-26",13.98
"257","2011-04-27",14.07
"258","2011-04-28",14.34
"259","2011-04-29",14.32
"260","2011-05-02",14
"261","2011-05-03",13.87
"262","2011-05-04",13.84
"263","2011-05-05",13.28
"264","2011-05-06",13.56
"265","2011-05-09",13.95
"266","2011-05-10",14.09
"267","2011-05-11",13.51
"268","2011-05-12",13.91
"269","2011-05-13",13.35
"270","2011-05-16",12.97
"271","2011-05-17",13.08
"272","2011-05-18",13.27
"273","2011-05-19",13.24
"274","2011-05-20",13.18
"275","2011-05-23",13.18
"276","2011-05-24",13.08
"277","2011-05-25",13.31
"278","2011-05-26",13.18
"279","2011-05-27",13.29
"280","2011-05-31",13.47
"281","2011-06-01",13.3
"282","2011-06-02",13.14
"283","2011-06-03",13.06
"284","2011-06-06",13.14
"285","2011-06-07",13.19
"286","2011-06-08",13.14
"287","2011-06-09",13.13
"288","2011-06-10",12.95
"289","2011-06-13",12.91
"290","2011-06-14",12.97
"291","2011-06-15",12.91
"292","2011-06-16",12.93
"293","2011-06-17",12.91
"294","2011-06-20",12.94
"295","2011-06-21",12.91
"296","2011-06-22",12.82
"297","2011-06-23",12.76
"298","2011-06-24",12.85
"299","2011-06-27",12.9
"300","2011-06-28",13
"301","2011-06-29",12.93
"302","2011-06-30",13
"303","2011-07-01",12.97
"304","2011-07-05",12.96
"305","2011-07-06",13.08
"306","2011-07-07",13.21
"307","2011-07-08",13.16
"308","2011-07-11",13.21
"309","2011-07-12",13.08
"310","2011-07-13",13.04
"311","2011-07-14",12.82
"312","2011-07-15",12.77
"313","2011-07-18",12.78
"314","2011-07-19",12.93
"315","2011-07-20",12.9
"316","2011-07-21",13
"317","2011-07-22",13.03
"318","2011-07-25",12.87
"319","2011-07-26",12.84
"320","2011-07-27",12.61
