"","date","AVAL"
"1","2014-09-23",13.58
"2","2014-09-24",13.65
"3","2014-09-25",13.71
"4","2014-09-26",13.78
"5","2014-09-29",13.64
"6","2014-09-30",13.55
"7","2014-10-01",13.52
"8","2014-10-02",13.53
"9","2014-10-03",13.59
"10","2014-10-06",13.6
"11","2014-10-07",13.61
"12","2014-10-08",13.55
"13","2014-10-09",13.45
"14","2014-10-10",13.38
"15","2014-10-13",13.08
"16","2014-10-14",13
"17","2014-10-15",12.68
"18","2014-10-16",12.65
"19","2014-10-17",12.75
"20","2014-10-20",12.74
"21","2014-10-21",12.84
"22","2014-10-22",12.88
"23","2014-10-23",13.02
"24","2014-10-24",13.01
"25","2014-10-27",13.11
"26","2014-10-28",13.25
"27","2014-10-29",13.39
"28","2014-10-30",13.43
"29","2014-10-31",13.48
"30","2014-11-03",13.42
"31","2014-11-04",13.55
"32","2014-11-05",13.48
"33","2014-11-06",13.3
"34","2014-11-07",13.39
"35","2014-11-10",13.48
"36","2014-11-11",13.47
"37","2014-11-12",13.59
"38","2014-11-13",13.25
"39","2014-11-14",13.38
"40","2014-11-17",13.4
"41","2014-11-18",13.33
"42","2014-11-19",13.36
"43","2014-11-20",13.14
"44","2014-11-21",13.15
"45","2014-11-24",13.08
"46","2014-11-25",12.86
"47","2014-11-26",13
"48","2014-11-28",12.42
"49","2014-12-01",12.14
"50","2014-12-02",11.87
"51","2014-12-03",11.94
"52","2014-12-04",11.98
"53","2014-12-05",11.82
"54","2014-12-08",11.82
"55","2014-12-09",11.48
"56","2014-12-10",10.79
"57","2014-12-11",10.46
"58","2014-12-12",9.97
"59","2014-12-15",9.46
"60","2014-12-16",9.63
"61","2014-12-17",10.09
"62","2014-12-18",10.53
"63","2014-12-19",10.71
"64","2014-12-22",10.88
"65","2014-12-23",10.89
"66","2014-12-24",11.01
"67","2014-12-26",10.79
"68","2014-12-29",10.55
"69","2014-12-30",10.51
"70","2014-12-31",10.39
"71","2015-01-02",10.3
"72","2015-01-05",9.92
"73","2015-01-06",9.91
"74","2015-01-07",9.97
"75","2015-01-08",10.05
"76","2015-01-09",10.28
"77","2015-01-12",10.35
"78","2015-01-13",10.4
"79","2015-01-14",10.44
"80","2015-01-15",10.45
"81","2015-01-16",10.48
"82","2015-01-20",10.22
"83","2015-01-21",10.27
"84","2015-01-22",10.43
"85","2015-01-23",10.47
"86","2015-01-26",10.52
"87","2015-01-27",10.58
"88","2015-01-28",10.47
"89","2015-01-29",10.42
"90","2015-01-30",10.33
"91","2015-02-02",10.35
"92","2015-02-03",10.69
"93","2015-02-04",10.56
"94","2015-02-05",10.59
"95","2015-02-06",10.55
"96","2015-02-09",10.49
"97","2015-02-10",10.46
"98","2015-02-11",10.19
"99","2015-02-12",10.17
"100","2015-02-13",10.19
"101","2015-02-17",10.2
"102","2015-02-18",10.27
"103","2015-02-19",10.11
"104","2015-02-20",10.14
"105","2015-02-23",9.91
"106","2015-02-24",9.9
"107","2015-02-25",9.75
"108","2015-02-26",9.79
"109","2015-02-27",9.74
"110","2015-03-02",9.73
"111","2015-03-03",9.22
"112","2015-03-04",9.5
"113","2015-03-05",9.36
