"","date","KMDA"
"1","2013-05-31",10.1
"2","2013-06-03",10.54
"3","2013-06-04",10.21
"4","2013-06-05",9.92
"5","2013-06-06",9.82
"6","2013-06-07",10.1
"7","2013-06-10",10.35
"8","2013-06-11",10.29
"9","2013-06-12",10.54
"10","2013-06-13",10.54
"11","2013-06-14",10.8
"12","2013-06-17",10.98
"13","2013-06-18",10.91
"14","2013-06-19",10.67
"15","2013-06-20",10.46
"16","2013-06-21",10.77
"17","2013-06-24",10.5
"18","2013-06-25",10.71
"19","2013-06-26",10.82
"20","2013-06-27",11.05
"21","2013-06-28",11.16
"22","2013-07-01",11.83
"23","2013-07-02",11.84
"24","2013-07-03",11.7
"25","2013-07-05",12.19
"26","2013-07-08",12.59
"27","2013-07-09",12.53
"28","2013-07-10",12.34
"29","2013-07-11",12.12
"30","2013-07-12",12.23
"31","2013-07-15",12.29
"32","2013-07-16",12.61
"33","2013-07-17",13.1
"34","2013-07-18",12.9
"35","2013-07-19",13.05
"36","2013-07-22",12.84
"37","2013-07-23",12.9
"38","2013-07-24",12.55
"39","2013-07-25",12.59
"40","2013-07-26",12.68
"41","2013-07-29",12.65
"42","2013-07-30",12.41
"43","2013-07-31",12.63
"44","2013-08-01",12.84
"45","2013-08-02",12.96
"46","2013-08-05",13.5
"47","2013-08-06",13.61
"48","2013-08-07",13.53
"49","2013-08-08",13.3
"50","2013-08-09",13.23
"51","2013-08-12",12.9
"52","2013-08-13",13.26
"53","2013-08-14",13.46
"54","2013-08-15",13.05
"55","2013-08-16",12.94
"56","2013-08-19",13.27
"57","2013-08-20",13.37
"58","2013-08-21",13.3
"59","2013-08-22",13.59
"60","2013-08-23",13.29
"61","2013-08-26",13.47
"62","2013-08-27",12.48
"63","2013-08-28",12.61
"64","2013-08-29",13
"65","2013-08-30",12.75
"66","2013-09-03",12.56
"67","2013-09-04",12.59
"68","2013-09-05",12.59
"69","2013-09-06",12.72
"70","2013-09-09",12.65
"71","2013-09-10",12.9
"72","2013-09-11",13.66
"73","2013-09-12",13.45
"74","2013-09-13",13.63
"75","2013-09-16",14.21
"76","2013-09-17",14.32
"77","2013-09-18",14.23
"78","2013-09-19",14.49
"79","2013-09-20",14.49
"80","2013-09-23",14.38
"81","2013-09-24",15.25
"82","2013-09-25",15.23
"83","2013-09-26",15.23
"84","2013-09-27",15.3
"85","2013-09-30",15.3
"86","2013-10-01",15.73
"87","2013-10-02",15.8
"88","2013-10-03",15.7
"89","2013-10-04",15.91
"90","2013-10-07",15.4
"91","2013-10-08",15.56
"92","2013-10-09",15.8
"93","2013-10-10",15.9
"94","2013-10-11",16.370001
"95","2013-10-14",16.59
"96","2013-10-15",16.549999
"97","2013-10-16",16.049999
"98","2013-10-17",16.34
"99","2013-10-18",16.440001
"100","2013-10-21",15.95
