"","date","SBT"
"1","2017-11-16",12
"2","2017-11-17",12.16
"3","2017-11-20",12.56
"4","2017-11-21",12.61
"5","2017-11-22",12.8
"6","2017-11-24",12.82
"7","2017-11-27",12.86
"8","2017-11-28",12.7
"9","2017-11-29",12.67
"10","2017-11-30",12.4
"11","2017-12-01",12.75
"12","2017-12-04",12.72
"13","2017-12-05",12.46
"14","2017-12-06",12.78
"15","2017-12-07",13
"16","2017-12-08",13.32
"17","2017-12-11",13.45
"18","2017-12-12",13.43
"19","2017-12-13",13.24
"20","2017-12-14",13.01
"21","2017-12-15",12.9
"22","2017-12-18",12.68
"23","2017-12-19",12.58
"24","2017-12-20",12.61
"25","2017-12-21",12.67
"26","2017-12-22",12.62
"27","2017-12-26",12.88
"28","2017-12-27",12.72
"29","2017-12-28",12.57
"30","2017-12-29",12.7
"31","2018-01-02",12.86
"32","2018-01-03",12.89
"33","2018-01-04",13.01
"34","2018-01-05",13.16
"35","2018-01-08",13.34
"36","2018-01-09",13.93
"37","2018-01-10",13.76
"38","2018-01-11",13.83
"39","2018-01-12",13.61
"40","2018-01-16",13.48
"41","2018-01-17",13.57
"42","2018-01-18",13.21
"43","2018-01-19",13.6
"44","2018-01-22",13.47
"45","2018-01-23",13.04
"46","2018-01-24",13.42
"47","2018-01-25",13.39
"48","2018-01-26",13.31
"49","2018-01-29",13.02
"50","2018-01-30",12.8
"51","2018-01-31",12.69
"52","2018-02-01",12.49
"53","2018-02-02",12.33
"54","2018-02-05",12.24
"55","2018-02-06",12.55
"56","2018-02-07",12.96
"57","2018-02-08",12.98
"58","2018-02-09",13.03
"59","2018-02-12",13.06
"60","2018-02-13",12.76
"61","2018-02-14",13.05
"62","2018-02-15",13.25
"63","2018-02-16",13.84
"64","2018-02-20",13.54
"65","2018-02-21",13.95
"66","2018-02-22",13.95
"67","2018-02-23",14.02
"68","2018-02-26",13.88
"69","2018-02-27",13.98
"70","2018-02-28",14
"71","2018-03-01",14.07
"72","2018-03-02",14.22
"73","2018-03-05",14.02
"74","2018-03-06",13.88
"75","2018-03-07",14.1
"76","2018-03-08",14.65
"77","2018-03-09",14.54
"78","2018-03-12",14.57
"79","2018-03-13",14.08
"80","2018-03-14",13.82
"81","2018-03-15",13.2
"82","2018-03-16",13.26
"83","2018-03-19",13.47
"84","2018-03-20",13.44
"85","2018-03-21",13.73
"86","2018-03-22",13.21
"87","2018-03-23",13.08
"88","2018-03-26",13.44
"89","2018-03-27",13.37
"90","2018-03-28",13.66
"91","2018-03-29",13.51
"92","2018-04-02",13.52
"93","2018-04-03",13.52
"94","2018-04-04",13.28
"95","2018-04-05",13.31
"96","2018-04-06",13.27
"97","2018-04-09",13.27
"98","2018-04-10",13.42
"99","2018-04-11",13.37
"100","2018-04-12",13.34
"101","2018-04-13",13.15
"102","2018-04-16",13.36
"103","2018-04-17",13.17
"104","2018-04-18",13.15
"105","2018-04-19",13.11
"106","2018-04-20",13.15
"107","2018-04-23",13.33
"108","2018-04-24",13.22
"109","2018-04-25",12.83
"110","2018-04-26",12.96
"111","2018-04-27",13
"112","2018-04-30",12.74
"113","2018-05-01",13.44
"114","2018-05-02",13.36
"115","2018-05-03",13.23
"116","2018-05-04",13.25
"117","2018-05-07",13.32
"118","2018-05-08",13.39
"119","2018-05-09",13.46
"120","2018-05-10",13.54
"121","2018-05-11",13.65
"122","2018-05-14",13.41
"123","2018-05-15",13.68
"124","2018-05-16",13.95
"125","2018-05-17",13.9
"126","2018-05-18",13.79
"127","2018-05-21",13.8
"128","2018-05-22",13.75
"129","2018-05-23",13.82
"130","2018-05-24",13.9
"131","2018-05-25",13.77
"132","2018-05-29",13.87
"133","2018-05-30",13.93
"134","2018-05-31",13.62
"135","2018-06-01",13.9
"136","2018-06-04",14.27
"137","2018-06-05",14.05
"138","2018-06-06",13.98
"139","2018-06-07",13.84
"140","2018-06-08",13.83
"141","2018-06-11",13.74
"142","2018-06-12",13.7
"143","2018-06-13",13.46
"144","2018-06-14",13.49
"145","2018-06-15",13.62
"146","2018-06-18",13.7
"147","2018-06-19",13.88
"148","2018-06-20",13.93
"149","2018-06-21",13.58
"150","2018-06-22",14
"151","2018-06-25",13.92
"152","2018-06-26",13.58
"153","2018-06-27",13.48
"154","2018-06-28",13.33
"155","2018-06-29",13.36
"156","2018-07-02",13.59
"157","2018-07-03",13.59
"158","2018-07-05",13.88
"159","2018-07-06",13.8
"160","2018-07-09",13.9
"161","2018-07-10",13.67
"162","2018-07-11",13.72
"163","2018-07-12",13.62
"164","2018-07-13",13.46
"165","2018-07-16",13.44
"166","2018-07-17",13.41
"167","2018-07-18",13.27
"168","2018-07-19",13
"169","2018-07-20",13.25
"170","2018-07-23",13.36
"171","2018-07-24",13.63
"172","2018-07-25",13.5
"173","2018-07-26",13.36
"174","2018-07-27",13.39
"175","2018-07-30",13.03
"176","2018-07-31",12.82
"177","2018-08-01",12.81
"178","2018-08-02",12.72
"179","2018-08-03",12.36
"180","2018-08-06",12.05
"181","2018-08-07",11.71
"182","2018-08-08",11.98
"183","2018-08-09",11.86
"184","2018-08-10",11.72
"185","2018-08-13",11.36
"186","2018-08-14",11.35
"187","2018-08-15",11.15
"188","2018-08-16",11.35
"189","2018-08-17",11.25
"190","2018-08-20",11.4
"191","2018-08-21",11.49
"192","2018-08-22",11.46
"193","2018-08-23",11.52
"194","2018-08-24",12
"195","2018-08-27",11.51
"196","2018-08-28",11.86
"197","2018-08-29",12.03
"198","2018-08-30",12.27
"199","2018-08-31",12.25
"200","2018-09-04",12.89
"201","2018-09-05",12.48
"202","2018-09-06",12.69
"203","2018-09-07",12.69
"204","2018-09-10",12.67
"205","2018-09-11",12.66
"206","2018-09-12",12.47
"207","2018-09-13",12.5
"208","2018-09-14",12.69
"209","2018-09-17",12.79
"210","2018-09-18",12.56
"211","2018-09-19",13.06
"212","2018-09-20",13.1
"213","2018-09-21",12.41
"214","2018-09-24",11.95
"215","2018-09-25",11.67
"216","2018-09-26",11.56
"217","2018-09-27",11
"218","2018-09-28",11.31
"219","2018-10-01",11.54
"220","2018-10-02",11.45
"221","2018-10-03",11.68
"222","2018-10-04",11.64
"223","2018-10-05",11.52
"224","2018-10-08",11.72
"225","2018-10-09",11.58
"226","2018-10-10",11.25
"227","2018-10-11",11.2
"228","2018-10-12",10.9
"229","2018-10-15",10.98
"230","2018-10-16",11.26
"231","2018-10-17",11.13
"232","2018-10-18",10.87
"233","2018-10-19",10.7
"234","2018-10-22",10.55
"235","2018-10-23",10.18
"236","2018-10-24",9.57
"237","2018-10-25",10.01
"238","2018-10-26",9.9
"239","2018-10-29",10.04
"240","2018-10-30",10.04
"241","2018-10-31",10.35
"242","2018-11-01",10.19
"243","2018-11-02",9.95
"244","2018-11-05",9.48
"245","2018-11-06",9.34
"246","2018-11-07",9.55
"247","2018-11-08",9.3
"248","2018-11-09",9.46
"249","2018-11-12",9.33
"250","2018-11-13",9.555
"251","2018-11-14",9.24
"252","2018-11-15",9.47
"253","2018-11-16",9.45
"254","2018-11-19",9.3
"255","2018-11-20",8.96
"256","2018-11-21",8.92
"257","2018-11-23",8.85
"258","2018-11-26",8.7
"259","2018-11-27",8.71
"260","2018-11-28",8.7
"261","2018-11-29",8.67
"262","2018-11-30",8.43
"263","2018-12-03",8.47
"264","2018-12-04",7.69
"265","2018-12-06",7.95
"266","2018-12-07",7.92
"267","2018-12-10",8.1
"268","2018-12-11",8.22
"269","2018-12-12",8.59
"270","2018-12-13",8.7
"271","2018-12-14",8.39
"272","2018-12-17",8.1
"273","2018-12-18",7.89
"274","2018-12-19",7.66
"275","2018-12-20",7.59
"276","2018-12-21",7.25
"277","2018-12-24",7.12
"278","2018-12-26",7.15
"279","2018-12-27",7.09
"280","2018-12-28",7.1
"281","2018-12-31",6.95
"282","2019-01-02",7.18
"283","2019-01-03",7.24
"284","2019-01-04",7.81
"285","2019-01-07",7.4
"286","2019-01-08",7.56
"287","2019-01-09",7.64
"288","2019-01-10",7.42
"289","2019-01-11",8.21
"290","2019-01-14",8.42
"291","2019-01-15",8.4
"292","2019-01-16",8.45
"293","2019-01-17",8.36
"294","2019-01-18",8.37
"295","2019-01-22",7.97
"296","2019-01-23",7.89
"297","2019-01-24",8
"298","2019-01-25",8.3
"299","2019-01-28",8.1
"300","2019-01-29",8.8
"301","2019-01-30",8.85
"302","2019-01-31",8.6
"303","2019-02-01",8.76
"304","2019-02-04",9.2
"305","2019-02-05",8.99
"306","2019-02-06",9.06
"307","2019-02-07",9.38
"308","2019-02-08",9.67
"309","2019-02-11",9.82
"310","2019-02-12",9.95
"311","2019-02-13",10.1
"312","2019-02-14",9.95
"313","2019-02-15",10.19
"314","2019-02-19",10.23
"315","2019-02-20",10.34
"316","2019-02-21",10.31
"317","2019-02-22",10.3
"318","2019-02-25",10.12
"319","2019-02-26",10.15
"320","2019-02-27",9.83
"321","2019-02-28",10.09
"322","2019-03-01",10.12
"323","2019-03-04",9.91
"324","2019-03-05",9.9
"325","2019-03-06",9.62
"326","2019-03-07",9.6
"327","2019-03-08",9.55
"328","2019-03-11",10
"329","2019-03-12",9.92
"330","2019-03-13",9.7
"331","2019-03-14",9.98
"332","2019-03-15",10.02
"333","2019-03-18",10.52
"334","2019-03-19",10.05
"335","2019-03-20",10.16
"336","2019-03-21",10.02
"337","2019-03-22",9.61
"338","2019-03-25",9.4
"339","2019-03-26",9.97
"340","2019-03-27",9.95
"341","2019-03-28",10.02
"342","2019-03-29",10.14
"343","2019-04-01",10.17
"344","2019-04-02",9.99
"345","2019-04-03",9.99
"346","2019-04-04",10.17
"347","2019-04-05",10.04
"348","2019-04-08",9.98
"349","2019-04-09",9.92
