"","date","LYG"
"1","2007-01-03",45.709999
"2","2007-01-04",45.419998
"3","2007-01-05",44.799999
"4","2007-01-08",45.02
"5","2007-01-09",45.25
"6","2007-01-10",45.07
"7","2007-01-11",45.59
"8","2007-01-12",46.919998
"9","2007-01-16",46.75
"10","2007-01-17",46.200001
"11","2007-01-18",45.919998
"12","2007-01-19",46.18
"13","2007-01-22",46.18
"14","2007-01-23",46.32
"15","2007-01-24",46.669998
"16","2007-01-25",45.990002
"17","2007-01-26",46.330002
"18","2007-01-29",46.439999
"19","2007-01-30",46.220001
"20","2007-01-31",46.389999
"21","2007-02-01",46.419998
"22","2007-02-02",46.759998
"23","2007-02-05",46.380001
"24","2007-02-06",47.41
"25","2007-02-07",47.16
"26","2007-02-08",47.349998
"27","2007-02-09",47.169998
"28","2007-02-12",47.25
"29","2007-02-13",47.380001
"30","2007-02-14",48.040001
"31","2007-02-15",47.75
"32","2007-02-16",47.59
"33","2007-02-20",48.439999
"34","2007-02-21",48.220001
"35","2007-02-22",48.400002
"36","2007-02-23",46.759998
"37","2007-02-26",46.700001
"38","2007-02-27",45.279999
"39","2007-02-28",45.349998
"40","2007-03-01",44.779999
"41","2007-03-02",43.939999
"42","2007-03-05",43.209999
"43","2007-03-06",44.459999
"44","2007-03-07",42.099998
"45","2007-03-08",42.959999
"46","2007-03-09",43.119999
"47","2007-03-12",42.810001
"48","2007-03-13",41.639999
"49","2007-03-14",42.060001
"50","2007-03-15",41.810001
"51","2007-03-16",41.779999
"52","2007-03-19",42.950001
"53","2007-03-20",43.709999
"54","2007-03-21",45.02
"55","2007-03-22",44.830002
"56","2007-03-23",45.43
"57","2007-03-26",44.919998
"58","2007-03-27",44.650002
"59","2007-03-28",44.009998
"60","2007-03-29",44.34
"61","2007-03-30",44.470001
"62","2007-04-02",45.189999
"63","2007-04-03",45.18
"64","2007-04-04",44.990002
"65","2007-04-05",45.349998
"66","2007-04-09",45.23
"67","2007-04-10",45.41
"68","2007-04-11",45.240002
"69","2007-04-12",45.619999
"70","2007-04-13",46.189999
"71","2007-04-16",47.09
"72","2007-04-17",47.09
"73","2007-04-18",47.09
"74","2007-04-19",46.66
"75","2007-04-20",47.09
"76","2007-04-23",46.830002
"77","2007-04-24",46.549999
"78","2007-04-25",47.130001
"79","2007-04-26",46.66
"80","2007-04-27",46.75
"81","2007-04-30",46.619999
"82","2007-05-01",46.290001
"83","2007-05-02",46.84
"84","2007-05-03",46.93
"85","2007-05-04",47.16
"86","2007-05-07",47.200001
"87","2007-05-08",46.82
"88","2007-05-09",46.91
"89","2007-05-10",46.029999
"90","2007-05-11",46.869999
"91","2007-05-14",46.549999
"92","2007-05-15",46.580002
"93","2007-05-16",46.470001
"94","2007-05-17",46.169998
"95","2007-05-18",46.599998
"96","2007-05-21",46.27
"97","2007-05-22",46.259998
