"","date","CWEN"
"1","2015-05-15",24.5
"2","2015-05-18",23.75
"3","2015-05-19",23.57
"4","2015-05-20",23.5
"5","2015-05-21",23.530001
"6","2015-05-22",23.559999
"7","2015-05-26",24.9
"8","2015-05-27",26.01
"9","2015-05-28",26.73
"10","2015-05-29",27.07
"11","2015-06-01",27.110001
"12","2015-06-02",27.07
"13","2015-06-03",27.01
"14","2015-06-04",26.24
"15","2015-06-05",26.59
"16","2015-06-08",26.6
"17","2015-06-09",26.24
"18","2015-06-10",26.219999
"19","2015-06-11",26.01
"20","2015-06-12",25.459999
"21","2015-06-15",24.940001
"22","2015-06-16",24.870001
"23","2015-06-17",24.77
"24","2015-06-18",24.42
"25","2015-06-19",24.469999
"26","2015-06-22",24.58
"27","2015-06-23",22.639999
"28","2015-06-24",23.540001
"29","2015-06-25",23.5
"30","2015-06-26",22.98
"31","2015-06-29",22.190001
"32","2015-06-30",21.889999
"33","2015-07-01",21.57
"34","2015-07-02",21.879999
"35","2015-07-06",22.1
"36","2015-07-07",22.360001
"37","2015-07-08",22.120001
"38","2015-07-09",21.780001
"39","2015-07-10",22.16
"40","2015-07-13",22.26
"41","2015-07-14",22.1
"42","2015-07-15",21.309999
"43","2015-07-16",21.35
"44","2015-07-17",20.35
"45","2015-07-20",19.360001
"46","2015-07-21",19.35
"47","2015-07-22",19.459999
"48","2015-07-23",19.469999
"49","2015-07-24",18.98
"50","2015-07-27",19.709999
"51","2015-07-28",19.35
"52","2015-07-29",19.07
"53","2015-07-30",19.059999
"54","2015-07-31",19.290001
"55","2015-08-03",18.83
"56","2015-08-04",16
"57","2015-08-05",17
"58","2015-08-06",15.65
"59","2015-08-07",15.94
"60","2015-08-10",16.07
"61","2015-08-11",15.85
"62","2015-08-12",16.33
"63","2015-08-13",16.610001
"64","2015-08-14",16.889999
"65","2015-08-17",17.290001
"66","2015-08-18",17.02
"67","2015-08-19",17.309999
"68","2015-08-20",17.200001
"69","2015-08-21",16.57
"70","2015-08-24",16.209999
"71","2015-08-25",16.030001
"72","2015-08-26",15.92
"73","2015-08-27",16.41
"74","2015-08-28",16.290001
"75","2015-08-31",16.059999
"76","2015-09-01",15.58
"77","2015-09-02",15.75
"78","2015-09-03",16.040001
"79","2015-09-04",15.56
