"","date","CALB"
"1","2018-02-07",23.75
"2","2018-02-08",23.51
"3","2018-02-09",23.65
"4","2018-02-12",23.58
"5","2018-02-13",23.65
"6","2018-02-14",23.5
"7","2018-02-15",23.5
"8","2018-02-16",23.5
"9","2018-02-20",23.25
"10","2018-02-21",22.799999
"11","2018-02-22",22.75
"12","2018-02-23",22.65
"13","2018-02-26",22.700001
"14","2018-02-27",22.15
"15","2018-02-28",22.15
"16","2018-03-01",22.549999
"17","2018-03-02",22.25
"18","2018-03-05",22.299999
"19","2018-03-06",22.360001
"20","2018-03-07",22.549999
"21","2018-03-08",22.75
"22","2018-03-09",22.75
"23","2018-03-12",22.950001
"24","2018-03-13",22.9
"25","2018-03-14",22.9
"26","2018-03-15",22.9
"27","2018-03-16",22.9
"28","2018-03-19",22.9
"29","2018-03-20",22.75
"30","2018-03-21",22.75
"31","2018-03-22",22.65
"32","2018-03-23",22.85
"33","2018-03-26",22.5
"34","2018-03-27",22.5
"35","2018-03-28",22.049999
"36","2018-03-29",21.99
"37","2018-04-02",21.5
"38","2018-04-03",21.5
"39","2018-04-04",21.01
"40","2018-04-05",21.48
"41","2018-04-06",21.48
"42","2018-04-09",21.500999
"43","2018-04-10",21.5
"44","2018-04-11",21.674999
"45","2018-04-12",22.25
"46","2018-04-13",22.25
"47","2018-04-16",22.25
"48","2018-04-17",22.35
"49","2018-04-18",22.35
"50","2018-04-19",22.35
"51","2018-04-20",22.4
"52","2018-04-23",22.5
"53","2018-04-24",22.450001
"54","2018-04-25",22.698999
"55","2018-04-26",22.950001
"56","2018-04-27",23
"57","2018-04-30",23
"58","2018-05-01",23
"59","2018-05-02",23.049999
"60","2018-05-03",22.75
"61","2018-05-04",23
"62","2018-05-07",22.6
"63","2018-05-08",22
"64","2018-05-09",21.700001
"65","2018-05-10",22.700001
"66","2018-05-11",22
"67","2018-05-14",22
"68","2018-05-15",21.99
"69","2018-05-16",22.049999
"70","2018-05-17",22.049999
"71","2018-05-18",21.75
"72","2018-05-21",21.049999
"73","2018-05-22",21.17
"74","2018-05-23",21.5
"75","2018-05-24",21.26
"76","2018-05-25",21.26
"77","2018-05-29",21.25
"78","2018-05-30",21.25
"79","2018-05-31",21.25
"80","2018-06-01",21.25
"81","2018-06-04",21.25
"82","2018-06-05",21.25
"83","2018-06-06",21.35
"84","2018-06-07",21.25
"85","2018-06-08",21.25
"86","2018-06-11",21.25
"87","2018-06-12",21.254999
"88","2018-06-13",21.299999
"89","2018-06-14",21.299999
"90","2018-06-15",21.299999
"91","2018-06-18",21.299999
"92","2018-06-19",21.299999
"93","2018-06-20",21.4
"94","2018-06-21",21.35
"95","2018-06-22",21.549999
"96","2018-06-25",21.549999
"97","2018-06-26",21.5
"98","2018-06-27",21.6
"99","2018-06-28",21.65
"100","2018-06-29",21.65
"101","2018-07-02",21.799999
"102","2018-07-03",21.799999
"103","2018-07-05",21.799999
"104","2018-07-06",21.799999
"105","2018-07-09",21.85
"106","2018-07-10",21.75
"107","2018-07-11",21.75
"108","2018-07-12",21.950001
"109","2018-07-13",22
"110","2018-07-16",22.014999
"111","2018-07-17",22.014999
"112","2018-07-18",22.049999
"113","2018-07-19",22.049999
"114","2018-07-20",22.049999
"115","2018-07-23",22.049999
"116","2018-07-24",22.1
"117","2018-07-25",22.1
"118","2018-07-26",22.1
"119","2018-07-27",22.1
"120","2018-07-30",22.1
"121","2018-07-31",22.1
"122","2018-08-01",22.1
"123","2018-08-02",22.1
"124","2018-08-03",21.950001
"125","2018-08-06",21.299999
"126","2018-08-07",21.299999
"127","2018-08-08",21.450001
"128","2018-08-09",21.450001
"129","2018-08-10",21.450001
"130","2018-08-13",21.299999
"131","2018-08-14",21.200001
"132","2018-08-15",21.1
"133","2018-08-16",21.1
"134","2018-08-17",22.1
"135","2018-08-20",22
"136","2018-08-21",22.299999
"137","2018-08-22",22.26
"138","2018-08-23",22.26
"139","2018-08-24",22.26
"140","2018-08-27",22.1
"141","2018-08-28",22.299999
"142","2018-08-29",22.299999
"143","2018-08-30",22.299999
"144","2018-08-31",22.299999
"145","2018-09-04",22.35
"146","2018-09-05",22.5
"147","2018-09-06",22.549999
"148","2018-09-07",22.65
"149","2018-09-10",22.65
"150","2018-09-11",22.65
"151","2018-09-12",22.75
"152","2018-09-13",22.75
"153","2018-09-14",22.65
"154","2018-09-17",22.65
"155","2018-09-18",22.700001
"156","2018-09-19",22.700001
"157","2018-09-20",22.700001
"158","2018-09-21",22.75
"159","2018-09-24",22.75
"160","2018-09-25",22.75
"161","2018-09-26",22.75
"162","2018-09-27",22.65
"163","2018-09-28",22.700001
"164","2018-10-01",22.6
"165","2018-10-02",22.6
