"","date","GLDD"
"1","2007-01-03",6.5
"2","2007-01-04",6.74
"3","2007-01-05",6.9
"4","2007-01-08",7.18
"5","2007-01-09",7.19
"6","2007-01-10",6.89
"7","2007-01-11",7
"8","2007-01-12",6.8
"9","2007-01-16",6.74
"10","2007-01-17",6.42
"11","2007-01-18",6.54
"12","2007-01-19",6.87
"13","2007-01-22",6.74
"14","2007-01-23",6.72
"15","2007-01-24",6.85
"16","2007-01-25",6.8
"17","2007-01-26",6.83
"18","2007-01-29",6.82
"19","2007-01-30",6.84
"20","2007-01-31",6.84
"21","2007-02-01",6.85
"22","2007-02-02",6.86
"23","2007-02-05",6.8
"24","2007-02-06",6.78
"25","2007-02-07",6.76
"26","2007-02-08",6.84
"27","2007-02-09",6.82
"28","2007-02-12",6.89
"29","2007-02-13",6.88
"30","2007-02-14",6.9
"31","2007-02-15",6.85
"32","2007-02-16",7.19
"33","2007-02-20",7.25
"34","2007-02-21",7.25
"35","2007-02-22",7.33
"36","2007-02-23",7.35
"37","2007-02-26",7.32
"38","2007-02-27",7.15
"39","2007-02-28",7.1
"40","2007-03-01",7.08
"41","2007-03-02",7.25
"42","2007-03-05",7.11
"43","2007-03-06",7.15
"44","2007-03-07",7.14
"45","2007-03-08",7.18
"46","2007-03-09",7.18
"47","2007-03-12",7.15
"48","2007-03-13",6.96
"49","2007-03-14",6.88
"50","2007-03-15",6.8
"51","2007-03-16",6.9
"52","2007-03-19",6.82
"53","2007-03-20",6.83
"54","2007-03-21",6.8
"55","2007-03-22",6.81
"56","2007-03-23",6.8
"57","2007-03-26",6.71
"58","2007-03-27",6.69
"59","2007-03-28",6.62
"60","2007-03-29",6.6
"61","2007-03-30",6.89
"62","2007-04-02",6.7
"63","2007-04-03",6.95
"64","2007-04-04",6.95
"65","2007-04-05",7
"66","2007-04-09",6.95
"67","2007-04-10",6.99
"68","2007-04-11",7.03
"69","2007-04-12",7.35
"70","2007-04-13",7.33
"71","2007-04-16",7.62
"72","2007-04-17",7.68
"73","2007-04-18",7.93
"74","2007-04-19",7.7
"75","2007-04-20",7.76
"76","2007-04-23",7.95
"77","2007-04-24",7.88
"78","2007-04-25",7.96
"79","2007-04-26",7.88
"80","2007-04-27",7.95
"81","2007-04-30",7.75
"82","2007-05-01",7.87
"83","2007-05-02",8.13
"84","2007-05-03",8.2
"85","2007-05-04",8.24
"86","2007-05-07",8.3
"87","2007-05-08",8.29
"88","2007-05-09",7.94
"89","2007-05-10",8.12
"90","2007-05-11",8.05
"91","2007-05-14",8.12
"92","2007-05-15",8.09
"93","2007-05-16",8.37
"94","2007-05-17",8.75
"95","2007-05-18",9.3
"96","2007-05-21",9.2
"97","2007-05-22",9
"98","2007-05-23",9
"99","2007-05-24",8.96
"100","2007-05-25",8.99
"101","2007-05-29",9.02
"102","2007-05-30",8.97
"103","2007-05-31",9.06
"104","2007-06-01",9.57
"105","2007-06-04",9.61
"106","2007-06-05",9.75
"107","2007-06-06",9.67
"108","2007-06-07",9.38
"109","2007-06-08",9.29
"110","2007-06-11",9.34
"111","2007-06-12",9.12
"112","2007-06-13",9.47
"113","2007-06-14",9.5
"114","2007-06-15",9.59
"115","2007-06-18",9.72
"116","2007-06-19",10
"117","2007-06-20",10.18
"118","2007-06-21",9.65
"119","2007-06-22",9.36
"120","2007-06-25",8.78
"121","2007-06-26",9.25
"122","2007-06-27",9.54
"123","2007-06-28",9.58
"124","2007-06-29",9.5
"125","2007-07-02",9.28
"126","2007-07-03",9.29
"127","2007-07-05",9.11
"128","2007-07-06",9.08
"129","2007-07-09",9
"130","2007-07-10",8.9
"131","2007-07-11",8.78
"132","2007-07-12",8.85
"133","2007-07-13",9.15
"134","2007-07-16",8.85
"135","2007-07-17",8.79
"136","2007-07-18",8.63
"137","2007-07-19",8.8
"138","2007-07-20",8.93
"139","2007-07-23",8.17
"140","2007-07-24",7.79
"141","2007-07-25",8.07
"142","2007-07-26",8.01
"143","2007-07-27",8.36
"144","2007-07-30",8.49
"145","2007-07-31",8.34
"146","2007-08-01",7.78
"147","2007-08-02",8.25
"148","2007-08-03",8.59
"149","2007-08-06",8.55
"150","2007-08-07",8.58
"151","2007-08-08",8.63
"152","2007-08-09",8.62
"153","2007-08-10",8.62
"154","2007-08-13",9.01
"155","2007-08-14",8.94
"156","2007-08-15",8.57
"157","2007-08-16",8.33
"158","2007-08-17",8.42
"159","2007-08-20",8.3
"160","2007-08-21",8.01
"161","2007-08-22",8.03
"162","2007-08-23",8.05
"163","2007-08-24",8.15
"164","2007-08-27",8.24
"165","2007-08-28",8.24
"166","2007-08-29",8.41
"167","2007-08-30",8.9
"168","2007-08-31",8.87
"169","2007-09-04",9.08
"170","2007-09-05",9.05
"171","2007-09-06",9.12
"172","2007-09-07",8.93
"173","2007-09-10",9.04
"174","2007-09-11",9.04
"175","2007-09-12",8.75
"176","2007-09-13",8.67
"177","2007-09-14",8.61
"178","2007-09-17",8.4
"179","2007-09-18",8.68
"180","2007-09-19",8.38
"181","2007-09-20",8.37
"182","2007-09-21",8.46
"183","2007-09-24",8.62
"184","2007-09-25",8.59
"185","2007-09-26",8.6
"186","2007-09-27",8.83
"187","2007-09-28",8.76
"188","2007-10-01",8.98
"189","2007-10-02",8.89
"190","2007-10-03",8.95
"191","2007-10-04",8.99
"192","2007-10-05",8.96
"193","2007-10-08",9
"194","2007-10-09",8.9
"195","2007-10-10",9.1
"196","2007-10-11",8.97
"197","2007-10-12",9
"198","2007-10-15",8.98
"199","2007-10-16",8.97
"200","2007-10-17",9.1
"201","2007-10-18",8.96
"202","2007-10-19",8.73
"203","2007-10-22",8.75
"204","2007-10-23",8.98
"205","2007-10-24",8.77
"206","2007-10-25",8.89
"207","2007-10-26",8.99
"208","2007-10-29",9.06
"209","2007-10-30",8.96
"210","2007-10-31",8.95
"211","2007-11-01",8.66
"212","2007-11-02",9
"213","2007-11-05",8.87
"214","2007-11-06",8.73
"215","2007-11-07",8.56
"216","2007-11-08",8.49
"217","2007-11-09",8.52
"218","2007-11-12",8.23
"219","2007-11-13",8.42
"220","2007-11-14",8.65
"221","2007-11-15",8.66
"222","2007-11-16",8.24
"223","2007-11-19",8.45
"224","2007-11-20",8.6
"225","2007-11-21",8.59
"226","2007-11-23",8.57
"227","2007-11-26",8.3
"228","2007-11-27",8.46
"229","2007-11-28",8.98
"230","2007-11-29",8.99
"231","2007-11-30",8.91
"232","2007-12-03",9.2
"233","2007-12-04",9.04
"234","2007-12-05",9.18
"235","2007-12-06",9.29
"236","2007-12-07",9.52
"237","2007-12-10",9.7
"238","2007-12-11",9.32
"239","2007-12-12",9.38
"240","2007-12-13",9.54
"241","2007-12-14",9.21
"242","2007-12-17",9.35
"243","2007-12-18",9.18
"244","2007-12-19",8.98
"245","2007-12-20",9.16
"246","2007-12-21",9.1
"247","2007-12-24",9
"248","2007-12-26",8.99
"249","2007-12-27",8.67
"250","2007-12-28",8.84
"251","2007-12-31",8.72
"252","2008-01-02",8.49
"253","2008-01-03",8.17
"254","2008-01-04",7.77
"255","2008-01-07",7.65
"256","2008-01-08",7.36
"257","2008-01-09",7.29
"258","2008-01-10",7.71
"259","2008-01-11",7.84
"260","2008-01-14",7.82
"261","2008-01-15",7.61
"262","2008-01-16",7.75
"263","2008-01-17",7.35
"264","2008-01-18",7.24
"265","2008-01-22",6.65
"266","2008-01-23",6.73
"267","2008-01-24",6.7
"268","2008-01-25",6.73
"269","2008-01-28",6.52
"270","2008-01-29",6.39
"271","2008-01-30",6.11
"272","2008-01-31",6.33
"273","2008-02-01",6.76
"274","2008-02-04",6.26
"275","2008-02-05",6.25
"276","2008-02-06",6.02
"277","2008-02-07",5.81
"278","2008-02-08",5.92
"279","2008-02-11",6.16
"280","2008-02-12",6.27
"281","2008-02-13",6.65
"282","2008-02-14",6.6
"283","2008-02-15",6.48
"284","2008-02-19",6.69
"285","2008-02-20",6.45
"286","2008-02-21",6.55
"287","2008-02-22",6.68
"288","2008-02-25",6.77
"289","2008-02-26",6.96
"290","2008-02-27",6.51
"291","2008-02-28",6.11
"292","2008-02-29",6.11
"293","2008-03-03",6.31
"294","2008-03-04",6.11
"295","2008-03-05",6.13
"296","2008-03-06",5.9
"297","2008-03-07",5.81
"298","2008-03-10",5.67
"299","2008-03-11",5.6
"300","2008-03-12",5.65
"301","2008-03-13",5.54
"302","2008-03-14",5.48
"303","2008-03-17",5.29
"304","2008-03-18",5.33
"305","2008-03-19",5.15
"306","2008-03-20",5.15
"307","2008-03-24",5.14
"308","2008-03-25",5.11
"309","2008-03-26",5.07
"310","2008-03-27",5.13
"311","2008-03-28",5.07
"312","2008-03-31",5.17
"313","2008-04-01",5.35
"314","2008-04-02",5.19
"315","2008-04-03",5.33
"316","2008-04-04",5.52
"317","2008-04-07",5.52
"318","2008-04-08",5.26
"319","2008-04-09",5.2
"320","2008-04-10",5.56
"321","2008-04-11",5.37
"322","2008-04-14",5.52
"323","2008-04-15",5.59
"324","2008-04-16",5.83
"325","2008-04-17",6.04
"326","2008-04-18",5.84
"327","2008-04-21",5.85
"328","2008-04-22",5.8
"329","2008-04-23",5.87
"330","2008-04-24",5.78
"331","2008-04-25",5.93
"332","2008-04-28",6.15
"333","2008-04-29",6.02
"334","2008-04-30",5.98
"335","2008-05-01",5.84
"336","2008-05-02",5.87
"337","2008-05-05",5.69
"338","2008-05-06",5.79
"339","2008-05-07",5.7
"340","2008-05-08",5.49
"341","2008-05-09",5.41
"342","2008-05-12",5.6
"343","2008-05-13",5.75
"344","2008-05-14",5.54
