"","date","WTBA"
"1","2007-01-03",17.719999
"2","2007-01-04",17.860001
"3","2007-01-05",17.030001
"4","2007-01-08",17.309999
"5","2007-01-09",17.23
"6","2007-01-10",16.959999
"7","2007-01-11",17.129999
"8","2007-01-12",17.32
"9","2007-01-16",17
"10","2007-01-17",16.66
"11","2007-01-18",16.42
"12","2007-01-19",16.83
"13","2007-01-22",16.5
"14","2007-01-23",16.57
"15","2007-01-24",16.6
"16","2007-01-25",15.8
"17","2007-01-26",15.96
"18","2007-01-29",16.85
"19","2007-01-30",17.209999
"20","2007-01-31",17.540001
"21","2007-02-01",17.42
"22","2007-02-02",17.59
"23","2007-02-05",17.26
"24","2007-02-06",17.01
"25","2007-02-07",17
"26","2007-02-08",16.889999
"27","2007-02-09",16.48
"28","2007-02-12",16.610001
"29","2007-02-13",16.559999
"30","2007-02-14",16.26
"31","2007-02-15",16.02
"32","2007-02-16",16
"33","2007-02-20",16.18
"34","2007-02-21",16.01
"35","2007-02-22",15.84
"36","2007-02-23",15.86
"37","2007-02-26",15.56
"38","2007-02-27",15.5
"39","2007-02-28",15.74
"40","2007-03-01",15.79
"41","2007-03-02",15.76
"42","2007-03-05",15.67
"43","2007-03-06",15.74
"44","2007-03-07",15.29
"45","2007-03-08",14.94
"46","2007-03-09",15.21
"47","2007-03-12",15.15
"48","2007-03-13",14.31
"49","2007-03-14",14.64
"50","2007-03-15",15.18
"51","2007-03-16",15.11
"52","2007-03-19",15.53
"53","2007-03-20",15.38
"54","2007-03-21",16.299999
"55","2007-03-22",16.540001
"56","2007-03-23",16.18
"57","2007-03-26",16.200001
"58","2007-03-27",15.63
"59","2007-03-28",15.35
"60","2007-03-29",15.29
"61","2007-03-30",15.09
"62","2007-04-02",15.06
"63","2007-04-03",15.92
"64","2007-04-04",15.57
"65","2007-04-05",15.88
"66","2007-04-09",15.16
"67","2007-04-10",15.4
"68","2007-04-11",15.31
"69","2007-04-12",15.45
"70","2007-04-13",15.37
"71","2007-04-16",16.200001
"72","2007-04-17",15.97
"73","2007-04-18",15.5
"74","2007-04-19",15.49
"75","2007-04-20",15.61
"76","2007-04-23",15.5
"77","2007-04-24",15.49
"78","2007-04-25",15.88
"79","2007-04-26",15.67
"80","2007-04-27",15.48
"81","2007-04-30",15.5
"82","2007-05-01",15.5
"83","2007-05-02",16.02
"84","2007-05-03",15.5
"85","2007-05-04",15.6
"86","2007-05-07",15.49
"87","2007-05-08",15.55
"88","2007-05-09",15.6
"89","2007-05-10",15.34
"90","2007-05-11",15.6
"91","2007-05-14",15.42
"92","2007-05-15",14.78
"93","2007-05-16",14.89
"94","2007-05-17",14.58
"95","2007-05-18",14.92
"96","2007-05-21",14.86
"97","2007-05-22",14.76
"98","2007-05-23",14.8
"99","2007-05-24",14.38
"100","2007-05-25",14.41
"101","2007-05-29",14.83
"102","2007-05-30",14.75
"103","2007-05-31",14.86
"104","2007-06-01",15
"105","2007-06-04",14.96
"106","2007-06-05",14.64
"107","2007-06-06",14.53
"108","2007-06-07",14.23
"109","2007-06-08",14.63
"110","2007-06-11",14.64
"111","2007-06-12",14.23
"112","2007-06-13",14.36
"113","2007-06-14",14.86
"114","2007-06-15",14.88
"115","2007-06-18",15.02
"116","2007-06-19",15.5
"117","2007-06-20",15.29
"118","2007-06-21",15.54
"119","2007-06-22",16.23
"120","2007-06-25",16.09
"121","2007-06-26",16.25
"122","2007-06-27",16.200001
"123","2007-06-28",16.24
"124","2007-06-29",15.97
"125","2007-07-02",15.91
"126","2007-07-03",15.78
"127","2007-07-05",15.75
"128","2007-07-06",15.56
"129","2007-07-09",15.9
"130","2007-07-10",15.47
"131","2007-07-11",15.44
"132","2007-07-12",15.67
"133","2007-07-13",15.57
"134","2007-07-16",15.22
"135","2007-07-17",15.22
"136","2007-07-18",15.16
"137","2007-07-19",15.4
"138","2007-07-20",15.55
"139","2007-07-23",15.12
"140","2007-07-24",15
"141","2007-07-25",15.3
"142","2007-07-26",15.38
"143","2007-07-27",15.23
"144","2007-07-30",15.63
"145","2007-07-31",15.67
"146","2007-08-01",15.53
"147","2007-08-02",15.64
"148","2007-08-03",15.27
"149","2007-08-06",15.37
"150","2007-08-07",15.66
"151","2007-08-08",15.6
"152","2007-08-09",15.47
"153","2007-08-10",15.48
"154","2007-08-13",15.7
"155","2007-08-14",15.93
"156","2007-08-15",15.72
"157","2007-08-16",15.49
"158","2007-08-17",15.63
"159","2007-08-20",15.53
"160","2007-08-21",15.49
"161","2007-08-22",15.5
"162","2007-08-23",15.33
"163","2007-08-24",15.36
"164","2007-08-27",15.35
"165","2007-08-28",15.21
"166","2007-08-29",15.46
"167","2007-08-30",15.25
"168","2007-08-31",15.25
"169","2007-09-04",15.43
"170","2007-09-05",15.29
"171","2007-09-06",15.24
"172","2007-09-07",15.12
"173","2007-09-10",14.97
"174","2007-09-11",15.22
"175","2007-09-12",15.17
"176","2007-09-13",15.25
"177","2007-09-14",15.24
"178","2007-09-17",15.19
"179","2007-09-18",15.8
"180","2007-09-19",15.79
"181","2007-09-20",15.91
"182","2007-09-21",15.43
"183","2007-09-24",15.36
"184","2007-09-25",15.18
"185","2007-09-26",15.49
"186","2007-09-27",15.5
"187","2007-09-28",15.5
"188","2007-10-01",15.61
