"","date","QMCO"
"1","2007-01-03",18.48
"2","2007-01-04",19.040001
"3","2007-01-05",18.24
"4","2007-01-08",18.48
"5","2007-01-09",18.559999
"6","2007-01-10",18.959999
"7","2007-01-11",18.559999
"8","2007-01-12",19.120001
"9","2007-01-16",19.440001
"10","2007-01-17",19.120001
"11","2007-01-18",18.08
"12","2007-01-19",18.32
"13","2007-01-22",17.92
"14","2007-01-23",18.16
"15","2007-01-24",19.120001
"16","2007-01-25",19.040001
"17","2007-01-26",19.200001
"18","2007-01-29",19.76
"19","2007-01-30",19.52
"20","2007-01-31",19.92
"21","2007-02-01",20.4
"22","2007-02-02",20.24
"23","2007-02-05",19.92
"24","2007-02-06",19.120001
"25","2007-02-07",19.120001
"26","2007-02-08",19.360001
"27","2007-02-09",19.200001
"28","2007-02-12",19.76
"29","2007-02-13",20
"30","2007-02-14",20.08
"31","2007-02-15",20.32
"32","2007-02-16",20.4
"33","2007-02-20",20.799999
"34","2007-02-21",20.959999
"35","2007-02-22",21.040001
"36","2007-02-23",21.52
"37","2007-02-26",21.440001
"38","2007-02-27",19.92
"39","2007-02-28",19.76
"40","2007-03-01",19.92
"41","2007-03-02",19.360001
"42","2007-03-05",19.280001
"43","2007-03-06",20.559999
"44","2007-03-07",20.4
"45","2007-03-08",20.879999
"46","2007-03-09",20.719999
"47","2007-03-12",20.879999
"48","2007-03-13",20.4
"49","2007-03-14",20.799999
"50","2007-03-15",20.719999
"51","2007-03-16",20.799999
"52","2007-03-19",20.719999
"53","2007-03-20",20.719999
"54","2007-03-21",21.440001
"55","2007-03-22",21.52
"56","2007-03-23",21.6
"57","2007-03-26",21.68
"58","2007-03-27",21.76
"59","2007-03-28",21.6
"60","2007-03-29",21.440001
"61","2007-03-30",21.6
"62","2007-04-02",21.440001
"63","2007-04-03",21.6
"64","2007-04-04",21.52
"65","2007-04-05",21.6
"66","2007-04-09",21.68
"67","2007-04-10",21.84
"68","2007-04-11",21.76
"69","2007-04-12",22.559999
"70","2007-04-13",23.120001
"71","2007-04-16",23.200001
"72","2007-04-17",23.52
"73","2007-04-18",22.959999
"74","2007-04-19",22.32
"75","2007-04-20",22.24
"76","2007-04-23",21.92
"77","2007-04-24",22.08
"78","2007-04-25",22.08
"79","2007-04-26",22.24
"80","2007-04-27",22
"81","2007-04-30",22
"82","2007-05-01",22.32
"83","2007-05-02",22.639999
"84","2007-05-03",21.92
"85","2007-05-04",22.24
"86","2007-05-07",21.6
"87","2007-05-08",21.440001
"88","2007-05-09",21.360001
"89","2007-05-10",20.799999
"90","2007-05-11",21.360001
"91","2007-05-14",21.120001
"92","2007-05-15",20.959999
"93","2007-05-16",21.120001
"94","2007-05-17",21.280001
"95","2007-05-18",21.76
"96","2007-05-21",22
"97","2007-05-22",22.4
"98","2007-05-23",21.84
"99","2007-05-24",23.440001
"100","2007-05-25",23.440001
"101","2007-05-29",23.92
"102","2007-05-30",25.52
"103","2007-05-31",24.719999
"104","2007-06-01",24.16
"105","2007-06-04",24
"106","2007-06-05",23.68
"107","2007-06-06",24
"108","2007-06-07",23.52
"109","2007-06-08",24.799999
"110","2007-06-11",24.24
"111","2007-06-12",24.719999
"112","2007-06-13",24
"113","2007-06-14",23.92
"114","2007-06-15",24.16
"115","2007-06-18",24.08
"116","2007-06-19",24.4
"117","2007-06-20",24.32
"118","2007-06-21",24.799999
"119","2007-06-22",24.4
"120","2007-06-25",24.24
"121","2007-06-26",24.4
"122","2007-06-27",25.360001
"123","2007-06-28",26.32
"124","2007-06-29",25.360001
"125","2007-07-02",25.52
"126","2007-07-03",25.360001
"127","2007-07-05",25.52
"128","2007-07-06",25.52
"129","2007-07-09",25.76
"130","2007-07-10",25.120001
"131","2007-07-11",24.719999
"132","2007-07-12",26.24
"133","2007-07-13",25.360001
"134","2007-07-16",24.879999
"135","2007-07-17",25.120001
"136","2007-07-18",24.24
"137","2007-07-19",24.959999
"138","2007-07-20",24.719999
"139","2007-07-23",24.799999
"140","2007-07-24",24.879999
"141","2007-07-25",25.040001
"142","2007-07-26",24.879999
"143","2007-07-27",24.4
"144","2007-07-30",23.360001
"145","2007-07-31",22.639999
"146","2007-08-01",22.799999
"147","2007-08-02",24.24
"148","2007-08-03",24.08
"149","2007-08-06",23.76
"150","2007-08-07",24.4
"151","2007-08-08",23.92
"152","2007-08-09",23.6
"153","2007-08-10",23.200001
"154","2007-08-13",24.24
"155","2007-08-14",24
"156","2007-08-15",23.6
"157","2007-08-16",25.52
"158","2007-08-17",26.4
"159","2007-08-20",26.4
"160","2007-08-21",26
"161","2007-08-22",26.719999
"162","2007-08-23",26.32
"163","2007-08-24",26.799999
"164","2007-08-27",26.4
"165","2007-08-28",25.120001
"166","2007-08-29",26.799999
"167","2007-08-30",25.6
"168","2007-08-31",25.68
"169","2007-09-04",26.08
"170","2007-09-05",27.120001
"171","2007-09-06",26.959999
"172","2007-09-07",25.360001
"173","2007-09-10",26.32
"174","2007-09-11",26.16
"175","2007-09-12",25.76
"176","2007-09-13",26.16
"177","2007-09-14",26
"178","2007-09-17",25.92
"179","2007-09-18",27.120001
"180","2007-09-19",26.48
"181","2007-09-20",27.040001
"182","2007-09-21",27.68
"183","2007-09-24",27.92
"184","2007-09-25",27.92
"185","2007-09-26",28.639999
"186","2007-09-27",28.4
"187","2007-09-28",27.200001
"188","2007-10-01",28.32
"189","2007-10-02",28.24
"190","2007-10-03",28.08
"191","2007-10-04",29.040001
"192","2007-10-05",29.6
"193","2007-10-08",29.76
"194","2007-10-09",30.4
"195","2007-10-10",31.200001
"196","2007-10-11",29.76
"197","2007-10-12",29.84
"198","2007-10-15",29.76
"199","2007-10-16",30.48
"200","2007-10-17",32.720001
"201","2007-10-18",33.200001
"202","2007-10-19",32.16
"203","2007-10-22",32.400002
"204","2007-10-23",32
"205","2007-10-24",31.92
"206","2007-10-25",29.76
"207","2007-10-26",30.719999
"208","2007-10-29",30.639999
"209","2007-10-30",29.6
"210","2007-10-31",32
"211","2007-11-01",30
"212","2007-11-02",30.4
"213","2007-11-05",29.92
"214","2007-11-06",30.639999
"215","2007-11-07",28.959999
"216","2007-11-08",29.68
"217","2007-11-09",27.040001
"218","2007-11-12",26.879999
"219","2007-11-13",28.799999
"220","2007-11-14",27.440001
"221","2007-11-15",27.200001
"222","2007-11-16",26.4
"223","2007-11-19",26.48
"224","2007-11-20",26
"225","2007-11-21",25.76
"226","2007-11-23",25.84
"227","2007-11-26",24.879999
"228","2007-11-27",25.360001
"229","2007-11-28",26.799999
"230","2007-11-29",26.16
"231","2007-11-30",25.360001
"232","2007-12-03",23.92
"233","2007-12-04",23.6
"234","2007-12-05",24.719999
"235","2007-12-06",25.92
"236","2007-12-07",24.959999
"237","2007-12-10",25.92
"238","2007-12-11",23.52
"239","2007-12-12",23.120001
"240","2007-12-13",23.6
"241","2007-12-14",22.879999
"242","2007-12-17",22.559999
"243","2007-12-18",21.6
"244","2007-12-19",21.360001
"245","2007-12-20",21.68
"246","2007-12-21",22.4
"247","2007-12-24",22.16
"248","2007-12-26",21.52
"249","2007-12-27",19.92
"250","2007-12-28",21.52
"251","2007-12-31",21.52
"252","2008-01-02",20.879999
