"","date","MCEP"
"1","2011-12-15",361
"2","2011-12-16",358.399994
"3","2011-12-19",360
"4","2011-12-20",364
"5","2011-12-21",365.399994
"6","2011-12-22",366.799988
"7","2011-12-23",372
"8","2011-12-27",366
"9","2011-12-28",368.399994
"10","2011-12-29",367
"11","2011-12-30",367
"12","2012-01-03",373
"13","2012-01-04",376.799988
"14","2012-01-05",377.600006
"15","2012-01-06",382
"16","2012-01-09",385.799988
"17","2012-01-10",385.799988
"18","2012-01-11",389
"19","2012-01-12",388
"20","2012-01-13",386.200012
"21","2012-01-17",384.600006
"22","2012-01-18",386
"23","2012-01-19",388
"24","2012-01-20",392.799988
"25","2012-01-23",404
"26","2012-01-24",409
"27","2012-01-25",417.600006
"28","2012-01-26",417.200012
"29","2012-01-27",420.399994
"30","2012-01-30",420
"31","2012-01-31",418
"32","2012-02-01",420
"33","2012-02-02",416
"34","2012-02-03",449.600006
"35","2012-02-06",452.200012
"36","2012-02-07",439.399994
"37","2012-02-08",432.200012
"38","2012-02-09",437
"39","2012-02-10",465
"40","2012-02-13",458
"41","2012-02-14",459.799988
"42","2012-02-15",465.600006
"43","2012-02-16",452.799988
"44","2012-02-17",468.399994
"45","2012-02-21",467.200012
"46","2012-02-22",464
"47","2012-02-23",469.600006
"48","2012-02-24",466
"49","2012-02-27",476
"50","2012-02-28",478.200012
"51","2012-02-29",486
"52","2012-03-01",486
"53","2012-03-02",492.200012
"54","2012-03-05",493.799988
"55","2012-03-06",466.399994
"56","2012-03-07",474
"57","2012-03-08",479.200012
"58","2012-03-09",488.200012
"59","2012-03-12",495.799988
"60","2012-03-13",490.200012
"61","2012-03-14",488.600006
"62","2012-03-15",474.200012
"63","2012-03-16",469.399994
"64","2012-03-19",479.799988
"65","2012-03-20",470
"66","2012-03-21",459.799988
"67","2012-03-22",445
"68","2012-03-23",459
"69","2012-03-26",472.799988
"70","2012-03-27",474.799988
"71","2012-03-28",471.799988
"72","2012-03-29",469.399994
"73","2012-03-30",471
"74","2012-04-02",480
"75","2012-04-03",484
"76","2012-04-04",485
"77","2012-04-05",487.799988
"78","2012-04-09",483
"79","2012-04-10",473.600006
"80","2012-04-11",462
"81","2012-04-12",467
"82","2012-04-13",464.600006
"83","2012-04-16",460
"84","2012-04-17",430.799988
"85","2012-04-18",431.200012
"86","2012-04-19",437.600006
"87","2012-04-20",447.200012
"88","2012-04-23",456.600006
"89","2012-04-24",458
"90","2012-04-25",462.200012
"91","2012-04-26",461
"92","2012-04-27",459.200012
"93","2012-04-30",470.799988
"94","2012-05-01",473
"95","2012-05-02",465.200012
"96","2012-05-03",444.600006
"97","2012-05-04",422.200012
"98","2012-05-07",427
"99","2012-05-08",405.600006
"100","2012-05-09",428.799988
"101","2012-05-10",434
"102","2012-05-11",433.399994
"103","2012-05-14",416.399994
"104","2012-05-15",406.200012
"105","2012-05-16",400
"106","2012-05-17",371.600006
"107","2012-05-18",370.399994
"108","2012-05-21",409.200012
"109","2012-05-22",420.600006
"110","2012-05-23",430.200012
"111","2012-05-24",433.399994
"112","2012-05-25",423
"113","2012-05-29",440
"114","2012-05-30",408
"115","2012-05-31",403
"116","2012-06-01",367
"117","2012-06-04",385.600006
"118","2012-06-05",400.600006
"119","2012-06-06",403.600006
"120","2012-06-07",393.200012
"121","2012-06-08",398.799988
"122","2012-06-11",394.799988
"123","2012-06-12",394.399994
"124","2012-06-13",400
"125","2012-06-14",398
"126","2012-06-15",386
"127","2012-06-18",373.399994
"128","2012-06-19",376.600006
"129","2012-06-20",375.399994
"130","2012-06-21",378
"131","2012-06-22",382
"132","2012-06-25",380
"133","2012-06-26",408
"134","2012-06-27",403.600006
"135","2012-06-28",410.200012
"136","2012-06-29",405.600006
"137","2012-07-02",435
"138","2012-07-03",436
"139","2012-07-05",438
"140","2012-07-06",437.600006
"141","2012-07-09",424.600006
"142","2012-07-10",420
"143","2012-07-11",416
"144","2012-07-12",423.200012
"145","2012-07-13",427.600006
"146","2012-07-16",424.799988
"147","2012-07-17",430.600006
"148","2012-07-18",430
"149","2012-07-19",439.799988
"150","2012-07-20",430
"151","2012-07-23",428.600006
"152","2012-07-24",410.200012
"153","2012-07-25",430
"154","2012-07-26",430
"155","2012-07-27",437.799988
"156","2012-07-30",444.200012
"157","2012-07-31",448
"158","2012-08-01",455
"159","2012-08-02",450
"160","2012-08-03",439.600006
"161","2012-08-06",445
"162","2012-08-07",445.200012
"163","2012-08-08",447.600006
"164","2012-08-09",417.799988
"165","2012-08-10",417.200012
"166","2012-08-13",420.200012
"167","2012-08-14",435.600006
"168","2012-08-15",450.600006
"169","2012-08-16",451.600006
"170","2012-08-17",452.600006
"171","2012-08-20",455.200012
"172","2012-08-21",460.399994
"173","2012-08-22",457.600006
"174","2012-08-23",457
"175","2012-08-24",456
"176","2012-08-27",454.399994
"177","2012-08-28",455
"178","2012-08-29",457.399994
"179","2012-08-30",441.600006
"180","2012-08-31",449.600006
"181","2012-09-04",447.600006
"182","2012-09-05",443.799988
"183","2012-09-06",436.200012
"184","2012-09-07",442
"185","2012-09-10",448.200012
"186","2012-09-11",465
"187","2012-09-12",463
"188","2012-09-13",459.200012
"189","2012-09-14",464
"190","2012-09-17",470
"191","2012-09-18",474
"192","2012-09-19",458.399994
"193","2012-09-20",453.200012
"194","2012-09-21",459
"195","2012-09-24",458.399994
"196","2012-09-25",456.799988
"197","2012-09-26",452.600006
"198","2012-09-27",437.799988
"199","2012-09-28",428.600006
"200","2012-10-01",433.399994
"201","2012-10-02",435.799988
"202","2012-10-03",435.799988
"203","2012-10-04",439
"204","2012-10-05",445
"205","2012-10-08",443.799988
"206","2012-10-09",442
"207","2012-10-10",448.399994
"208","2012-10-11",452.200012
"209","2012-10-12",456.799988
"210","2012-10-15",446
"211","2012-10-16",424
"212","2012-10-17",428
"213","2012-10-18",429
"214","2012-10-19",432.399994
"215","2012-10-22",432
"216","2012-10-23",432
"217","2012-10-24",430.399994
"218","2012-10-25",437.399994
"219","2012-10-26",439
"220","2012-10-31",435.399994
"221","2012-11-01",442.600006
"222","2012-11-02",433.799988
"223","2012-11-05",421.799988
"224","2012-11-06",426.600006
"225","2012-11-07",423.600006
"226","2012-11-08",428.600006
"227","2012-11-09",404.399994
"228","2012-11-12",392.200012
"229","2012-11-13",389.200012
"230","2012-11-14",375.600006
"231","2012-11-15",357.399994
"232","2012-11-16",389.200012
"233","2012-11-19",406.399994
"234","2012-11-20",400.600006
"235","2012-11-21",409.399994
"236","2012-11-23",409.200012
"237","2012-11-26",405.799988
"238","2012-11-27",405.399994
"239","2012-11-28",404.399994
"240","2012-11-29",416.600006
"241","2012-11-30",413.799988
"242","2012-12-03",417
"243","2012-12-04",407.600006
"244","2012-12-05",401
"245","2012-12-06",389.200012
"246","2012-12-07",390.600006
"247","2012-12-10",390.799988
"248","2012-12-11",385.799988
"249","2012-12-12",389.600006
"250","2012-12-13",385
"251","2012-12-14",384
"252","2012-12-17",376
"253","2012-12-18",377.600006
"254","2012-12-19",386.200012
"255","2012-12-20",390
"256","2012-12-21",386.399994
"257","2012-12-24",385.600006
"258","2012-12-26",381.399994
"259","2012-12-27",377.200012
"260","2012-12-28",377.399994
"261","2012-12-31",374
"262","2013-01-02",394.799988
"263","2013-01-03",403.200012
"264","2013-01-04",409.399994
"265","2013-01-07",414.200012
"266","2013-01-08",415.399994
"267","2013-01-09",415.600006
"268","2013-01-10",416.799988
"269","2013-01-11",415.600006
"270","2013-01-14",417
"271","2013-01-15",414.600006
"272","2013-01-16",416.200012
"273","2013-01-17",418.200012
"274","2013-01-18",421.200012
"275","2013-01-22",425.200012
"276","2013-01-23",422.399994
"277","2013-01-24",422.399994
"278","2013-01-25",435.799988
"279","2013-01-28",441.799988
"280","2013-01-29",440.799988
"281","2013-01-30",444.600006
"282","2013-01-31",448.200012
"283","2013-02-01",448
"284","2013-02-04",450.799988
"285","2013-02-05",445
"286","2013-02-06",440.200012
"287","2013-02-07",444
"288","2013-02-08",446.799988
"289","2013-02-11",447.399994
"290","2013-02-12",450
"291","2013-02-13",454.600006
"292","2013-02-14",455
"293","2013-02-15",448
"294","2013-02-19",451.600006
"295","2013-02-20",447
"296","2013-02-21",439.600006
