"","date","SYK"
"1","2007-01-03",55.119999
"2","2007-01-04",55.599998
"3","2007-01-05",55.830002
"4","2007-01-08",56.09
"5","2007-01-09",56.869999
"6","2007-01-10",57.639999
"7","2007-01-11",58.950001
"8","2007-01-12",58.77
"9","2007-01-16",58.77
"10","2007-01-17",58.490002
"11","2007-01-18",59
"12","2007-01-19",58.950001
"13","2007-01-22",58.240002
"14","2007-01-23",58.299999
"15","2007-01-24",58.779999
"16","2007-01-25",58.84
"17","2007-01-26",60.810001
"18","2007-01-29",61.779999
"19","2007-01-30",61.860001
"20","2007-01-31",61.939999
"21","2007-02-01",62.459999
"22","2007-02-02",62.41
"23","2007-02-05",62.389999
"24","2007-02-06",61.950001
"25","2007-02-07",62.400002
"26","2007-02-08",62.509998
"27","2007-02-09",62.110001
"28","2007-02-12",61.939999
"29","2007-02-13",62.650002
"30","2007-02-14",61.82
"31","2007-02-15",62.130001
"32","2007-02-16",62.049999
"33","2007-02-20",62.279999
"34","2007-02-21",62.25
"35","2007-02-22",63.450001
"36","2007-02-23",64.129997
"37","2007-02-26",62.299999
"38","2007-02-27",60.52
"39","2007-02-28",62.02
"40","2007-03-01",61.369999
"41","2007-03-02",61
"42","2007-03-05",60.889999
"43","2007-03-06",61.650002
"44","2007-03-07",61.91
"45","2007-03-08",62.689999
"46","2007-03-09",63.080002
"47","2007-03-12",64.029999
"48","2007-03-13",63.68
"49","2007-03-14",64.349998
"50","2007-03-15",64.610001
"51","2007-03-16",65.220001
"52","2007-03-19",65.550003
"53","2007-03-20",66.699997
"54","2007-03-21",66.610001
"55","2007-03-22",65.940002
"56","2007-03-23",65.260002
"57","2007-03-26",65.589996
"58","2007-03-27",65.519997
"59","2007-03-28",65.68
"60","2007-03-29",65.809998
"61","2007-03-30",66.32
"62","2007-04-02",67.230003
"63","2007-04-03",67.639999
"64","2007-04-04",67.669998
"65","2007-04-05",68.279999
"66","2007-04-09",68.489998
"67","2007-04-10",67.870003
"68","2007-04-11",67.68
"69","2007-04-12",67.910004
"70","2007-04-13",67.959999
"71","2007-04-16",68.959999
"72","2007-04-17",70.059998
"73","2007-04-18",69.099998
"74","2007-04-19",66.010002
"75","2007-04-20",66.82
"76","2007-04-23",66.830002
"77","2007-04-24",66.760002
"78","2007-04-25",66.720001
"79","2007-04-26",66.080002
"80","2007-04-27",65.419998
"81","2007-04-30",64.940002
"82","2007-05-01",65.230003
"83","2007-05-02",65.150002
"84","2007-05-03",65.089996
"85","2007-05-04",65.860001
"86","2007-05-07",65.959999
"87","2007-05-08",65.610001
"88","2007-05-09",65.400002
"89","2007-05-10",64.540001
"90","2007-05-11",64.540001
