"","date","GSMG"
"1","2018-09-12",9.52
"2","2018-09-13",9.52
"3","2018-09-14",9.5
"4","2018-09-17",9.5
"5","2018-09-18",9.52
"6","2018-09-19",9.52
"7","2018-09-20",9.52
"8","2018-09-21",9.51
"9","2018-09-24",9.52
"10","2018-09-25",9.51
"11","2018-09-26",9.51
"12","2018-09-27",9.5
"13","2018-09-28",9.5
"14","2018-10-01",9.52
"15","2018-10-02",9.52
"16","2018-10-03",9.51
"17","2018-10-04",9.51
"18","2018-10-05",9.51
"19","2018-10-08",9.51
"20","2018-10-09",9.51
"21","2018-10-10",9.52
"22","2018-10-11",9.51
"23","2018-10-12",9.51
"24","2018-10-15",9.52
"25","2018-10-16",9.52
"26","2018-10-17",9.9
"27","2018-10-18",9.68
"28","2018-10-19",9.66
"29","2018-10-22",9.56
"30","2018-10-23",9.55
"31","2018-10-24",9.55
"32","2018-10-25",9.6
"33","2018-10-26",9.54
"34","2018-10-29",9.53
"35","2018-10-30",9.53
"36","2018-10-31",9.55
"37","2018-11-01",9.55
"38","2018-11-02",9.55
"39","2018-11-05",9.55
"40","2018-11-06",9.55
"41","2018-11-07",9.55
"42","2018-11-08",9.55
"43","2018-11-09",9.55
"44","2018-11-12",9.55
"45","2018-11-13",9.57
"46","2018-11-14",9.57
"47","2018-11-15",9.57
"48","2018-11-16",9.57
"49","2018-11-19",9.57
"50","2018-11-20",9.57
"51","2018-11-21",9.57
"52","2018-11-23",9.57
"53","2018-11-26",9.57
"54","2018-11-27",9.57
"55","2018-11-28",9.63
"56","2018-11-29",9.75
"57","2018-11-30",9.66
"58","2018-12-03",9.62
"59","2018-12-04",9.62
"60","2018-12-06",9.62
"61","2018-12-07",9.62
"62","2018-12-10",9.62
"63","2018-12-11",9.61
"64","2018-12-12",9.61
"65","2018-12-13",9.61
"66","2018-12-14",9.61
"67","2018-12-17",9.61
"68","2018-12-18",9.61
"69","2018-12-19",9.61
"70","2018-12-20",9.61
"71","2018-12-21",9.61
"72","2018-12-24",9.61
"73","2018-12-26",9.61
