"","date","GDS"
"1","2016-11-02",10.41
"2","2016-11-03",10.4
"3","2016-11-04",10
"4","2016-11-07",9.74
"5","2016-11-08",9.74
"6","2016-11-09",9.64
"7","2016-11-10",9.72
"8","2016-11-11",9.65
"9","2016-11-14",9.55
"10","2016-11-15",9.42
"11","2016-11-16",8.83
"12","2016-11-17",8.82
"13","2016-11-18",9.09
"14","2016-11-21",9.44
"15","2016-11-22",9.8
"16","2016-11-23",10.24
"17","2016-11-25",10.33
"18","2016-11-28",10.02
"19","2016-11-29",10.01
"20","2016-11-30",10.02
"21","2016-12-01",10.01
"22","2016-12-02",10
"23","2016-12-05",9.93
"24","2016-12-06",9.95
"25","2016-12-07",10
"26","2016-12-08",9.8
"27","2016-12-09",9.99
"28","2016-12-12",9.68
"29","2016-12-13",9.82
"30","2016-12-14",9.61
"31","2016-12-15",9.56
"32","2016-12-16",9.58
"33","2016-12-19",9.21
"34","2016-12-20",8.86
"35","2016-12-21",8.05
"36","2016-12-22",8.09
"37","2016-12-23",8.17
"38","2016-12-27",8.65
"39","2016-12-28",8.72
"40","2016-12-29",8.93
"41","2016-12-30",8.6
"42","2017-01-03",8.49
"43","2017-01-04",8.295
"44","2017-01-05",8.5
"45","2017-01-06",8.38
"46","2017-01-09",8.2
"47","2017-01-10",8.1
"48","2017-01-11",8.01
"49","2017-01-12",7.95
"50","2017-01-13",8
"51","2017-01-17",8.05
"52","2017-01-18",7.97
"53","2017-01-19",7.81
"54","2017-01-20",8.19
"55","2017-01-23",8.15
"56","2017-01-24",8.17
"57","2017-01-25",8.17
"58","2017-01-26",7.82
"59","2017-01-27",7.92
"60","2017-01-30",7.99
"61","2017-01-31",8.26
"62","2017-02-01",8.04
"63","2017-02-02",8.03
"64","2017-02-03",8.01
"65","2017-02-06",7.99
"66","2017-02-07",8.8
"67","2017-02-08",8.36
"68","2017-02-09",8.31
"69","2017-02-10",8.31
"70","2017-02-13",8.25
"71","2017-02-14",8.38
"72","2017-02-15",8.23
"73","2017-02-16",8.43
"74","2017-02-17",8.28
"75","2017-02-21",8.2
"76","2017-02-22",8.25
"77","2017-02-23",8.02
"78","2017-02-24",8.15
"79","2017-02-27",7.95
"80","2017-02-28",7.77
"81","2017-03-01",7.65
"82","2017-03-02",7.96
"83","2017-03-03",7.95
"84","2017-03-06",7.99
"85","2017-03-07",7.95
"86","2017-03-08",7.88
"87","2017-03-09",7.81
"88","2017-03-10",7.69
"89","2017-03-13",7.78
"90","2017-03-14",8.47
"91","2017-03-15",8.32
"92","2017-03-16",8.2
"93","2017-03-17",8.44
"94","2017-03-20",8.4
"95","2017-03-21",8.14
"96","2017-03-22",8.02
"97","2017-03-23",8.2
"98","2017-03-24",8.41
"99","2017-03-27",8.64
"100","2017-03-28",8.57
"101","2017-03-29",8.54
"102","2017-03-30",8.4
"103","2017-03-31",8.27
"104","2017-04-03",8.36
"105","2017-04-04",8.32
"106","2017-04-05",8
"107","2017-04-06",8.06
"108","2017-04-07",8.11
"109","2017-04-10",8.06
"110","2017-04-11",8.13
"111","2017-04-12",8.1
"112","2017-04-13",8.19
"113","2017-04-17",8.14
"114","2017-04-18",8.1
"115","2017-04-19",8.16
