"","date","ELY"
"1","2007-01-03",14.54
"2","2007-01-04",14.55
"3","2007-01-05",14.12
"4","2007-01-08",13.98
"5","2007-01-09",14.24
"6","2007-01-10",14.17
"7","2007-01-11",14.46
"8","2007-01-12",14.61
"9","2007-01-16",14.37
"10","2007-01-17",14.47
"11","2007-01-18",14.04
"12","2007-01-19",15.71
"13","2007-01-22",15.95
"14","2007-01-23",16.26
"15","2007-01-24",16.91
"16","2007-01-25",16.33
"17","2007-01-26",16.32
"18","2007-01-29",16.690001
"19","2007-01-30",16.65
"20","2007-01-31",16.52
"21","2007-02-01",16.540001
"22","2007-02-02",16.4
"23","2007-02-05",16.48
"24","2007-02-06",16.610001
"25","2007-02-07",16.68
"26","2007-02-08",16.77
"27","2007-02-09",14.95
"28","2007-02-12",14.64
"29","2007-02-13",14.79
"30","2007-02-14",14.89
"31","2007-02-15",15
"32","2007-02-16",14.87
"33","2007-02-20",15.33
"34","2007-02-21",15.54
"35","2007-02-22",15.66
"36","2007-02-23",15.72
"37","2007-02-26",15.73
"38","2007-02-27",15.29
"39","2007-02-28",15.08
"40","2007-03-01",15
"41","2007-03-02",14.5
"42","2007-03-05",14.42
"43","2007-03-06",14.71
"44","2007-03-07",14.81
"45","2007-03-08",15.04
"46","2007-03-09",15.06
"47","2007-03-12",15.05
"48","2007-03-13",14.96
"49","2007-03-14",15.06
"50","2007-03-15",15.25
"51","2007-03-16",15.32
"52","2007-03-19",15.92
"53","2007-03-20",15.99
"54","2007-03-21",15.9
"55","2007-03-22",15.9
"56","2007-03-23",15.88
"57","2007-03-26",15.8
"58","2007-03-27",15.77
"59","2007-03-28",15.6
"60","2007-03-29",15.6
"61","2007-03-30",15.76
"62","2007-04-02",16.17
"63","2007-04-03",16.530001
"64","2007-04-04",16.219999
"65","2007-04-05",16.35
"66","2007-04-09",16.190001
"67","2007-04-10",16.51
"68","2007-04-11",16.49
"69","2007-04-12",16.700001
"70","2007-04-13",16.940001
"71","2007-04-16",17.02
"72","2007-04-17",18.4
"73","2007-04-18",18.379999
"74","2007-04-19",18.07
"75","2007-04-20",18.299999
"76","2007-04-23",18.15
"77","2007-04-24",17.889999
"78","2007-04-25",18.030001
"79","2007-04-26",18.23
"80","2007-04-27",18.049999
"81","2007-04-30",17.959999
"82","2007-05-01",17.860001
"83","2007-05-02",18.17
"84","2007-05-03",18.27
"85","2007-05-04",18.15
"86","2007-05-07",18.129999
"87","2007-05-08",18.030001
"88","2007-05-09",18.02
"89","2007-05-10",17.52
"90","2007-05-11",17.620001
"91","2007-05-14",17.91
"92","2007-05-15",17.58
"93","2007-05-16",17.59
"94","2007-05-17",17.540001
"95","2007-05-18",17.610001
"96","2007-05-21",17.57
