"","date","CHMI"
"1","2013-10-04",18.5
"2","2013-10-07",18.1
"3","2013-10-08",17.559999
"4","2013-10-09",17.42
"5","2013-10-10",17.559999
"6","2013-10-11",18.059999
"7","2013-10-14",18.15
"8","2013-10-15",18.049999
"9","2013-10-16",18
"10","2013-10-17",17.870001
"11","2013-10-18",17.85
"12","2013-10-21",17.82
"13","2013-10-22",17.83
"14","2013-10-23",17.85
"15","2013-10-24",18.09
"16","2013-10-25",18.200001
"17","2013-10-28",17.950001
"18","2013-10-29",17.860001
"19","2013-10-30",17.85
"20","2013-10-31",17.950001
"21","2013-11-01",17.879999
"22","2013-11-04",17.85
"23","2013-11-05",17.84
"24","2013-11-06",17.65
"25","2013-11-07",17.559999
"26","2013-11-08",17.450001
"27","2013-11-11",17.639999
"28","2013-11-12",17.9
"29","2013-11-13",17.709999
"30","2013-11-14",17.719999
"31","2013-11-15",17.68
"32","2013-11-18",17.629999
"33","2013-11-19",17.58
"34","2013-11-20",17.52
"35","2013-11-21",17.610001
"36","2013-11-22",17.559999
"37","2013-11-25",17.549999
"38","2013-11-26",17.5
"39","2013-11-27",17.549999
"40","2013-11-29",17.65
"41","2013-12-02",17.5
"42","2013-12-03",17.540001
"43","2013-12-04",17.5
"44","2013-12-05",17.549999
"45","2013-12-06",17.639999
"46","2013-12-09",17.5
"47","2013-12-10",17.469999
"48","2013-12-11",17.450001
"49","2013-12-12",17.4
"50","2013-12-13",17.620001
"51","2013-12-16",17.709999
"52","2013-12-17",18.129999
"53","2013-12-18",18.209999
"54","2013-12-19",18.35
"55","2013-12-20",18.200001
"56","2013-12-23",18.299999
"57","2013-12-24",18.030001
"58","2013-12-26",18.040001
"59","2013-12-27",17.940001
"60","2013-12-30",17.610001
"61","2013-12-31",17.799999
"62","2014-01-02",18.5
"63","2014-01-03",18.6
"64","2014-01-06",18.59
"65","2014-01-07",18.51
"66","2014-01-08",18.5
"67","2014-01-09",18.450001
"68","2014-01-10",18.459999
"69","2014-01-13",18.51
"70","2014-01-14",18.93
"71","2014-01-15",18.950001
"72","2014-01-16",19.059999
"73","2014-01-17",18.879999
"74","2014-01-21",18.879999
"75","2014-01-22",18.799999
"76","2014-01-23",18.639999
"77","2014-01-24",18.4
"78","2014-01-27",18.129999
"79","2014-01-28",18.129999
"80","2014-01-29",18.02
"81","2014-01-30",18.059999
"82","2014-01-31",18.049999
"83","2014-02-03",18.219999
"84","2014-02-04",18.190001
"85","2014-02-05",18.17
"86","2014-02-06",18.32
"87","2014-02-07",18.370001
"88","2014-02-10",18.309999
"89","2014-02-11",18.549999
"90","2014-02-12",18.57
"91","2014-02-13",18.4
"92","2014-02-14",18.540001
"93","2014-02-18",18.59
"94","2014-02-19",18.51
"95","2014-02-20",18.34
"96","2014-02-21",18.15
"97","2014-02-24",18.24
