"","date","ATHA"
"1","2020-09-18",17.110001
"2","2020-09-21",16.809999
"3","2020-09-22",16.65
"4","2020-09-23",16.299999
"5","2020-09-24",16.02
"6","2020-09-25",16.25
"7","2020-09-28",16.620001
"8","2020-09-29",16.110001
"9","2020-09-30",18.459999
"10","2020-10-01",16.969999
"11","2020-10-02",16.48
"12","2020-10-05",16.93
"13","2020-10-06",16.950001
"14","2020-10-07",17
"15","2020-10-08",17
"16","2020-10-09",16.809999
"17","2020-10-12",17.09
"18","2020-10-13",18.440001
"19","2020-10-14",17.93
"20","2020-10-15",18.219999
"21","2020-10-16",18.309999
"22","2020-10-19",20.860001
"23","2020-10-20",21.08
"24","2020-10-21",20.98
"25","2020-10-22",20.1
"26","2020-10-23",19.34
"27","2020-10-26",18.530001
"28","2020-10-27",18.76
"29","2020-10-28",17.940001
"30","2020-10-29",18.879999
"31","2020-10-30",18.059999
"32","2020-11-02",18.200001
"33","2020-11-03",19.889999
"34","2020-11-04",24.690001
"35","2020-11-05",22.73
"36","2020-11-06",22.219999
"37","2020-11-09",22.25
"38","2020-11-10",22.25
"39","2020-11-11",22.33
"40","2020-11-12",23.459999
"41","2020-11-13",26.5
"42","2020-11-16",24.6
"43","2020-11-17",25.950001
"44","2020-11-18",24.51
"45","2020-11-19",23.51
"46","2020-11-20",23.42
"47","2020-11-23",23.27
"48","2020-11-24",23.299999
"49","2020-11-25",22.9
"50","2020-11-27",24.01
