"","date","SMPL"
"1","2017-07-10",12
"2","2017-07-11",12
"3","2017-07-12",12.23
"4","2017-07-13",12
"5","2017-07-14",11.99
"6","2017-07-17",11.95
"7","2017-07-18",11.8
"8","2017-07-19",11.82
"9","2017-07-20",11.8
"10","2017-07-21",11.9
"11","2017-07-24",11.9
"12","2017-07-25",11.87
"13","2017-07-26",11.79
"14","2017-07-27",11.98
"15","2017-07-28",11.88
"16","2017-07-31",11.85
"17","2017-08-01",11.9
"18","2017-08-02",11.85
"19","2017-08-03",11.9
"20","2017-08-04",11.89
"21","2017-08-07",11.76
"22","2017-08-08",11.8
"23","2017-08-09",11.81
"24","2017-08-10",11.75
"25","2017-08-11",11.91
"26","2017-08-14",11.99
"27","2017-08-15",11.9
"28","2017-08-16",12.03
"29","2017-08-17",11.95
"30","2017-08-18",12.04
"31","2017-08-21",12.04
"32","2017-08-22",11.96
"33","2017-08-23",11.81
"34","2017-08-24",11.94
"35","2017-08-25",11.88
"36","2017-08-28",11.84
"37","2017-08-29",11.88
"38","2017-08-30",11.79
"39","2017-08-31",11.85
"40","2017-09-01",11.85
"41","2017-09-05",11.83
"42","2017-09-06",11.91
"43","2017-09-07",11.91
"44","2017-09-08",12.07
"45","2017-09-11",12.07
"46","2017-09-12",12.16
"47","2017-09-13",12.23
"48","2017-09-14",12.21
"49","2017-09-15",11.83
"50","2017-09-18",11.63
"51","2017-09-19",11.28
"52","2017-09-20",11.27
"53","2017-09-21",11.39
"54","2017-09-22",11.36
"55","2017-09-25",11.17
"56","2017-09-26",11.54
"57","2017-09-27",11.6
"58","2017-09-28",11.66
"59","2017-09-29",11.71
"60","2017-10-02",11.98
"61","2017-10-03",11.8
"62","2017-10-04",12.11
"63","2017-10-05",12.08
"64","2017-10-06",12.15
"65","2017-10-09",12.12
"66","2017-10-10",12.25
"67","2017-10-11",12.13
"68","2017-10-12",12.1
"69","2017-10-13",12.04
"70","2017-10-16",12.01
"71","2017-10-17",12
"72","2017-10-18",11.92
"73","2017-10-19",11.84
"74","2017-10-20",11.8
"75","2017-10-23",11.76
"76","2017-10-24",11.56
"77","2017-10-25",11.46
"78","2017-10-26",11.68
"79","2017-10-27",11.36
"80","2017-10-30",11.14
"81","2017-10-31",11.52
"82","2017-11-01",11.64
"83","2017-11-02",11.46
"84","2017-11-03",11.7
"85","2017-11-06",11.73
"86","2017-11-07",11.64
"87","2017-11-08",11.95
"88","2017-11-09",11.94
"89","2017-11-10",12.1
"90","2017-11-13",11.99
"91","2017-11-14",12.19
"92","2017-11-15",12.3
"93","2017-11-16",12.39
"94","2017-11-17",12.42
"95","2017-11-20",12.63
"96","2017-11-21",12.64
"97","2017-11-22",12.82
"98","2017-11-24",12.67
"99","2017-11-27",12.69
"100","2017-11-28",12.71
"101","2017-11-29",13.08
"102","2017-11-30",13.24
"103","2017-12-01",13.48
"104","2017-12-04",13.41
"105","2017-12-05",13.45
"106","2017-12-06",13.5
"107","2017-12-07",13.2
"108","2017-12-08",13.42
"109","2017-12-11",13.32
"110","2017-12-12",13.23
"111","2017-12-13",13.39
"112","2017-12-14",13.21
"113","2017-12-15",13.28
"114","2017-12-18",13.64
"115","2017-12-19",13.57
"116","2017-12-20",13.49
"117","2017-12-21",13.51
"118","2017-12-22",13.61
"119","2017-12-26",13.85
"120","2017-12-27",14.21
"121","2017-12-28",14.18
"122","2017-12-29",14.26
"123","2018-01-02",14.52
"124","2018-01-03",14.29
"125","2018-01-04",14.03
"126","2018-01-05",14.15
"127","2018-01-08",14.07
"128","2018-01-09",14.22
"129","2018-01-10",13.97
"130","2018-01-11",13.74
"131","2018-01-12",13.67
"132","2018-01-16",13.95
"133","2018-01-17",14.04
"134","2018-01-18",14.05
"135","2018-01-19",14.15
"136","2018-01-22",14.13
"137","2018-01-23",14.22
"138","2018-01-24",14.19
"139","2018-01-25",14.25
"140","2018-01-26",14.2
"141","2018-01-29",14.04
"142","2018-01-30",13.91
"143","2018-01-31",13.6
"144","2018-02-01",13.94
