"","date","NSC"
"1","2007-01-03",49.23
"2","2007-01-04",48.41
"3","2007-01-05",49.200001
"4","2007-01-08",48.919998
"5","2007-01-09",48.57
"6","2007-01-10",48.189999
"7","2007-01-11",49.139999
"8","2007-01-12",50.299999
"9","2007-01-16",52.02
"10","2007-01-17",51.41
"11","2007-01-18",52.490002
"12","2007-01-19",52.98
"13","2007-01-22",52.110001
"14","2007-01-23",53.73
"15","2007-01-24",50.610001
"16","2007-01-25",48.82
"17","2007-01-26",48
"18","2007-01-29",47.560001
"19","2007-01-30",47.540001
"20","2007-01-31",49.650002
"21","2007-02-01",50.349998
"22","2007-02-02",50.880001
"23","2007-02-05",49.990002
"24","2007-02-06",49.869999
"25","2007-02-07",49.689999
"26","2007-02-08",49.009998
"27","2007-02-09",48.939999
"28","2007-02-12",48.419998
"29","2007-02-13",50.41
"30","2007-02-14",52.25
"31","2007-02-15",51.540001
"32","2007-02-16",51.18
"33","2007-02-20",51.43
"34","2007-02-21",52.029999
"35","2007-02-22",51.189999
"36","2007-02-23",50.950001
"37","2007-02-26",49.700001
"38","2007-02-27",47.349998
"39","2007-02-28",47.419998
"40","2007-03-01",47.009998
"41","2007-03-02",46.34
"42","2007-03-05",46.040001
"43","2007-03-06",46.599998
"44","2007-03-07",47.68
"45","2007-03-08",48.57
"46","2007-03-09",48.540001
"47","2007-03-12",49.009998
"48","2007-03-13",48.009998
"49","2007-03-14",47.18
"50","2007-03-15",47.919998
"51","2007-03-16",48.77
"52","2007-03-19",49.02
"53","2007-03-20",49.130001
"54","2007-03-21",49.400002
"55","2007-03-22",49.860001
"56","2007-03-23",51.970001
"57","2007-03-26",50.75
"58","2007-03-27",50.389999
"59","2007-03-28",50.040001
"60","2007-03-29",49.93
"61","2007-03-30",50.599998
"62","2007-04-02",50.57
"63","2007-04-03",50.830002
"64","2007-04-04",51.060001
"65","2007-04-05",50.98
"66","2007-04-09",52.889999
"67","2007-04-10",52.740002
"68","2007-04-11",51.860001
"69","2007-04-12",54.360001
"70","2007-04-13",53.889999
"71","2007-04-16",54.849998
"72","2007-04-17",54.040001
"73","2007-04-18",55.080002
"74","2007-04-19",55.91
"75","2007-04-20",56.060001
"76","2007-04-23",55.73
"77","2007-04-24",55.57
"78","2007-04-25",55.619999
"79","2007-04-26",53.279999
"80","2007-04-27",53.619999
"81","2007-04-30",53.25
"82","2007-05-01",52.650002
"83","2007-05-02",52.34
"84","2007-05-03",53.720001
"85","2007-05-04",53.919998
"86","2007-05-07",53.360001
"87","2007-05-08",54.610001
"88","2007-05-09",54.77
"89","2007-05-10",54
"90","2007-05-11",55.220001
"91","2007-05-14",54.919998
"92","2007-05-15",55.869999
"93","2007-05-16",56.790001
"94","2007-05-17",58.32
"95","2007-05-18",58.130001
"96","2007-05-21",57.5
"97","2007-05-22",57.290001
"98","2007-05-23",57.650002
"99","2007-05-24",57.330002
"100","2007-05-25",57.23
"101","2007-05-29",57.630001
"102","2007-05-30",57.459999
"103","2007-05-31",57.880001
