"","date","CCAP"
"1","2020-02-03",16.4
"2","2020-02-04",16.49
"3","2020-02-05",16.82
"4","2020-02-06",16.82
"5","2020-02-07",17.1
"6","2020-02-10",16.9
"7","2020-02-11",16.700001
"8","2020-02-12",16.780001
"9","2020-02-13",16.76
"10","2020-02-14",16.620001
"11","2020-02-18",16.49
"12","2020-02-19",16.540001
"13","2020-02-20",16.43
"14","2020-02-21",16.5
"15","2020-02-24",16.299999
"16","2020-02-25",16.200001
"17","2020-02-26",16.26
"18","2020-02-27",15.86
"19","2020-02-28",15.74
"20","2020-03-02",15.94
"21","2020-03-03",15.8
"22","2020-03-04",15.96
"23","2020-03-05",16.030001
"24","2020-03-06",15.95
"25","2020-03-09",14.39
"26","2020-03-10",14.5
"27","2020-03-11",14.12
"28","2020-03-12",12.715
"29","2020-03-13",13.15
"30","2020-03-16",11.26
"31","2020-03-17",10.91
"32","2020-03-18",8.5
"33","2020-03-19",9.25
"34","2020-03-20",7.38
"35","2020-03-23",6.21
"36","2020-03-24",6.52
"37","2020-03-25",6.69
"38","2020-03-26",8.63
"39","2020-03-27",9.5
"40","2020-03-30",9.4
"41","2020-03-31",9.65
"42","2020-04-01",8.68
"43","2020-04-02",9.45
"44","2020-04-03",8.93
"45","2020-04-06",9.56
"46","2020-04-07",9.69
"47","2020-04-08",10.5
"48","2020-04-09",11.28
"49","2020-04-13",12.5
"50","2020-04-14",12.84
"51","2020-04-15",13
"52","2020-04-16",12.38
"53","2020-04-17",11.97
"54","2020-04-20",9.96
"55","2020-04-21",10.66
"56","2020-04-22",10.2
"57","2020-04-23",9.98
"58","2020-04-24",9.66
"59","2020-04-27",9.05
"60","2020-04-28",9.87
"61","2020-04-29",10.47
"62","2020-04-30",9.88
"63","2020-05-01",10.3
"64","2020-05-04",10.24
"65","2020-05-05",10.74
"66","2020-05-06",10.8
"67","2020-05-07",11.93
"68","2020-05-08",11.32
"69","2020-05-11",10.77
"70","2020-05-12",10.98
"71","2020-05-13",11
"72","2020-05-14",11
"73","2020-05-15",10.6
