"","date","CHFS"
"1","2012-02-16",3024000
"2","2012-02-17",3780000
"3","2012-02-21",3906000
"4","2012-02-22",3654000
"5","2012-02-23",3528000
"6","2012-02-24",3535560
"7","2012-02-27",3906000
"8","2012-02-28",3780000
"9","2012-02-29",3812760
"10","2012-03-01",4908960
"11","2012-03-02",3780000
"12","2012-03-05",3528000
"13","2012-03-06",2646000
"14","2012-03-07",3018960
"15","2012-03-08",2772000
"16","2012-03-09",3213000
"17","2012-03-12",2968560
"18","2012-03-13",2772000
"19","2012-03-14",2656080
"20","2012-03-15",2525040
"21","2012-03-16",2746800
"22","2012-03-19",2640960
"23","2012-03-20",2336040
"24","2012-03-21",2230200
"25","2012-03-22",2205000
"26","2012-03-23",2268000
"27","2012-03-26",2205000
"28","2012-03-27",2305800
"29","2012-03-28",2205000
"30","2012-03-29",2268000
"31","2012-03-30",2230200
"32","2012-04-02",2230200
"33","2012-04-03",2099160
"34","2012-04-04",2142000
"35","2012-04-05",2142000
"36","2012-04-09",2028600
"37","2012-04-10",1890000
"38","2012-04-11",1827000
"39","2012-04-12",1827000
"40","2012-04-13",1827000
"41","2012-04-16",1827000
"42","2012-04-17",1827000
"43","2012-04-18",1827000
"44","2012-04-19",1827000
"45","2012-04-20",1890000
"46","2012-04-23",1890000
"47","2012-04-24",1890000
"48","2012-04-25",1890000
"49","2012-04-26",1890000
"50","2012-04-27",1733760
"51","2012-04-30",1852200
"52","2012-05-01",1980720
"53","2012-05-02",1766520
"54","2012-05-03",1766520
"55","2012-05-04",1766520
"56","2012-05-07",1766520
"57","2012-05-08",1890000
"58","2012-05-09",1890000
"59","2012-05-10",1890000
"60","2012-05-11",1890000
"61","2012-05-14",1890000
"62","2012-05-15",1638000
"63","2012-05-16",1638000
"64","2012-05-17",1638000
"65","2012-05-18",1701000
"66","2012-05-21",1638000
"67","2012-05-22",1638000
"68","2012-05-23",1638000
"69","2012-05-24",1638000
"70","2012-05-25",1512000
"71","2012-05-29",1512000
"72","2012-05-30",1512000
"73","2012-05-31",1262520
"74","2012-06-01",1761480
"75","2012-06-04",1580040
"76","2012-06-05",1580040
"77","2012-06-06",1512000
"78","2012-06-07",1512000
"79","2012-06-08",1512000
"80","2012-06-11",1512000
"81","2012-06-12",1630440
"82","2012-06-13",1630440
"83","2012-06-14",1595160
"84","2012-06-15",1595160
"85","2012-06-18",1595160
"86","2012-06-19",1436400
"87","2012-06-20",1335600
"88","2012-06-21",1335600
"89","2012-06-22",1197000
"90","2012-06-25",1197000
"91","2012-06-26",1197000
"92","2012-06-27",1197000
"93","2012-06-28",1134000
"94","2012-06-29",821520
"95","2012-07-02",932400
"96","2012-07-03",907200
"97","2012-07-05",758520
"98","2012-07-06",1257480
"99","2012-07-09",2431800
"100","2012-07-10",3351600
"101","2012-07-11",2875320
"102","2012-07-12",3190320
"103","2012-07-13",3195360
"104","2012-07-16",2779560
"105","2012-07-17",2368800
"106","2012-07-18",2494800
"107","2012-07-19",2585520
"108","2012-07-20",2567880
"109","2012-07-23",2658600
"110","2012-07-24",2532600
"111","2012-07-25",2882880
"112","2012-07-26",2703960
"113","2012-07-27",2522520
"114","2012-07-30",2469600
"115","2012-07-31",2331000
"116","2012-08-01",2270520
"117","2012-08-02",2139480
"118","2012-08-03",2134440
"119","2012-08-06",2348640
"120","2012-08-07",2245320
"121","2012-08-08",2131920
"122","2012-08-09",2066400
"123","2012-08-10",1746360
"124","2012-08-13",1764000
"125","2012-08-14",1771560
"126","2012-08-15",1766520
"127","2012-08-16",1764000
"128","2012-08-17",1764000
"129","2012-08-20",1738800
"130","2012-08-21",1675800
"131","2012-08-22",1665720
"132","2012-08-23",1706040
"133","2012-08-24",1698480
"134","2012-08-27",1688400
"135","2012-08-28",1708560
"136","2012-08-29",1708560
"137","2012-08-30",1764000
"138","2012-08-31",1746360
"139","2012-09-04",1708560
"140","2012-09-05",1751400
"141","2012-09-06",1726200
"142","2012-09-07",1741320
"143","2012-09-10",2147040
"144","2012-09-11",2310840
"145","2012-09-12",2084040
"146","2012-09-13",2116800
"147","2012-09-14",2202480
"148","2012-09-17",2184840
"149","2012-09-18",2240280
"150","2012-09-19",2187360
"151","2012-09-20",2207520
"152","2012-09-21",2217600
"153","2012-09-24",2187360
"154","2012-09-25",2000880
"155","2012-09-26",1887480
"156","2012-09-27",1970640
"157","2012-09-28",2101680
"158","2012-10-01",2152080
"159","2012-10-02",2023560
"160","2012-10-03",2033640
"161","2012-10-04",2005920
"162","2012-10-05",2005920
"163","2012-10-08",1968120
"164","2012-10-09",1910160
"165","2012-10-10",1857240
"166","2012-10-11",1864800
"167","2012-10-12",1847160
"168","2012-10-15",1819440
"169","2012-10-16",1794240
"170","2012-10-17",1635480
"171","2012-10-18",1602720
"172","2012-10-19",1635480
"173","2012-10-22",1716120
"174","2012-10-23",1756440
"175","2012-10-24",1716120
"176","2012-10-25",1612800
"177","2012-10-26",1590120
"178","2012-10-31",1592640
"179","2012-11-01",1612800
"180","2012-11-02",1600200
"181","2012-11-05",1683360
"182","2012-11-06",1678320
"183","2012-11-07",1620360
"184","2012-11-08",1577520
"185","2012-11-09",1655640
"186","2012-11-12",1627920
"187","2012-11-13",1595160
"188","2012-11-14",1585080
"189","2012-11-15",1590120
"190","2012-11-16",1585080
"191","2012-11-19",1660680
"192","2012-11-20",1635480
"193","2012-11-21",1620360
"194","2012-11-23",1572480
"195","2012-11-26",1653120
"196","2012-11-27",1673280
"197","2012-11-28",1620360
"198","2012-11-29",1723680
"199","2012-11-30",1781640
"200","2012-12-03",1769040
"201","2012-12-04",1771560
"202","2012-12-05",1701000
"203","2012-12-06",1678320
"204","2012-12-07",1665720
"205","2012-12-10",1678320
"206","2012-12-11",1746360
"207","2012-12-12",1713600
"208","2012-12-13",1693440
"209","2012-12-14",1668240
"210","2012-12-17",1620360
"211","2012-12-18",1617840
"212","2012-12-19",1635480
"213","2012-12-20",1632960
"214","2012-12-21",1564920
"215","2012-12-24",1602720
"216","2012-12-26",1567440
"217","2012-12-27",1564920
"218","2012-12-28",1532160
"219","2012-12-31",1534680
"220","2013-01-02",1564920
"221","2013-01-03",1557360
"222","2013-01-04",1605240
"223","2013-01-07",1587600
"224","2013-01-08",1605240
"225","2013-01-09",1587600
"226","2013-01-10",1559880
"227","2013-01-11",1557360
"228","2013-01-14",1537200
"229","2013-01-15",1529640
"230","2013-01-16",1544760
"231","2013-01-17",1534680
"232","2013-01-18",1471680
"233","2013-01-22",1373400
"234","2013-01-23",1388520
"235","2013-01-24",1431360
"236","2013-01-25",1484280
"237","2013-01-28",1464120
"238","2013-01-29",1509480
"239","2013-01-30",1494360
"240","2013-01-31",1474200
"241","2013-02-01",1595160
"242","2013-02-04",1600200
"243","2013-02-05",1716120
"244","2013-02-06",1958040
"245","2013-02-07",1940400
"246","2013-02-08",1842120
"247","2013-02-11",1733760
"248","2013-02-12",1685880
"249","2013-02-13",1685880
"250","2013-02-14",1746360
"251","2013-02-15",1726200
"252","2013-02-19",1723680
"253","2013-02-20",1632960
"254","2013-02-21",1597680
"255","2013-02-22",1600200
"256","2013-02-25",1519560
"257","2013-02-26",1524600
"258","2013-02-27",1517040
"259","2013-02-28",1474200
"260","2013-03-01",1471680
"261","2013-03-04",1504440
"262","2013-03-05",1519560
"263","2013-03-06",1534680
"264","2013-03-07",1683360
"265","2013-03-08",1569960
"266","2013-03-11",1567440
"267","2013-03-12",1610280
"268","2013-03-13",1622880
"269","2013-03-14",1622880
"270","2013-03-15",1582560
"271","2013-03-18",1575000
"272","2013-03-19",1554840
"273","2013-03-20",1567440
"274","2013-03-21",1567440
"275","2013-03-22",1615320
"276","2013-03-25",1562400
"277","2013-03-26",1557360
"278","2013-03-27",1552320
"279","2013-03-28",1539720
"280","2013-04-01",1554840
"281","2013-04-02",1549800
"282","2013-04-03",1524600
"283","2013-04-04",1554840
"284","2013-04-05",1537200
"285","2013-04-08",1509480
"286","2013-04-09",1529640
"287","2013-04-10",1514520
"288","2013-04-11",1355760
"289","2013-04-12",1338120
"290","2013-04-15",1328040
"291","2013-04-16",1340640
"292","2013-04-17",1320480
"293","2013-04-18",1305360
"294","2013-04-19",1295280
"295","2013-04-22",1242360
"296","2013-04-23",1272600
"297","2013-04-24",1249920
"298","2013-04-25",1265040
"299","2013-04-26",1305360
"300","2013-04-29",1275120
"301","2013-04-30",1305360
"302","2013-05-01",1287720
"303","2013-05-02",1290240
"304","2013-05-03",1285200
"305","2013-05-06",1275120
"306","2013-05-07",1275120
"307","2013-05-08",1282680
"308","2013-05-09",1292760
"309","2013-05-10",1295280
"310","2013-05-13",1292760
"311","2013-05-14",1373400
"312","2013-05-15",1373400
"313","2013-05-16",1360800
"314","2013-05-17",1383480
"315","2013-05-20",1433880
"316","2013-05-21",1517040
"317","2013-05-22",1481760
"318","2013-05-23",1509480
"319","2013-05-24",1512000
"320","2013-05-28",1559880
"321","2013-05-29",1529640
"322","2013-05-30",1491840
"323","2013-05-31",1459080
"324","2013-06-03",1428840
"325","2013-06-04",1411200
"326","2013-06-05",1416240
"327","2013-06-06",1398600
"328","2013-06-07",1436400
"329","2013-06-10",1436400
"330","2013-06-11",1408680
"331","2013-06-12",1406160
"332","2013-06-13",1378440
"333","2013-06-14",1388520
"334","2013-06-17",1446480
"335","2013-06-18",1524600
"336","2013-06-19",1484280
"337","2013-06-20",1416240
"338","2013-06-21",1413720
"339","2013-06-24",1383480
"340","2013-06-25",1388520
"341","2013-06-26",1363320
"342","2013-06-27",1373400
"343","2013-06-28",1353240
"344","2013-07-01",1358280
"345","2013-07-02",1370880
"346","2013-07-03",1426320
"347","2013-07-05",1451520
"348","2013-07-08",1441440
"349","2013-07-09",1418760
"350","2013-07-10",1459080
"351","2013-07-11",1554840
"352","2013-07-12",1580040
"353","2013-07-15",1670760
"354","2013-07-16",1610280
"355","2013-07-17",1680840
"356","2013-07-18",1718640
"357","2013-07-19",1832040
"358","2013-07-22",1877400
"359","2013-07-23",1902600
"360","2013-07-24",1932840
"361","2013-07-25",1844640
"362","2013-07-26",1864800
"363","2013-07-29",1857240
"364","2013-07-30",1890000
"365","2013-07-31",1857240
"366","2013-08-01",1892520
"367","2013-08-02",1890000
"368","2013-08-05",2222640
"369","2013-08-06",2144520
"370","2013-08-07",2328480
"371","2013-08-08",2242800
"372","2013-08-09",2225160
"373","2013-08-12",2147040
"374","2013-08-13",2290680
"375","2013-08-14",2260440
"376","2013-08-15",2182320
"377","2013-08-16",2194920
"378","2013-08-19",2257920
"379","2013-08-20",2305800
"380","2013-08-21",2638440
"381","2013-08-22",2663640
"382","2013-08-23",3223080
"383","2013-08-26",3089520
"384","2013-08-27",2981160
"385","2013-08-28",2938320
"386","2013-08-29",2802240
"387","2013-08-30",2774520
"388","2013-09-03",2671200
"389","2013-09-04",2613240
"390","2013-09-05",2789640
"391","2013-09-06",2746800
"392","2013-09-09",2787120
"393","2013-09-10",2759400
"394","2013-09-11",2749320
"395","2013-09-12",2716560
"396","2013-09-13",2782080
"397","2013-09-16",2857680
"398","2013-09-17",2983680
"399","2013-09-18",2860200
"400","2013-09-19",2696400
"401","2013-09-20",2646000
"402","2013-09-23",2754360
"403","2013-09-24",2734200
"404","2013-09-25",2875320
"405","2013-09-26",2945880
"406","2013-09-27",3011400
"407","2013-09-30",2918160
"408","2013-10-01",2925720
"409","2013-10-02",2930760
"410","2013-10-03",2789640
"411","2013-10-04",2827440
"412","2013-10-07",2766960
"413","2013-10-08",2736720
"414","2013-10-09",2570400
"415","2013-10-10",2623320
"416","2013-10-11",2590560
"417","2013-10-14",2610720
"418","2013-10-15",2532600
"419","2013-10-16",2583000
"420","2013-10-17",2583000
"421","2013-10-18",2759400
"422","2013-10-21",2703960
"423","2013-10-22",2746800
"424","2013-10-23",2774520
"425","2013-10-24",2789640
"426","2013-10-25",2774520
"427","2013-10-28",2772000
"428","2013-10-29",2935800
"429","2013-10-30",2678760
"430","2013-10-31",2656080
"431","2013-11-01",2542680
"432","2013-11-04",2520000
