"","date","ATEN"
"1","2014-03-21",16.209999
"2","2014-03-24",15.25
"3","2014-03-25",15.2
"4","2014-03-26",14.01
"5","2014-03-27",14.25
"6","2014-03-28",14.66
"7","2014-03-31",15.04
"8","2014-04-01",15.22
"9","2014-04-02",14.7
"10","2014-04-03",14.7
"11","2014-04-04",14.16
"12","2014-04-07",13.82
"13","2014-04-08",13.76
"14","2014-04-09",13.87
"15","2014-04-10",13.33
"16","2014-04-11",13.56
"17","2014-04-14",14.12
"18","2014-04-15",14.47
"19","2014-04-16",15.02
"20","2014-04-17",14.74
"21","2014-04-21",14.27
"22","2014-04-22",14.25
"23","2014-04-23",13.54
"24","2014-04-24",12.84
"25","2014-04-25",12.75
"26","2014-04-28",12.87
"27","2014-04-29",13.08
"28","2014-04-30",13.09
"29","2014-05-01",13.04
"30","2014-05-02",12.4
"31","2014-05-05",12.27
"32","2014-05-06",11.66
"33","2014-05-07",11.52
"34","2014-05-08",11.56
"35","2014-05-09",12.12
"36","2014-05-12",12.2
"37","2014-05-13",11.85
"38","2014-05-14",12.03
"39","2014-05-15",12.24
"40","2014-05-16",11.83
"41","2014-05-19",11.25
"42","2014-05-20",10.8
"43","2014-05-21",10.65
"44","2014-05-22",10.63
"45","2014-05-23",10.64
"46","2014-05-27",11.01
"47","2014-05-28",10.99
"48","2014-05-29",11.43
"49","2014-05-30",11.44
"50","2014-06-02",11.14
"51","2014-06-03",11
"52","2014-06-04",10.96
"53","2014-06-05",11
"54","2014-06-06",11.21
"55","2014-06-09",11.88
"56","2014-06-10",12.08
"57","2014-06-11",11.89
"58","2014-06-12",12.05
"59","2014-06-13",12.41
"60","2014-06-16",12.76
"61","2014-06-17",13.15
"62","2014-06-18",12.78
"63","2014-06-19",12.68
"64","2014-06-20",12.69
"65","2014-06-23",12.85
"66","2014-06-24",12.74
"67","2014-06-25",12.74
"68","2014-06-26",12.6
"69","2014-06-27",12.43
"70","2014-06-30",13.3
"71","2014-07-01",13.7
"72","2014-07-02",13.41
"73","2014-07-03",13.6
"74","2014-07-07",13.35
"75","2014-07-08",12.92
"76","2014-07-09",12.62
"77","2014-07-10",12.24
"78","2014-07-11",12.2
"79","2014-07-14",12.57
"80","2014-07-15",12.65
"81","2014-07-16",12.63
"82","2014-07-17",12.25
"83","2014-07-18",12.38
"84","2014-07-21",12.27
"85","2014-07-22",12.93
"86","2014-07-23",12.98
"87","2014-07-24",12.98
"88","2014-07-25",13.08
"89","2014-07-28",12.67
"90","2014-07-29",12.45
"91","2014-07-30",12.93
"92","2014-07-31",10.8
"93","2014-08-01",11.46
"94","2014-08-04",11.2
"95","2014-08-05",10.79
"96","2014-08-06",11.13
"97","2014-08-07",10.72
"98","2014-08-08",10.58
"99","2014-08-11",10.76
"100","2014-08-12",10.59
"101","2014-08-13",10.79
"102","2014-08-14",10.44
"103","2014-08-15",10.34
"104","2014-08-18",10.59
"105","2014-08-19",10.74
"106","2014-08-20",10.83
"107","2014-08-21",11.11
"108","2014-08-22",11.16
"109","2014-08-25",11.1
"110","2014-08-26",11
"111","2014-08-27",10.86
"112","2014-08-28",11.11
"113","2014-08-29",11.66
"114","2014-09-02",11.76
"115","2014-09-03",11.62
"116","2014-09-04",11.75
"117","2014-09-05",11.55
"118","2014-09-08",11.65
