"","date","AGBA"
"1","2019-07-31",9.9
"2","2019-08-01",9.9
"3","2019-08-02",10
"4","2019-08-05",10
"5","2019-08-06",10
"6","2019-08-07",10
"7","2019-08-08",10
"8","2019-08-09",10
"9","2019-08-12",10
"10","2019-08-13",10
"11","2019-08-14",10
"12","2019-08-15",10
"13","2019-08-16",10
"14","2019-08-19",10
"15","2019-08-20",10
"16","2019-08-21",10
"17","2019-08-22",10
"18","2019-08-23",10
"19","2019-08-26",10
"20","2019-08-27",10
"21","2019-08-28",10
"22","2019-08-29",10
"23","2019-08-30",10
"24","2019-09-03",9.86
"25","2019-09-04",9.86
"26","2019-09-05",9.86
"27","2019-09-06",9.86
"28","2019-09-09",9.86
"29","2019-09-10",9.86
"30","2019-09-11",9.86
"31","2019-09-12",9.86
"32","2019-09-13",9.86
"33","2019-09-16",9.86
"34","2019-09-17",9.86
"35","2019-09-18",9.86
"36","2019-09-19",9.86
"37","2019-09-20",9.86
"38","2019-09-23",9.86
"39","2019-09-24",9.86
"40","2019-09-25",9.86
"41","2019-09-26",9.9
"42","2019-09-27",9.9
"43","2019-09-30",9.9
"44","2019-10-01",9.9
"45","2019-10-02",9.9
"46","2019-10-03",9.9
"47","2019-10-04",9.9
"48","2019-10-07",9.9
"49","2019-10-08",9.9
"50","2019-10-09",9.9
"51","2019-10-10",9.9
"52","2019-10-11",9.9
"53","2019-10-14",9.9
"54","2019-10-15",9.9
"55","2019-10-16",9.9
"56","2019-10-17",9.9
"57","2019-10-18",9.9
"58","2019-10-21",9.9
"59","2019-10-22",9.9
"60","2019-10-23",9.9
"61","2019-10-24",9.9
"62","2019-10-25",9.9
"63","2019-10-28",9.95
"64","2019-10-29",9.95
"65","2019-10-30",9.95
"66","2019-10-31",9.95
"67","2019-11-01",9.95
"68","2019-11-04",9.95
"69","2019-11-05",9.95
"70","2019-11-06",9.95
"71","2019-11-07",9.98
"72","2019-11-08",9.98
"73","2019-11-11",9.98
"74","2019-11-12",9.98
"75","2019-11-13",9.98
"76","2019-11-14",9.98
"77","2019-11-15",9.98
"78","2019-11-18",9.975
"79","2019-11-19",9.975
"80","2019-11-20",9.98
"81","2019-11-21",9.98
"82","2019-11-22",10
"83","2019-11-25",10
"84","2019-11-26",10
"85","2019-11-27",10
"86","2019-11-29",10
"87","2019-12-02",10
"88","2019-12-03",10
"89","2019-12-04",10
"90","2019-12-05",10.04
"91","2019-12-06",10.04
"92","2019-12-09",10.04
"93","2019-12-10",10.04
"94","2019-12-11",10.04
"95","2019-12-12",10.05
"96","2019-12-13",10.08
"97","2019-12-16",10.05
"98","2019-12-17",10.05
"99","2019-12-18",10.05
"100","2019-12-19",10.1
"101","2019-12-20",10.1
"102","2019-12-23",10.1
"103","2019-12-24",10.1
"104","2019-12-26",10.1
"105","2019-12-27",10.1
"106","2019-12-30",10.1
"107","2019-12-31",10.1
"108","2020-01-02",10.1
"109","2020-01-03",10.1
"110","2020-01-06",10.1
"111","2020-01-07",10.1
"112","2020-01-08",10.1
"113","2020-01-09",10.1
"114","2020-01-10",10.1
"115","2020-01-13",10.1
"116","2020-01-14",10.1
"117","2020-01-15",10.1
"118","2020-01-16",10.1
"119","2020-01-17",10.1
"120","2020-01-21",10.1
"121","2020-01-22",10.1
"122","2020-01-23",10.1
"123","2020-01-24",10.1
"124","2020-01-27",10.1
"125","2020-01-28",10.1
"126","2020-01-29",10.1
"127","2020-01-30",10.1
"128","2020-01-31",10.1
"129","2020-02-03",10.1
"130","2020-02-04",10.1
"131","2020-02-05",10.1
"132","2020-02-06",10.1
"133","2020-02-07",10.1
"134","2020-02-10",10.1
"135","2020-02-11",10.13
"136","2020-02-12",10.13
"137","2020-02-13",10.13
"138","2020-02-14",10.13
"139","2020-02-18",10.13
"140","2020-02-19",10.13
"141","2020-02-20",10.13
"142","2020-02-21",10.13
"143","2020-02-24",10.13
"144","2020-02-25",10.13
"145","2020-02-26",10.13
"146","2020-02-27",10.13
"147","2020-02-28",10.13
"148","2020-03-02",10.13
"149","2020-03-03",10.12
"150","2020-03-04",10.12
"151","2020-03-05",10.13
"152","2020-03-06",10.13
"153","2020-03-09",10.13
"154","2020-03-10",10.08
"155","2020-03-11",10.08
"156","2020-03-12",10
"157","2020-03-13",10
"158","2020-03-16",10
"159","2020-03-17",10
"160","2020-03-18",10
"161","2020-03-19",10
"162","2020-03-20",9.981
"163","2020-03-23",9.981
"164","2020-03-24",9.981
"165","2020-03-25",10.1
"166","2020-03-26",10.1
"167","2020-03-27",10.1
"168","2020-03-30",10.1
"169","2020-03-31",10.1
"170","2020-04-01",10.13
"171","2020-04-02",10.13
"172","2020-04-03",10.13
"173","2020-04-06",10.13
"174","2020-04-07",10.13
"175","2020-04-08",10.15
"176","2020-04-09",10.17
"177","2020-04-13",10.17
"178","2020-04-14",10.17
"179","2020-04-15",10.2
"180","2020-04-16",10.2
"181","2020-04-17",10.221
"182","2020-04-20",10.221
