"","date","IRIX"
"1","2007-01-03",9
"2","2007-01-04",8.9
"3","2007-01-05",8.85
"4","2007-01-08",8.9
"5","2007-01-09",9.26
"6","2007-01-10",9.21
"7","2007-01-11",9.55
"8","2007-01-12",9.39
"9","2007-01-16",9.59
"10","2007-01-17",9.55
"11","2007-01-18",9.08
"12","2007-01-19",9.2
"13","2007-01-22",8.99
"14","2007-01-23",8.96
"15","2007-01-24",9.39
"16","2007-01-25",9.11
"17","2007-01-26",9.04
"18","2007-01-29",8.8
"19","2007-01-30",8.8
"20","2007-01-31",8.78
"21","2007-02-01",8.81
"22","2007-02-02",8.93
"23","2007-02-05",8.91
"24","2007-02-06",8.9
"25","2007-02-07",9.1
"26","2007-02-08",9.29
"27","2007-02-09",9
"28","2007-02-12",9.15
"29","2007-02-13",9.42
"30","2007-02-14",9.59
"31","2007-02-15",10.1
"32","2007-02-16",10.06
"33","2007-02-20",9.86
"34","2007-02-21",9.8
"35","2007-02-22",9.86
"36","2007-02-23",9.74
"37","2007-02-26",9.57
"38","2007-02-27",10.03
"39","2007-02-28",10.06
"40","2007-03-01",10.43
"41","2007-03-02",10.21
"42","2007-03-05",10.4
"43","2007-03-06",10.25
"44","2007-03-07",10.46
"45","2007-03-08",10.47
"46","2007-03-09",10.54
"47","2007-03-12",10.63
"48","2007-03-13",10.29
"49","2007-03-14",10.16
"50","2007-03-15",10.25
"51","2007-03-16",10.28
"52","2007-03-19",10.25
"53","2007-03-20",9.97
"54","2007-03-21",10.05
"55","2007-03-22",9.74
"56","2007-03-23",9.6
"57","2007-03-26",9.62
"58","2007-03-27",9.34
"59","2007-03-28",9.2
"60","2007-03-29",9.25
"61","2007-03-30",8.8
"62","2007-04-02",8.86
"63","2007-04-03",7.01
"64","2007-04-04",6.74
"65","2007-04-05",6.45
"66","2007-04-09",6.62
"67","2007-04-10",7.05
"68","2007-04-11",7.09
"69","2007-04-12",7.03
"70","2007-04-13",7.33
"71","2007-04-16",7.29
"72","2007-04-17",7.4
"73","2007-04-18",7.4
"74","2007-04-19",7.31
"75","2007-04-20",7.35
"76","2007-04-23",7.35
"77","2007-04-24",7.34
"78","2007-04-25",7.34
"79","2007-04-26",7.18
"80","2007-04-27",7.17
"81","2007-04-30",7.08
"82","2007-05-01",6.85
"83","2007-05-02",6.75
"84","2007-05-03",6.6
"85","2007-05-04",6.33
"86","2007-05-07",6.41
"87","2007-05-08",6.49
"88","2007-05-09",6.88
"89","2007-05-10",6.64
"90","2007-05-11",6.51
"91","2007-05-14",6.42
"92","2007-05-15",6.25
"93","2007-05-16",6
"94","2007-05-17",6.04
"95","2007-05-18",5.8
"96","2007-05-21",5.83
"97","2007-05-22",5.71
"98","2007-05-23",5.78
"99","2007-05-24",5.78
"100","2007-05-25",5.72
"101","2007-05-29",5.69
"102","2007-05-30",5.69
"103","2007-05-31",5.51
"104","2007-06-01",5.6
"105","2007-06-04",5.69
"106","2007-06-05",5.7
"107","2007-06-06",5.59
"108","2007-06-07",5.54
"109","2007-06-08",5.57
"110","2007-06-11",5.51
"111","2007-06-12",5.56
"112","2007-06-13",5.51
"113","2007-06-14",5.59
"114","2007-06-15",5.71
"115","2007-06-18",5.7
"116","2007-06-19",5.77
"117","2007-06-20",5.86
"118","2007-06-21",5.81
"119","2007-06-22",5.55
"120","2007-06-25",5.14
"121","2007-06-26",5.1
"122","2007-06-27",5.03
"123","2007-06-28",4.81
"124","2007-06-29",5.26
"125","2007-07-02",5.12
"126","2007-07-03",5.12
"127","2007-07-05",5
"128","2007-07-06",4.88
"129","2007-07-09",4.21
"130","2007-07-10",4.37
"131","2007-07-11",4.39
"132","2007-07-12",4.2
"133","2007-07-13",4.11
"134","2007-07-16",3.99
"135","2007-07-17",3.94
"136","2007-07-18",3.63
"137","2007-07-19",3.62
"138","2007-07-20",3.57
"139","2007-07-23",3.56
"140","2007-07-24",3.41
"141","2007-07-25",3.45
"142","2007-07-26",3.45
"143","2007-07-27",3.39
"144","2007-07-30",3.03
"145","2007-07-31",3.09
"146","2007-08-01",3.01
"147","2007-08-02",3.06
"148","2007-08-03",3.02
"149","2007-08-06",2.92
"150","2007-08-07",2.45
"151","2007-08-08",2.63
"152","2007-08-09",2.64
"153","2007-08-10",2.6
"154","2007-08-13",2.81
"155","2007-08-14",2.82
"156","2007-08-15",3.05
"157","2007-08-16",2.96
"158","2007-08-17",3.11
"159","2007-08-20",2.92
"160","2007-08-21",2.99
"161","2007-08-22",3.2
"162","2007-08-23",3.29
"163","2007-08-24",3.28
"164","2007-08-27",3.42
"165","2007-08-28",3.69
"166","2007-08-29",3.88
"167","2007-08-30",3.8
"168","2007-08-31",3.83
"169","2007-09-04",4.28
"170","2007-09-05",4.33
"171","2007-09-06",4.21
"172","2007-09-07",4.31
"173","2007-09-10",4.41
"174","2007-09-11",4.92
"175","2007-09-12",4.89
"176","2007-09-13",4.79
"177","2007-09-14",4.67
"178","2007-09-17",4.7
"179","2007-09-18",4.72
"180","2007-09-19",4.66
"181","2007-09-20",4.58
"182","2007-09-21",4.3
"183","2007-09-24",4.2
"184","2007-09-25",4.19
"185","2007-09-26",4.24
"186","2007-09-27",4.35
"187","2007-09-28",4.3
"188","2007-10-01",4.25
"189","2007-10-02",4.18
"190","2007-10-03",4.25
"191","2007-10-04",4.41
"192","2007-10-05",4.31
"193","2007-10-08",4.32
"194","2007-10-09",4.5
"195","2007-10-10",4.4
"196","2007-10-11",4.41
"197","2007-10-12",4.55
"198","2007-10-15",4.9
"199","2007-10-16",5.09
"200","2007-10-17",5.18
"201","2007-10-18",5.25
"202","2007-10-19",4.97
"203","2007-10-22",5.05
"204","2007-10-23",5.12
"205","2007-10-24",5.03
"206","2007-10-25",4.98
"207","2007-10-26",4.89
"208","2007-10-29",5
"209","2007-10-30",5.04
"210","2007-10-31",4.86
"211","2007-11-01",4.55
"212","2007-11-02",4.1
"213","2007-11-05",4.07
"214","2007-11-06",4.03
"215","2007-11-07",3.96
"216","2007-11-08",3.94
"217","2007-11-09",3.85
"218","2007-11-12",3.57
"219","2007-11-13",3.54
"220","2007-11-14",3.61
"221","2007-11-15",3.5
"222","2007-11-16",3.51
"223","2007-11-19",3.63
"224","2007-11-20",2.63
"225","2007-11-21",2.67
"226","2007-11-23",2.58
"227","2007-11-26",2.67
"228","2007-11-27",2.71
"229","2007-11-28",2.66
"230","2007-11-29",2.72
"231","2007-11-30",2.72
"232","2007-12-03",2.7
"233","2007-12-04",2.62
"234","2007-12-05",2.5
"235","2007-12-06",2.5
"236","2007-12-07",2.57
"237","2007-12-10",2.5
"238","2007-12-11",2.51
"239","2007-12-12",2.53
"240","2007-12-13",2.55
"241","2007-12-14",2.52
"242","2007-12-17",2.46
"243","2007-12-18",2.41
"244","2007-12-19",2.35
"245","2007-12-20",2.35
"246","2007-12-21",2.35
"247","2007-12-24",2.35
"248","2007-12-26",2.34
"249","2007-12-27",2.43
"250","2007-12-28",2.36
"251","2007-12-31",2.45
"252","2008-01-02",2.49
"253","2008-01-03",2.56
"254","2008-01-04",2.6
"255","2008-01-07",2.57
"256","2008-01-08",2.6
"257","2008-01-09",2.5
"258","2008-01-10",2.54
"259","2008-01-11",2.47
"260","2008-01-14",2.47
"261","2008-01-15",2.48
"262","2008-01-16",2.58
"263","2008-01-17",2.58
"264","2008-01-18",2.78
"265","2008-01-22",2.78
"266","2008-01-23",3.21
"267","2008-01-24",2.9
"268","2008-01-25",2.86
"269","2008-01-28",3.01
"270","2008-01-29",3.03
"271","2008-01-30",4.15
"272","2008-01-31",3.75
"273","2008-02-01",3.79
"274","2008-02-04",3.68
"275","2008-02-05",3.54
"276","2008-02-06",3.57
"277","2008-02-07",3.62
"278","2008-02-08",3.6
"279","2008-02-11",3.48
"280","2008-02-12",3.47
"281","2008-02-13",3.53
"282","2008-02-14",3.46
"283","2008-02-15",3.42
"284","2008-02-19",3.45
"285","2008-02-20",3.43
"286","2008-02-21",3.44
"287","2008-02-22",3.4
"288","2008-02-25",3.35
"289","2008-02-26",3.36
"290","2008-02-27",3.32
"291","2008-02-28",3.12
"292","2008-02-29",3.2
"293","2008-03-03",3.05
"294","2008-03-04",2.92
"295","2008-03-05",2.56
"296","2008-03-06",2.38
"297","2008-03-07",2.35
"298","2008-03-10",2.13
"299","2008-03-11",2.31
"300","2008-03-12",2.21
"301","2008-03-13",2.45
"302","2008-03-14",2.28
"303","2008-03-17",2.1
"304","2008-03-18",2.31
"305","2008-03-19",2
"306","2008-03-20",1.98
"307","2008-03-24",1.94
"308","2008-03-25",1.86
"309","2008-03-26",1.64
"310","2008-03-27",1.6
"311","2008-03-28",1.67
"312","2008-03-31",1.59
"313","2008-04-01",1.65
"314","2008-04-02",1.5
"315","2008-04-03",1.49
"316","2008-04-04",1.53
"317","2008-04-07",1.58
"318","2008-04-08",1.53
"319","2008-04-09",1.5
"320","2008-04-10",1.8
"321","2008-04-11",1.65
"322","2008-04-14",1.65
"323","2008-04-15",1.71
"324","2008-04-16",1.71
"325","2008-04-17",1.79
"326","2008-04-18",1.8
"327","2008-04-21",1.77
"328","2008-04-22",1.79
"329","2008-04-23",1.88
"330","2008-04-24",1.87
"331","2008-04-25",1.83
"332","2008-04-28",1.77
"333","2008-04-29",1.6
"334","2008-04-30",1.69
"335","2008-05-01",1.67
"336","2008-05-02",1.6
"337","2008-05-05",1.63
"338","2008-05-06",1.65
"339","2008-05-07",1.7
"340","2008-05-08",1.8
"341","2008-05-09",1.93
"342","2008-05-12",2.14
"343","2008-05-13",2.16
"344","2008-05-14",2.37
"345","2008-05-15",2.39
"346","2008-05-16",2.65
"347","2008-05-19",2.68
"348","2008-05-20",2.65
"349","2008-05-21",2.66
"350","2008-05-22",2.33
"351","2008-05-23",2.4
"352","2008-05-27",2.35
"353","2008-05-28",2.44
"354","2008-05-29",2.43
"355","2008-05-30",2.36
"356","2008-06-02",2.3
"357","2008-06-03",2.38
"358","2008-06-04",2.4
"359","2008-06-05",2.51
"360","2008-06-06",2.5
"361","2008-06-09",2.56
"362","2008-06-10",2.54
"363","2008-06-11",2.52
"364","2008-06-12",2.52
"365","2008-06-13",2.49
"366","2008-06-16",2.34
"367","2008-06-17",2.5
"368","2008-06-18",2.4
"369","2008-06-19",2.47
"370","2008-06-20",2.41
