"","date","NGHCO"
"1","2015-03-25",24.809999
"2","2015-03-26",24.84
"3","2015-03-27",24.92
"4","2015-03-30",24.9
"5","2015-03-31",24.92
"6","2015-04-01",24.92
"7","2015-04-02",24.9
"8","2015-04-06",24.82
"9","2015-04-07",24.870001
"10","2015-04-08",24.83
"11","2015-04-09",24.780001
"12","2015-04-10",24.780001
"13","2015-04-13",24.76
"14","2015-04-14",24.870001
"15","2015-04-15",24.85
"16","2015-04-16",24.85
"17","2015-04-17",24.85
"18","2015-04-20",24.83
"19","2015-04-21",24.83
"20","2015-04-22",24.75
"21","2015-04-23",24.780001
"22","2015-04-24",24.839001
"23","2015-04-27",24.841
"24","2015-04-28",24.85
"25","2015-04-29",24.780001
"26","2015-04-30",24.690001
"27","2015-05-01",24.66
"28","2015-05-04",24.697001
"29","2015-05-05",24.799999
"30","2015-05-06",24.5
"31","2015-05-07",24.49
"32","2015-05-08",24.6
"33","2015-05-11",24.700001
"34","2015-05-12",24.700001
"35","2015-05-13",24.795
"36","2015-05-14",24.879999
"37","2015-05-15",24.799999
"38","2015-05-18",24.92
"39","2015-05-19",24.9
"40","2015-05-20",24.860001
"41","2015-05-21",24.799999
"42","2015-05-22",24.9
"43","2015-05-26",24.85
"44","2015-05-27",24.959999
"45","2015-05-28",24.910999
"46","2015-05-29",24.809999
"47","2015-06-01",24.870001
"48","2015-06-02",24.85
"49","2015-06-03",24.700001
"50","2015-06-04",25.049999
"51","2015-06-05",25.049999
"52","2015-06-08",25.09
"53","2015-06-09",25.040001
"54","2015-06-10",25.045
"55","2015-06-11",24.969999
"56","2015-06-12",25.049
"57","2015-06-15",25.129999
"58","2015-06-16",25.15
"59","2015-06-17",25.139999
"60","2015-06-18",25.25
"61","2015-06-19",25.4
"62","2015-06-22",25.370001
"63","2015-06-23",25.370001
"64","2015-06-24",25.49
"65","2015-06-25",25.5
"66","2015-06-26",25.6
"67","2015-06-29",24.99
"68","2015-06-30",25.02
"69","2015-07-01",25.190001
"70","2015-07-02",25.23
"71","2015-07-06",25.690001
"72","2015-07-07",25.6
"73","2015-07-08",25.57
"74","2015-07-09",25.440001
"75","2015-07-10",25.450001
"76","2015-07-13",25.469999
"77","2015-07-14",25.6
"78","2015-07-15",25.459999
"79","2015-07-16",25.43
"80","2015-07-17",25.379999
"81","2015-07-20",25.4
"82","2015-07-21",25.42
"83","2015-07-22",25.4
"84","2015-07-23",25.440001
"85","2015-07-24",25.379999
"86","2015-07-27",25.139999
"87","2015-07-28",25.120001
"88","2015-07-29",25.120001
"89","2015-07-30",25.110001
"90","2015-07-31",25.27
"91","2015-08-03",25.27
"92","2015-08-04",25.27
"93","2015-08-05",25.17
"94","2015-08-06",25.01
"95","2015-08-07",25.08
"96","2015-08-10",25.200001
"97","2015-08-11",25.08
"98","2015-08-12",25.01
"99","2015-08-13",24.84
"100","2015-08-14",24.98
"101","2015-08-17",24.940001
"102","2015-08-18",24.950001
"103","2015-08-19",24.85
"104","2015-08-20",24.76
"105","2015-08-21",24.790001
"106","2015-08-24",24.6
"107","2015-08-25",24.65
"108","2015-08-26",24.690001
"109","2015-08-27",24.709999
"110","2015-08-28",24.559999
"111","2015-08-31",24.73
"112","2015-09-01",24.690001
"113","2015-09-02",24.790001
"114","2015-09-03",24.950001
"115","2015-09-04",24.969999
"116","2015-09-08",24.93
"117","2015-09-09",25.07
"118","2015-09-10",24.75
"119","2015-09-11",24.82
"120","2015-09-14",24.9
"121","2015-09-15",24.889999
"122","2015-09-16",25.110001
"123","2015-09-17",25.08
"124","2015-09-18",25.299999
"125","2015-09-21",25.24
"126","2015-09-22",25.120001
"127","2015-09-23",25.09
"128","2015-09-24",25.24
"129","2015-09-25",25.5
"130","2015-09-28",25.43
"131","2015-09-29",25.030001
"132","2015-09-30",24.860001
"133","2015-10-01",24.91
"134","2015-10-02",24.84
"135","2015-10-05",24.99
"136","2015-10-06",25.139999
"137","2015-10-07",25.040001
"138","2015-10-08",25.040001
"139","2015-10-09",25.08
"140","2015-10-12",25.049999
"141","2015-10-13",25.01
"142","2015-10-14",25.02
"143","2015-10-15",25.049999
"144","2015-10-16",25.1
"145","2015-10-19",25.105
"146","2015-10-20",25.049999
"147","2015-10-21",25.209999
"148","2015-10-22",25.129999
"149","2015-10-23",25.25
"150","2015-10-26",25.299999
"151","2015-10-27",25.290001
"152","2015-10-28",25.370001
"153","2015-10-29",25.34
"154","2015-10-30",25.389
"155","2015-11-02",25.32
"156","2015-11-03",25.549999
"157","2015-11-04",25.450001
"158","2015-11-05",25.49
"159","2015-11-06",25.320999
"160","2015-11-09",25.219999
"161","2015-11-10",25.32
"162","2015-11-11",25.200001
"163","2015-11-12",25.225
"164","2015-11-13",25.139999
"165","2015-11-16",25.16
"166","2015-11-17",25.17
"167","2015-11-18",25.200001
"168","2015-11-19",25.379999
"169","2015-11-20",25.34
"170","2015-11-23",25.34
"171","2015-11-24",25.309999
"172","2015-11-25",25.370001
"173","2015-11-27",25.41
"174","2015-11-30",25.370001
"175","2015-12-01",25.360001
"176","2015-12-02",25.379999
"177","2015-12-03",25.41
"178","2015-12-04",25.450001
"179","2015-12-07",25.379999
"180","2015-12-08",25.299999
"181","2015-12-09",25.15
"182","2015-12-10",25.17
"183","2015-12-11",25.040001
"184","2015-12-14",24.5
"185","2015-12-15",24.860001
"186","2015-12-16",25.16
"187","2015-12-17",25.200001
"188","2015-12-18",25.200001
"189","2015-12-21",25.32
