"","date","EMCF"
"1","2007-01-03",28.1
"2","2007-01-04",28.1
"3","2007-01-05",28.1
"4","2007-01-08",28.1
"5","2007-01-09",28.1
"6","2007-01-10",28.1
"7","2007-01-11",28
"8","2007-01-12",28
"9","2007-01-16",28
"10","2007-01-17",28
"11","2007-01-18",28
"12","2007-01-19",28
"13","2007-01-22",28.5
"14","2007-01-23",28.120001
"15","2007-01-24",28
"16","2007-01-25",28
"17","2007-01-26",27.75
"18","2007-01-29",27.75
"19","2007-01-30",27.700001
"20","2007-01-31",27.700001
"21","2007-02-01",28.25
"22","2007-02-02",27.25
"23","2007-02-05",31
"24","2007-02-06",28.25
"25","2007-02-07",28.25
"26","2007-02-08",28.25
"27","2007-02-09",28.25
"28","2007-02-12",28.25
"29","2007-02-13",28.25
"30","2007-02-14",28.75
"31","2007-02-15",28.75
"32","2007-02-16",28.75
"33","2007-02-20",28.75
"34","2007-02-21",28.75
"35","2007-02-22",28.299999
"36","2007-02-23",28
"37","2007-02-26",28
"38","2007-02-27",28
"39","2007-02-28",28
"40","2007-03-01",29.25
"41","2007-03-02",28.5
"42","2007-03-05",28.5
"43","2007-03-06",27.75
"44","2007-03-07",27.75
"45","2007-03-08",28
"46","2007-03-09",28.25
"47","2007-03-12",28.25
"48","2007-03-13",28.25
"49","2007-03-14",28.25
"50","2007-03-15",28.25
"51","2007-03-16",28.25
"52","2007-03-19",28.25
"53","2007-03-20",28.25
"54","2007-03-21",28
"55","2007-03-22",28.25
"56","2007-03-23",27.75
"57","2007-03-26",27.75
"58","2007-03-27",26.75
"59","2007-03-28",26.75
"60","2007-03-29",27.25
"61","2007-03-30",27.25
"62","2007-04-02",25
"63","2007-04-03",24.25
"64","2007-04-04",25.24
"65","2007-04-05",25.75
"66","2007-04-09",25.5
"67","2007-04-10",25.5
"68","2007-04-11",25.4
"69","2007-04-12",25.4
"70","2007-04-13",25.5
"71","2007-04-16",25.5
"72","2007-04-17",25.65
"73","2007-04-18",25.65
"74","2007-04-19",25.65
"75","2007-04-20",25.299999
"76","2007-04-23",25.299999
"77","2007-04-24",25.15
"78","2007-04-25",25.200001
"79","2007-04-26",25.200001
"80","2007-04-27",24.9
"81","2007-04-30",25.25
"82","2007-05-01",24.9
"83","2007-05-02",27
"84","2007-05-03",27
"85","2007-05-04",27
"86","2007-05-07",27
"87","2007-05-08",27
"88","2007-05-09",27
"89","2007-05-10",27
"90","2007-05-11",25.15
"91","2007-05-14",25.15
"92","2007-05-15",25.15
"93","2007-05-16",25.15
"94","2007-05-17",25.15
"95","2007-05-18",25.15
"96","2007-05-21",25.25
"97","2007-05-22",25.25
"98","2007-05-23",25.5
"99","2007-05-24",25.5
"100","2007-05-25",26
"101","2007-05-29",26
"102","2007-05-30",26
"103","2007-05-31",26
"104","2007-06-01",26
"105","2007-06-04",26
"106","2007-06-05",26
"107","2007-06-06",26
"108","2007-06-07",26
"109","2007-06-08",26
"110","2007-06-11",26
"111","2007-06-12",25.700001
"112","2007-06-13",25.549999
"113","2007-06-14",25.549999
"114","2007-06-15",25.549999
"115","2007-06-18",25.6
"116","2007-06-19",25.65
"117","2007-06-20",26
"118","2007-06-21",26
"119","2007-06-22",26
"120","2007-06-25",26.75
"121","2007-06-26",26.75
"122","2007-06-27",25.6
"123","2007-06-28",25.25
"124","2007-06-29",25.25
"125","2007-07-02",25.25
"126","2007-07-03",25.25
"127","2007-07-05",25.5
"128","2007-07-06",25.5
"129","2007-07-09",25.5
"130","2007-07-10",25.5
"131","2007-07-11",25.25
"132","2007-07-12",25.25
"133","2007-07-13",25.25
"134","2007-07-16",25.5
"135","2007-07-17",25.5
"136","2007-07-18",25.5
"137","2007-07-19",25.5
"138","2007-07-20",25.5
"139","2007-07-23",25.5
"140","2007-07-24",27
"141","2007-07-25",27
"142","2007-07-26",27
"143","2007-07-27",27
"144","2007-07-30",27
"145","2007-07-31",25.75
"146","2007-08-01",25.75
"147","2007-08-02",25.75
"148","2007-08-03",25.75
"149","2007-08-06",25.549999
"150","2007-08-07",25.5
"151","2007-08-08",25.75
"152","2007-08-09",25.75
"153","2007-08-10",25.75
"154","2007-08-13",25.9
"155","2007-08-14",25.9
"156","2007-08-15",25.4
"157","2007-08-16",25.299999
"158","2007-08-17",25.299999
"159","2007-08-20",25.65
"160","2007-08-21",25.65
"161","2007-08-22",25.65
"162","2007-08-23",25.65
"163","2007-08-24",25.65
"164","2007-08-27",25.049999
"165","2007-08-28",25.049999
"166","2007-08-29",25.5
"167","2007-08-30",25.5
"168","2007-08-31",25.5
"169","2007-09-04",25.049999
"170","2007-09-05",25.049999
"171","2007-09-06",25.049999
"172","2007-09-07",25.049999
"173","2007-09-10",25.25
"174","2007-09-11",25.25
"175","2007-09-12",25
"176","2007-09-13",25
"177","2007-09-14",25.25
"178","2007-09-17",25.25
"179","2007-09-18",25.25
"180","2007-09-19",25.25
"181","2007-09-20",25.25
"182","2007-09-21",25.25
"183","2007-09-24",26.5
"184","2007-09-25",26
"185","2007-09-26",26
"186","2007-09-27",26
"187","2007-09-28",25.6
"188","2007-10-01",25.6
"189","2007-10-02",25.6
"190","2007-10-03",25.6
"191","2007-10-04",25.6
"192","2007-10-05",25.6
"193","2007-10-08",25.6
"194","2007-10-09",25.9
"195","2007-10-10",25.9
"196","2007-10-11",25.9
"197","2007-10-12",25.9
"198","2007-10-15",25.9
"199","2007-10-16",25.9
"200","2007-10-17",25.65
"201","2007-10-18",25.65
"202","2007-10-19",25.65
"203","2007-10-22",25.65
"204","2007-10-23",25.65
"205","2007-10-24",25.65
"206","2007-10-25",25.65
"207","2007-10-26",25.6
"208","2007-10-29",25.6
"209","2007-10-30",25.6
"210","2007-10-31",25.6
"211","2007-11-01",26.5
"212","2007-11-02",26.5
"213","2007-11-05",26.5
"214","2007-11-06",26.5
"215","2007-11-07",25.200001
"216","2007-11-08",27
"217","2007-11-09",27
"218","2007-11-12",27
"219","2007-11-13",27
"220","2007-11-14",27
"221","2007-11-15",25.9
"222","2007-11-16",25.9
"223","2007-11-19",25.9
"224","2007-11-20",25.9
"225","2007-11-21",25.9
"226","2007-11-23",25.9
"227","2007-11-26",25.9
"228","2007-11-27",25.9
"229","2007-11-28",26
"230","2007-11-29",26
"231","2007-11-30",26
"232","2007-12-03",26
"233","2007-12-04",26
"234","2007-12-05",26
"235","2007-12-06",26
"236","2007-12-07",26
"237","2007-12-10",26
"238","2007-12-11",26
"239","2007-12-12",26
"240","2007-12-13",26
"241","2007-12-14",26
"242","2007-12-17",26
"243","2007-12-18",26
"244","2007-12-19",26
"245","2007-12-20",26
"246","2007-12-21",28
"247","2007-12-24",28
"248","2007-12-26",28
"249","2007-12-27",25.75
"250","2007-12-28",27
"251","2007-12-31",25.75
"252","2008-01-02",26.299999
"253","2008-01-03",26.299999
"254","2008-01-04",26.299999
"255","2008-01-07",26.299999
