"","date","WDFC"
"1","2007-01-03",34.330002
"2","2007-01-04",34.189999
"3","2007-01-05",33.349998
"4","2007-01-08",33.439999
"5","2007-01-09",33.549999
"6","2007-01-10",32.73
"7","2007-01-11",33.290001
"8","2007-01-12",33.439999
"9","2007-01-16",32.849998
"10","2007-01-17",32.849998
"11","2007-01-18",32.549999
"12","2007-01-19",33.110001
"13","2007-01-22",32.709999
"14","2007-01-23",32.599998
"15","2007-01-24",32.810001
"16","2007-01-25",32.75
"17","2007-01-26",32.990002
"18","2007-01-29",32.990002
"19","2007-01-30",32.990002
"20","2007-01-31",32.93
"21","2007-02-01",33.099998
"22","2007-02-02",33.25
"23","2007-02-05",33.07
"24","2007-02-06",33.029999
"25","2007-02-07",33.080002
"26","2007-02-08",33.130001
"27","2007-02-09",32.77
"28","2007-02-12",32.860001
"29","2007-02-13",33.099998
"30","2007-02-14",33.16
"31","2007-02-15",33.099998
"32","2007-02-16",33.009998
"33","2007-02-20",33.389999
"34","2007-02-21",33.810001
"35","2007-02-22",33.419998
"36","2007-02-23",33.310001
"37","2007-02-26",33.810001
"38","2007-02-27",32.200001
"39","2007-02-28",31.9
"40","2007-03-01",32.080002
"41","2007-03-02",31.58
"42","2007-03-05",31.139999
"43","2007-03-06",31.6
"44","2007-03-07",31.190001
"45","2007-03-08",31.190001
"46","2007-03-09",32.110001
"47","2007-03-12",32.32
"48","2007-03-13",31.059999
"49","2007-03-14",31.57
"50","2007-03-15",31.91
"51","2007-03-16",31.65
"52","2007-03-19",32.040001
"53","2007-03-20",32.029999
"54","2007-03-21",32.84
"55","2007-03-22",32.970001
"56","2007-03-23",32.91
"57","2007-03-26",32.720001
"58","2007-03-27",31.91
"59","2007-03-28",31.52
"60","2007-03-29",31.48
"61","2007-03-30",31.709999
"62","2007-04-02",31.719999
"63","2007-04-03",31.73
"64","2007-04-04",31.629999
"65","2007-04-05",31.889999
"66","2007-04-09",36.84
"67","2007-04-10",36.450001
"68","2007-04-11",35.810001
"69","2007-04-12",36.41
"70","2007-04-13",36.509998
