"","date","PCPL"
"1","2020-06-15",9.9
"2","2020-06-16",10
"3","2020-06-17",10.045
"4","2020-06-18",10.01
"5","2020-06-19",10.03
"6","2020-06-22",10.19
"7","2020-06-23",10.05
"8","2020-06-24",10.05
"9","2020-06-25",10
"10","2020-06-26",10.12
"11","2020-06-29",10.092
"12","2020-06-30",10.07
"13","2020-07-01",10.08
"14","2020-07-02",10.12
"15","2020-07-06",10.2
"16","2020-07-07",10.2
"17","2020-07-08",10.105
"18","2020-07-09",10.15
"19","2020-07-10",10.2
"20","2020-07-13",10.27
"21","2020-07-14",10.21
"22","2020-07-15",10.29
"23","2020-07-16",10.36
"24","2020-07-17",10.35
"25","2020-07-20",10.388
"26","2020-07-21",10.48
"27","2020-07-22",10.5
"28","2020-07-23",10.505
"29","2020-07-24",10.55
"30","2020-07-27",10.6
"31","2020-07-28",10.5
"32","2020-07-29",10.42
"33","2020-07-30",10.34
"34","2020-07-31",10.3
"35","2020-08-03",10.25
"36","2020-08-04",10.26
"37","2020-08-05",10.2
"38","2020-08-06",10.28
"39","2020-08-07",10.5
"40","2020-08-10",10.44
"41","2020-08-11",10.36
"42","2020-08-12",10.21
"43","2020-08-13",10.29
"44","2020-08-14",10.25
"45","2020-08-17",10.21
"46","2020-08-18",10.26
"47","2020-08-19",10.1
"48","2020-08-20",10.06
"49","2020-08-21",10.1
"50","2020-08-24",10.07
"51","2020-08-25",10.09
"52","2020-08-26",10.2
"53","2020-08-27",10.09
"54","2020-08-28",10.22
"55","2020-08-31",10.28
"56","2020-09-01",10.16
"57","2020-09-02",10.15
"58","2020-09-03",10.19
"59","2020-09-04",10.2
"60","2020-09-08",10.37
"61","2020-09-09",10.29
"62","2020-09-10",10.31
"63","2020-09-11",10.21
"64","2020-09-14",10.28
"65","2020-09-15",10.28
"66","2020-09-16",10.41
"67","2020-09-17",10.47
"68","2020-09-18",10.54
"69","2020-09-21",10.31
"70","2020-09-22",10.31
"71","2020-09-23",10.28
"72","2020-09-24",10.2
"73","2020-09-25",10.365
"74","2020-09-28",10.4
"75","2020-09-29",10.57
"76","2020-09-30",10.4
"77","2020-10-01",10.4
"78","2020-10-02",10.34
"79","2020-10-05",10.4
"80","2020-10-06",10.28
"81","2020-10-07",10.22
"82","2020-10-08",10.325
"83","2020-10-09",10.39
"84","2020-10-12",10.2
"85","2020-10-13",10.53
"86","2020-10-14",10.185
"87","2020-10-15",10.225
"88","2020-10-16",10.44
"89","2020-10-19",10.53
"90","2020-10-20",10.41
"91","2020-10-21",10.3
"92","2020-10-22",10.28
"93","2020-10-23",10.25
"94","2020-10-26",10.12
"95","2020-10-27",10.07
"96","2020-10-28",10.05
"97","2020-10-29",10.03
"98","2020-10-30",10
"99","2020-11-02",10.01
"100","2020-11-03",10.1
"101","2020-11-04",10.2
"102","2020-11-05",10.25
"103","2020-11-06",10.17
"104","2020-11-09",10.14
"105","2020-11-10",10.15
"106","2020-11-11",10.12
"107","2020-11-12",10.13
"108","2020-11-13",10.1
"109","2020-11-16",10.08
"110","2020-11-17",10.06
"111","2020-11-18",10.03
"112","2020-11-19",10.04
"113","2020-11-20",10.22
"114","2020-11-23",10.3
"115","2020-11-24",10.26
"116","2020-11-25",10.2
"117","2020-11-27",10.51
