"","date","QCOM"
"1","2007-01-03",37.459999
"2","2007-01-04",39.150002
"3","2007-01-05",38.689999
"4","2007-01-08",38.259998
"5","2007-01-09",37.84
"6","2007-01-10",38.549999
"7","2007-01-11",39.48
"8","2007-01-12",39.619999
"9","2007-01-16",39.470001
"10","2007-01-17",39.189999
"11","2007-01-18",38.490002
"12","2007-01-19",38.869999
"13","2007-01-22",38.509998
"14","2007-01-23",38.130001
"15","2007-01-24",38.619999
"16","2007-01-25",38.16
"17","2007-01-26",37.509998
"18","2007-01-29",37.150002
"19","2007-01-30",37.169998
"20","2007-01-31",37.66
"21","2007-02-01",37.41
"22","2007-02-02",37.189999
"23","2007-02-05",37.91
"24","2007-02-06",37.68
"25","2007-02-07",37.580002
"26","2007-02-08",38.259998
"27","2007-02-09",38.310001
"28","2007-02-12",38.049999
"29","2007-02-13",38.07
"30","2007-02-14",39.66
"31","2007-02-15",41.310001
"32","2007-02-16",42.509998
"33","2007-02-20",42.700001
"34","2007-02-21",42.049999
"35","2007-02-22",42.790001
"36","2007-02-23",43.360001
"37","2007-02-26",42.650002
"38","2007-02-27",40.25
"39","2007-02-28",40.299999
"40","2007-03-01",40.099998
"41","2007-03-02",39.48
"42","2007-03-05",39.139999
"43","2007-03-06",39.549999
"44","2007-03-07",39.689999
"45","2007-03-08",40.240002
"46","2007-03-09",40.150002
"47","2007-03-12",40.119999
"48","2007-03-13",41.830002
"49","2007-03-14",43.209999
"50","2007-03-15",43.700001
"51","2007-03-16",43.68
"52","2007-03-19",42.91
"53","2007-03-20",43.040001
"54","2007-03-21",43.73
"55","2007-03-22",43.349998
"56","2007-03-23",42.57
"57","2007-03-26",42.419998
"58","2007-03-27",42.630001
"59","2007-03-28",42.5
"60","2007-03-29",42.25
"61","2007-03-30",42.66
"62","2007-04-02",43.080002
"63","2007-04-03",43.709999
"64","2007-04-04",43.650002
"65","2007-04-05",43.299999
"66","2007-04-09",42.68
"67","2007-04-10",43
"68","2007-04-11",42.099998
"69","2007-04-12",42.599998
"70","2007-04-13",42.549999
"71","2007-04-16",43.389999
"72","2007-04-17",43.369999
"73","2007-04-18",42.970001
"74","2007-04-19",43.360001
"75","2007-04-20",43.439999
"76","2007-04-23",42.889999
"77","2007-04-24",44.360001
"78","2007-04-25",45.34
"79","2007-04-26",45.299999
