"","date","EA"
"1","2007-01-03",51.049999
"2","2007-01-04",53.669998
"3","2007-01-05",53.07
"4","2007-01-08",52.880001
"5","2007-01-09",52.700001
"6","2007-01-10",53.68
"7","2007-01-11",52.470001
"8","2007-01-12",51.759998
"9","2007-01-16",50.970001
"10","2007-01-17",49.48
"11","2007-01-18",50.099998
"12","2007-01-19",50.34
"13","2007-01-22",49.470001
"14","2007-01-23",49.759998
"15","2007-01-24",50.34
"16","2007-01-25",48.860001
"17","2007-01-26",48.220001
"18","2007-01-29",48.939999
"19","2007-01-30",49.310001
"20","2007-01-31",50
"21","2007-02-01",50.540001
"22","2007-02-02",51.130001
"23","2007-02-05",50.040001
"24","2007-02-06",50.110001
"25","2007-02-07",50.110001
"26","2007-02-08",50.029999
"27","2007-02-09",49.48
"28","2007-02-12",49.709999
"29","2007-02-13",49.919998
"30","2007-02-14",50.48
"31","2007-02-15",50.110001
"32","2007-02-16",50.009998
"33","2007-02-20",51.799999
"34","2007-02-21",52.549999
"35","2007-02-22",53.040001
"36","2007-02-23",53.189999
"37","2007-02-26",51.959999
"38","2007-02-27",50.639999
"39","2007-02-28",50.419998
"40","2007-03-01",49.810001
"41","2007-03-02",49.099998
"42","2007-03-05",48.950001
"43","2007-03-06",49.639999
"44","2007-03-07",50.18
"45","2007-03-08",50.32
"46","2007-03-09",50.830002
"47","2007-03-12",50.990002
"48","2007-03-13",49.549999
"49","2007-03-14",50.23
"50","2007-03-15",49.990002
"51","2007-03-16",48.919998
"52","2007-03-19",48.98
"53","2007-03-20",49.330002
"54","2007-03-21",50.66
"55","2007-03-22",50.259998
"56","2007-03-23",50.130001
"57","2007-03-26",50.34
"58","2007-03-27",51.310001
"59","2007-03-28",51.790001
"60","2007-03-29",51.290001
"61","2007-03-30",50.360001
"62","2007-04-02",51.32
"63","2007-04-03",51.43
"64","2007-04-04",51.59
"65","2007-04-05",51.939999
"66","2007-04-09",51.5
"67","2007-04-10",52.950001
"68","2007-04-11",53.07
"69","2007-04-12",53.130001
"70","2007-04-13",53.439999
"71","2007-04-16",53.91
"72","2007-04-17",54.360001
"73","2007-04-18",54.259998
"74","2007-04-19",51.860001
"75","2007-04-20",51.810001
"76","2007-04-23",52.07
"77","2007-04-24",52.23
"78","2007-04-25",52.470001
"79","2007-04-26",52.349998
"80","2007-04-27",51.990002
"81","2007-04-30",50.41
"82","2007-05-01",49.950001
"83","2007-05-02",51.380001
"84","2007-05-03",51.259998
"85","2007-05-04",51.650002
"86","2007-05-07",51.369999
"87","2007-05-08",52.939999
"88","2007-05-09",50.650002
"89","2007-05-10",49.900002
"90","2007-05-11",50.07
"91","2007-05-14",49.77
"92","2007-05-15",48.700001
"93","2007-05-16",49.139999
"94","2007-05-17",48.41
"95","2007-05-18",48.580002
"96","2007-05-21",49.209999
"97","2007-05-22",48.950001
"98","2007-05-23",48.209999
"99","2007-05-24",46.619999
"100","2007-05-25",47.869999
"101","2007-05-29",48.450001
"102","2007-05-30",49.330002
"103","2007-05-31",48.869999
"104","2007-06-01",48.439999
"105","2007-06-04",49.509998
"106","2007-06-05",50.099998
"107","2007-06-06",50.220001
"108","2007-06-07",48.450001
"109","2007-06-08",49.130001
"110","2007-06-11",48.869999
"111","2007-06-12",47.830002
"112","2007-06-13",49.09
"113","2007-06-14",49.060001
"114","2007-06-15",50.490002
"115","2007-06-18",49.709999
"116","2007-06-19",48.98
"117","2007-06-20",48.009998
"118","2007-06-21",48
