"","date","VCTR"
"1","2018-02-08",11.6
"2","2018-02-09",12.39
"3","2018-02-12",12.4
"4","2018-02-13",12.79
"5","2018-02-14",12.8
"6","2018-02-15",13.05
"7","2018-02-16",13.05
"8","2018-02-20",12.99
"9","2018-02-21",12.93
"10","2018-02-22",13
"11","2018-02-23",13
"12","2018-02-26",13.26
"13","2018-02-27",13
"14","2018-02-28",12.95
"15","2018-03-01",13.08
"16","2018-03-02",13.3
"17","2018-03-05",12.79
"18","2018-03-06",12.85
"19","2018-03-07",13
"20","2018-03-08",13
"21","2018-03-09",13
"22","2018-03-12",12.66
"23","2018-03-13",12.42
"24","2018-03-14",12.33
"25","2018-03-15",12.01
"26","2018-03-16",11.94
"27","2018-03-19",11.87
"28","2018-03-20",11.68
"29","2018-03-21",11.83
"30","2018-03-22",12
"31","2018-03-23",11.92
"32","2018-03-26",12.27
"33","2018-03-27",12.42
"34","2018-03-28",12.34
"35","2018-03-29",12.3
"36","2018-04-02",11.99
"37","2018-04-03",11.53
"38","2018-04-04",11.2
"39","2018-04-05",11.24
"40","2018-04-06",10.84
"41","2018-04-09",10.65
"42","2018-04-10",10.88
"43","2018-04-11",10.69
"44","2018-04-12",10.66
"45","2018-04-13",10.74
"46","2018-04-16",10.73
"47","2018-04-17",10.89
"48","2018-04-18",10.57
"49","2018-04-19",10.6
"50","2018-04-20",10.46
"51","2018-04-23",10.59
"52","2018-04-24",10.6
"53","2018-04-25",10.61
"54","2018-04-26",10.5
"55","2018-04-27",10.51
"56","2018-04-30",11.06
"57","2018-05-01",11.06
"58","2018-05-02",10.84
"59","2018-05-03",10.86
"60","2018-05-04",11
"61","2018-05-07",10.85
"62","2018-05-08",10.53
"63","2018-05-09",10.78
"64","2018-05-10",10.61
"65","2018-05-11",10.36
"66","2018-05-14",10.22
"67","2018-05-15",10.18
"68","2018-05-16",10.06
"69","2018-05-17",10.11
"70","2018-05-18",10.09
"71","2018-05-21",10.31
"72","2018-05-22",10.4
"73","2018-05-23",10.65
"74","2018-05-24",11.01
"75","2018-05-25",10.84
"76","2018-05-29",10.65
"77","2018-05-30",11.09
"78","2018-05-31",11.2
"79","2018-06-01",11.66
"80","2018-06-04",11.73
"81","2018-06-05",11.44
"82","2018-06-06",11.04
"83","2018-06-07",11.09
"84","2018-06-08",11.38
"85","2018-06-11",11.23
"86","2018-06-12",11.23
"87","2018-06-13",10.61
"88","2018-06-14",10.85
"89","2018-06-15",10.42
"90","2018-06-18",10.53
"91","2018-06-19",10.8
"92","2018-06-20",10.73
"93","2018-06-21",10.87
"94","2018-06-22",10.72
"95","2018-06-25",10.74
"96","2018-06-26",10.3
"97","2018-06-27",10.07
"98","2018-06-28",10.1
"99","2018-06-29",10.58
"100","2018-07-02",10.49
"101","2018-07-03",10.74
"102","2018-07-05",10.4
"103","2018-07-06",10.11
"104","2018-07-09",10.01
"105","2018-07-10",10.15
"106","2018-07-11",9.93
"107","2018-07-12",9.98
"108","2018-07-13",10.13
"109","2018-07-16",10.41
"110","2018-07-17",10.52
"111","2018-07-18",10.41
"112","2018-07-19",10.19
"113","2018-07-20",10.11
"114","2018-07-23",10.3
"115","2018-07-24",10.21
"116","2018-07-25",10.25
"117","2018-07-26",10.25
"118","2018-07-27",10.13
"119","2018-07-30",10.15
"120","2018-07-31",10.35
"121","2018-08-01",9.91
"122","2018-08-02",9.18
"123","2018-08-03",9.765
"124","2018-08-06",10.11
"125","2018-08-07",9.76
"126","2018-08-08",9.93
"127","2018-08-09",9.88
"128","2018-08-10",10.06
"129","2018-08-13",10
"130","2018-08-14",10
"131","2018-08-15",9.95
"132","2018-08-16",9.99
"133","2018-08-17",9.98
"134","2018-08-20",10
"135","2018-08-21",9.91
"136","2018-08-22",9.86
"137","2018-08-23",9.64
"138","2018-08-24",9.5
"139","2018-08-27",9.63
"140","2018-08-28",9.64
"141","2018-08-29",9.99
"142","2018-08-30",9.59
"143","2018-08-31",9.88
"144","2018-09-04",9.86
"145","2018-09-05",9.7
"146","2018-09-06",9.6
"147","2018-09-07",9.44
"148","2018-09-10",9.38
"149","2018-09-11",9.4
"150","2018-09-12",9.52
"151","2018-09-13",9.44
"152","2018-09-14",9.23
"153","2018-09-17",9.45
"154","2018-09-18",9.25
"155","2018-09-19",9.02
"156","2018-09-20",8.75
"157","2018-09-21",9.09
"158","2018-09-24",9.46
"159","2018-09-25",9.45
"160","2018-09-26",9.5
"161","2018-09-27",9.53
"162","2018-09-28",9.54
"163","2018-10-01",9.55
"164","2018-10-02",9.32
"165","2018-10-03",9.2
"166","2018-10-04",8.97
"167","2018-10-05",9.12
"168","2018-10-08",8.89
"169","2018-10-09",8.98
"170","2018-10-10",8.74
"171","2018-10-11",8.37
"172","2018-10-12",7.91
"173","2018-10-15",7.88
"174","2018-10-16",8
"175","2018-10-17",7.97
"176","2018-10-18",8
"177","2018-10-19",8.03
"178","2018-10-22",7.92
"179","2018-10-23",7.84
"180","2018-10-24",7.75
"181","2018-10-25",7.69
"182","2018-10-26",7.5
"183","2018-10-29",7.5
"184","2018-10-30",7.62
"185","2018-10-31",7.8
"186","2018-11-01",8
"187","2018-11-02",7.92
"188","2018-11-05",7.99
"189","2018-11-06",8.15
"190","2018-11-07",9.78
"191","2018-11-08",10.3
"192","2018-11-09",11.18
"193","2018-11-12",11.85
"194","2018-11-13",11.77
"195","2018-11-14",11.78
"196","2018-11-15",11.99
"197","2018-11-16",12
"198","2018-11-19",12.07
"199","2018-11-20",11.59
"200","2018-11-21",12
