"","date","EXEL"
"1","2007-01-03",9.47
"2","2007-01-04",9.71
"3","2007-01-05",9.5
"4","2007-01-08",9.56
"5","2007-01-09",9.55
"6","2007-01-10",9.86
"7","2007-01-11",10.04
"8","2007-01-12",10.1
"9","2007-01-16",10.05
"10","2007-01-17",10.17
"11","2007-01-18",9.91
"12","2007-01-19",9.85
"13","2007-01-22",9.99
"14","2007-01-23",9.92
"15","2007-01-24",9.96
"16","2007-01-25",9.74
"17","2007-01-26",9.68
"18","2007-01-29",9.71
"19","2007-01-30",9.84
"20","2007-01-31",9.8
"21","2007-02-01",10.05
"22","2007-02-02",10.05
"23","2007-02-05",10.01
"24","2007-02-06",10.17
"25","2007-02-07",10.41
"26","2007-02-08",10.52
"27","2007-02-09",10.7
"28","2007-02-12",11.09
"29","2007-02-13",10.94
"30","2007-02-14",10.78
"31","2007-02-15",11.26
"32","2007-02-16",11.28
"33","2007-02-20",11.33
"34","2007-02-21",11.38
"35","2007-02-22",11.2
"36","2007-02-23",11.15
"37","2007-02-26",10.68
"38","2007-02-27",9.85
"39","2007-02-28",10.06
"40","2007-03-01",9.6
"41","2007-03-02",9.22
"42","2007-03-05",9.11
"43","2007-03-06",9.45
"44","2007-03-07",9.23
"45","2007-03-08",9.32
"46","2007-03-09",9.25
"47","2007-03-12",9.29
"48","2007-03-13",8.96
"49","2007-03-14",9.09
"50","2007-03-15",9.55
"51","2007-03-16",9.49
"52","2007-03-19",9.55
"53","2007-03-20",9.99
"54","2007-03-21",10
"55","2007-03-22",10.15
"56","2007-03-23",10.13
"57","2007-03-26",10.08
"58","2007-03-27",9.89
"59","2007-03-28",9.71
"60","2007-03-29",9.61
"61","2007-03-30",9.94
"62","2007-04-02",10.05
"63","2007-04-03",10.15
"64","2007-04-04",10.02
"65","2007-04-05",10.58
"66","2007-04-09",10.99
"67","2007-04-10",10.83
"68","2007-04-11",10.69
"69","2007-04-12",10.92
"70","2007-04-13",10.88
"71","2007-04-16",10.99
"72","2007-04-17",10.78
"73","2007-04-18",10.72
"74","2007-04-19",10.64
