"","date","MTCR"
"1","2020-09-16",11.76
"2","2020-09-17",10.05
"3","2020-09-18",10.1
"4","2020-09-21",10.14
"5","2020-09-22",10.24
"6","2020-09-23",10.1
"7","2020-09-24",9.38
"8","2020-09-25",9.9
"9","2020-09-28",10.49
"10","2020-09-29",10.23
"11","2020-09-30",10.21
"12","2020-10-01",10.08
"13","2020-10-02",9.95
"14","2020-10-05",10
"15","2020-10-06",10.23
"16","2020-10-07",10
"17","2020-10-08",9.96
"18","2020-10-09",10.17
"19","2020-10-12",10.8
"20","2020-10-13",10.88
"21","2020-10-14",11.01
"22","2020-10-15",11.42
"23","2020-10-16",10.79
"24","2020-10-19",10.04
"25","2020-10-20",9.79
"26","2020-10-21",9.18
"27","2020-10-22",9
"28","2020-10-23",9.1
"29","2020-10-26",8.96
"30","2020-10-27",8.23
"31","2020-10-28",8.337
"32","2020-10-29",8.745
"33","2020-10-30",9.1
"34","2020-11-02",8.505
"35","2020-11-03",9
"36","2020-11-04",9.15
"37","2020-11-05",9.21
"38","2020-11-06",9.35
"39","2020-11-09",9.42
"40","2020-11-10",9
"41","2020-11-11",9.25
"42","2020-11-12",9.46
"43","2020-11-13",9.44
"44","2020-11-16",10
"45","2020-11-17",9.92
"46","2020-11-18",9.77
"47","2020-11-19",9.26
"48","2020-11-20",9.21
"49","2020-11-23",8.73
"50","2020-11-24",8.5
"51","2020-11-25",8.21
"52","2020-11-27",7.75
