"","date","KFS"
"1","2007-01-03",82.279999
"2","2007-01-04",81.68
"3","2007-01-05",80.959999
"4","2007-01-08",81.120003
"5","2007-01-09",81.599998
"6","2007-01-10",81.760002
"7","2007-01-11",83.400002
"8","2007-01-12",84.040001
"9","2007-01-16",84.879997
"10","2007-01-17",84
"11","2007-01-18",84.160004
"12","2007-01-19",82.639999
"13","2007-01-22",82.080002
"14","2007-01-23",82.480003
"15","2007-01-24",82.360001
"16","2007-01-25",82.160004
"17","2007-01-26",82.400002
"18","2007-01-29",81.400002
"19","2007-01-30",82.519997
"20","2007-01-31",82.440002
"21","2007-02-01",83.279999
"22","2007-02-02",83.559998
"23","2007-02-05",85.239998
"24","2007-02-06",85.959999
"25","2007-02-07",88.040001
"26","2007-02-08",85.360001
"27","2007-02-09",79.120003
"28","2007-02-12",78.519997
"29","2007-02-13",78.639999
"30","2007-02-14",76.760002
"31","2007-02-15",76.599998
"32","2007-02-16",76.720001
"33","2007-02-20",75.959999
"34","2007-02-21",76
"35","2007-02-22",75.040001
"36","2007-02-23",76.519997
"37","2007-02-26",76.760002
"38","2007-02-27",76.120003
"39","2007-02-28",75.959999
"40","2007-03-01",74.400002
"41","2007-03-02",73.760002
"42","2007-03-05",71.720001
"43","2007-03-06",74.32
"44","2007-03-07",74.040001
"45","2007-03-08",73.959999
"46","2007-03-09",74.959999
"47","2007-03-12",74.160004
"48","2007-03-13",71.279999
"49","2007-03-14",71.720001
"50","2007-03-15",72.120003
"51","2007-03-16",70.879997
"52","2007-03-19",71.440002
"53","2007-03-20",72.959999
"54","2007-03-21",74.879997
"55","2007-03-22",77.040001
"56","2007-03-23",75.199997
"57","2007-03-26",74.839996
"58","2007-03-27",74.599998
"59","2007-03-28",74.800003
"60","2007-03-29",74.480003
"61","2007-03-30",74.839996
"62","2007-04-02",74.760002
"63","2007-04-03",74.959999
"64","2007-04-04",75.68
"65","2007-04-05",76.919998
"66","2007-04-09",77.239998
"67","2007-04-10",78.199997
"68","2007-04-11",79.32
"69","2007-04-12",81.080002
"70","2007-04-13",81.800003
"71","2007-04-16",81.800003
"72","2007-04-17",82.160004
"73","2007-04-18",82.120003
"74","2007-04-19",83.800003
"75","2007-04-20",84.639999
"76","2007-04-23",85.68
"77","2007-04-24",84.639999
"78","2007-04-25",84.879997
"79","2007-04-26",83.839996
"80","2007-04-27",83.959999
"81","2007-04-30",82.800003
"82","2007-05-01",81.839996
"83","2007-05-02",81.919998
"84","2007-05-03",73.160004
"85","2007-05-04",74
"86","2007-05-07",76.32
"87","2007-05-08",78.160004
"88","2007-05-09",76.160004
"89","2007-05-10",74.400002
"90","2007-05-11",74.839996
"91","2007-05-14",74.400002
"92","2007-05-15",74.199997
