"","date","CMP"
"1","2007-01-03",31.049999
"2","2007-01-04",30.719999
"3","2007-01-05",30.52
"4","2007-01-08",30.700001
"5","2007-01-09",30.9
"6","2007-01-10",30.5
"7","2007-01-11",30.549999
"8","2007-01-12",31
"9","2007-01-16",31.34
"10","2007-01-17",32.139999
"11","2007-01-18",31.58
"12","2007-01-19",31.24
"13","2007-01-22",30.65
"14","2007-01-23",31.200001
"15","2007-01-24",31.870001
"16","2007-01-25",30.790001
"17","2007-01-26",31.049999
"18","2007-01-29",30.549999
"19","2007-01-30",30.629999
"20","2007-01-31",31.030001
"21","2007-02-01",31.24
"22","2007-02-02",31.290001
"23","2007-02-05",31.360001
"24","2007-02-06",31.700001
"25","2007-02-07",31.950001
"26","2007-02-08",31.879999
"27","2007-02-09",31.889999
"28","2007-02-12",32.02
"29","2007-02-13",33.130001
"30","2007-02-14",34.150002
"31","2007-02-15",33.950001
"32","2007-02-16",34.27
"33","2007-02-20",34.5
"34","2007-02-21",34.59
"35","2007-02-22",34.549999
"36","2007-02-23",34.599998
"37","2007-02-26",34.580002
"38","2007-02-27",33.290001
"39","2007-02-28",32.669998
"40","2007-03-01",32.619999
"41","2007-03-02",31.73
"42","2007-03-05",31.610001
"43","2007-03-06",31.809999
"44","2007-03-07",31.620001
"45","2007-03-08",32.279999
"46","2007-03-09",33.509998
"47","2007-03-12",33.439999
"48","2007-03-13",32.040001
"49","2007-03-14",32.360001
"50","2007-03-15",33
"51","2007-03-16",32.330002
"52","2007-03-19",32.939999
"53","2007-03-20",33.279999
"54","2007-03-21",33.880001
"55","2007-03-22",33.619999
"56","2007-03-23",34.220001
"57","2007-03-26",34.110001
"58","2007-03-27",33.610001
"59","2007-03-28",33.389999
"60","2007-03-29",33.240002
"61","2007-03-30",33.400002
"62","2007-04-02",33.32
"63","2007-04-03",33.919998
"64","2007-04-04",33.380001
"65","2007-04-05",33.52
"66","2007-04-09",33.200001
"67","2007-04-10",33.220001
"68","2007-04-11",32.740002
"69","2007-04-12",32.57
"70","2007-04-13",32.330002
