"","date","SBLK"
"1","2007-12-03",1121.344971
"2","2007-12-04",1125.730957
"3","2007-12-05",1051.900635
"4","2007-12-06",1031.432739
"5","2007-12-07",1030.701782
"6","2007-12-10",999.268982
"7","2007-12-11",1001.461975
"8","2007-12-12",968.567261
"9","2007-12-13",1009.50293
"10","2007-12-14",1021.92981
"11","2007-12-17",995.614014
"12","2007-12-18",992.690063
"13","2007-12-19",964.181274
"14","2007-12-20",935.672485
"15","2007-12-21",924.707581
"16","2007-12-24",919.590637
"17","2007-12-26",911.549683
"18","2007-12-27",910.087708
"19","2007-12-28",910.087708
"20","2007-12-31",939.327515
"21","2008-01-02",893.274841
"22","2008-01-03",870.614014
"23","2008-01-04",797.514648
"24","2008-01-07",798.976624
"25","2008-01-08",756.578918
"26","2008-01-09",730.994141
"27","2008-01-10",732.456116
"28","2008-01-11",749.268982
"29","2008-01-14",749.268982
"30","2008-01-15",717.836243
"31","2008-01-16",719.298218
"32","2008-01-17",716.374268
"33","2008-01-18",709.064331
"34","2008-01-22",705.409363
"35","2008-01-23",684.21051
"36","2008-01-24",709.064331
"37","2008-01-25",711.988281
"38","2008-01-28",717.105286
"39","2008-01-29",734.649109
"40","2008-01-30",785.818726
"41","2008-01-31",839.181274
"42","2008-02-01",818.71344
"43","2008-02-04",807.017517
"44","2008-02-05",779.239746
"45","2008-02-06",774.853821
"46","2008-02-07",785.818726
"47","2008-02-08",798.976624
"48","2008-02-11",825.292419
"49","2008-02-12",807.017517
"50","2008-02-13",837.719299
"51","2008-02-14",904.239746
"52","2008-02-15",896.198853
"53","2008-02-19",886.695923
"54","2008-02-20",871.345032
"55","2008-02-21",880.847961
"56","2008-02-22",879.385986
"57","2008-02-25",892.543884
"58","2008-02-26",875.731018
"59","2008-02-27",887.42688
"60","2008-02-28",877.92395
"61","2008-02-29",874.268982
"62","2008-03-03",869.152039
"63","2008-03-04",872.07605
"64","2008-03-05",869.883057
"65","2008-03-06",858.918152
"66","2008-03-07",861.842102
"67","2008-03-10",808.479553
"68","2008-03-11",828.947388
"69","2008-03-12",823.830383
"70","2008-03-13",817.982483
