"","date","IRTC"
"1","2016-10-20",26.049999
"2","2016-10-21",25.790001
"3","2016-10-24",26.700001
"4","2016-10-25",26.68
"5","2016-10-26",25.74
"6","2016-10-27",25.02
"7","2016-10-28",24.25
"8","2016-10-31",24.950001
"9","2016-11-01",25.74
"10","2016-11-02",24.9
"11","2016-11-03",23.360001
"12","2016-11-04",23.08
"13","2016-11-07",23.52
"14","2016-11-08",23.309999
"15","2016-11-09",23.75
"16","2016-11-10",23.700001
"17","2016-11-11",24.23
"18","2016-11-14",24.82
"19","2016-11-15",25.68
"20","2016-11-16",25.9
"21","2016-11-17",27.450001
"22","2016-11-18",30.49
"23","2016-11-21",29.969999
"24","2016-11-22",29.16
"25","2016-11-23",29.209999
"26","2016-11-25",29.33
"27","2016-11-28",29.77
"28","2016-11-29",30.940001
"29","2016-11-30",30.5
"30","2016-12-01",29.799999
"31","2016-12-02",28.98
"32","2016-12-05",29.15
"33","2016-12-06",27.5
"34","2016-12-07",27.559999
"35","2016-12-08",27
"36","2016-12-09",26.74
"37","2016-12-12",26
"38","2016-12-13",25.76
"39","2016-12-14",25.120001
"40","2016-12-15",26.629999
"41","2016-12-16",27.6
"42","2016-12-19",27.879999
"43","2016-12-20",27.85
"44","2016-12-21",27.530001
"45","2016-12-22",27.5
"46","2016-12-23",28.32
"47","2016-12-27",28.43
"48","2016-12-28",28.75
"49","2016-12-29",28.959999
"50","2016-12-30",30
"51","2017-01-03",29.99
"52","2017-01-04",29.700001
"53","2017-01-05",29.610001
"54","2017-01-06",30
"55","2017-01-09",31.5
"56","2017-01-10",31.6
"57","2017-01-11",31.17
"58","2017-01-12",30.77
"59","2017-01-13",30.559999
"60","2017-01-17",29.66
"61","2017-01-18",29.41
"62","2017-01-19",29.58
"63","2017-01-20",29.99
"64","2017-01-23",29.799999
"65","2017-01-24",30.48
"66","2017-01-25",30.879999
"67","2017-01-26",30.959999
"68","2017-01-27",31.389999
"69","2017-01-30",31.450001
"70","2017-01-31",32.630001
"71","2017-02-01",32.709999
"72","2017-02-02",32.66
"73","2017-02-03",32.709999
"74","2017-02-06",32.900002
"75","2017-02-07",34.5
"76","2017-02-08",36.220001
"77","2017-02-09",35.610001
"78","2017-02-10",35.860001
"79","2017-02-13",36.689999
"80","2017-02-14",36.09
"81","2017-02-15",35.990002
"82","2017-02-16",35.25
"83","2017-02-17",37.849998
"84","2017-02-21",38.25
"85","2017-02-22",39.09
"86","2017-02-23",39.84
"87","2017-02-24",39.720001
"88","2017-02-27",39.720001
"89","2017-02-28",38.52
"90","2017-03-01",39.400002
"91","2017-03-02",38.5
"92","2017-03-03",37.459999
"93","2017-03-06",36.43
"94","2017-03-07",36.130001
"95","2017-03-08",35.66
"96","2017-03-09",35.119999
"97","2017-03-10",35.27
"98","2017-03-13",35.310001
"99","2017-03-14",35.310001
"100","2017-03-15",35.380001
"101","2017-03-16",35.549999
"102","2017-03-17",37.490002
"103","2017-03-20",35.860001
"104","2017-03-21",35.02
"105","2017-03-22",34.709999
"106","2017-03-23",34.939999
"107","2017-03-24",35.360001
"108","2017-03-27",36.27
"109","2017-03-28",36.139999
"110","2017-03-29",36.580002
"111","2017-03-30",36.389999
"112","2017-03-31",37.599998
"113","2017-04-03",37.130001
"114","2017-04-04",37.209999
"115","2017-04-05",37.080002
"116","2017-04-06",36.580002
"117","2017-04-07",36.450001
"118","2017-04-10",37.169998
"119","2017-04-11",36.889999
"120","2017-04-12",35.630001
"121","2017-04-13",34.93
"122","2017-04-17",34.950001
"123","2017-04-18",33.790001
"124","2017-04-19",33.34
"125","2017-04-20",33.560001
"126","2017-04-21",33.630001
"127","2017-04-24",33.5
"128","2017-04-25",33.41
"129","2017-04-26",34.610001
"130","2017-04-27",35.240002
"131","2017-04-28",35.290001
"132","2017-05-01",35.25
"133","2017-05-02",36.970001
"134","2017-05-03",36.59
"135","2017-05-04",34.959999
"136","2017-05-05",34.830002
"137","2017-05-08",32.740002
"138","2017-05-09",33.330002
"139","2017-05-10",33.779999
"140","2017-05-11",35.290001
"141","2017-05-12",34.98
"142","2017-05-15",35.110001
"143","2017-05-16",36.209999
"144","2017-05-17",35.259998
"145","2017-05-18",35.209999
"146","2017-05-19",35.5
"147","2017-05-22",35.029999
"148","2017-05-23",34.860001
"149","2017-05-24",35.049999
"150","2017-05-25",34.919998
"151","2017-05-26",34.009998
"152","2017-05-30",34.75
"153","2017-05-31",34.68
"154","2017-06-01",35.490002
"155","2017-06-02",35.830002
"156","2017-06-05",35.669998
"157","2017-06-06",36.48
"158","2017-06-07",37.150002
"159","2017-06-08",38
"160","2017-06-09",37.889999
"161","2017-06-12",36.77
"162","2017-06-13",38.029999
