"","date","PFC"
"1","2007-01-03",15.09
"2","2007-01-04",15.07
"3","2007-01-05",14.925
"4","2007-01-08",14.9
"5","2007-01-09",14.87
"6","2007-01-10",14.69
"7","2007-01-11",14.645
"8","2007-01-12",14.635
"9","2007-01-16",14.575
"10","2007-01-17",14.505
"11","2007-01-18",14.135
"12","2007-01-19",13.765
"13","2007-01-22",13.8
"14","2007-01-23",13.795
"15","2007-01-24",13.945
"16","2007-01-25",14.035
"17","2007-01-26",14.12
"18","2007-01-29",14.34
"19","2007-01-30",14.385
"20","2007-01-31",14.475
"21","2007-02-01",14.58
"22","2007-02-02",14.58
"23","2007-02-05",14.69
"24","2007-02-06",14.5
"25","2007-02-07",14.55
"26","2007-02-08",14.535
"27","2007-02-09",14.54
"28","2007-02-12",14.42
"29","2007-02-13",14.47
"30","2007-02-14",14.44
"31","2007-02-15",14.55
"32","2007-02-16",14.75
"33","2007-02-20",14.8
"34","2007-02-21",14.86
"35","2007-02-22",14.665
"36","2007-02-23",14.715
"37","2007-02-26",14.675
"38","2007-02-27",14.675
"39","2007-02-28",14.47
"40","2007-03-01",14.29
"41","2007-03-02",14.165
"42","2007-03-05",14.055
"43","2007-03-06",14
"44","2007-03-07",13.895
"45","2007-03-08",14.05
"46","2007-03-09",14.305
"47","2007-03-12",14.35
"48","2007-03-13",14.215
"49","2007-03-14",14.105
"50","2007-03-15",14
"51","2007-03-16",13.95
"52","2007-03-19",13.86
"53","2007-03-20",13.915
"54","2007-03-21",14.025
"55","2007-03-22",13.98
"56","2007-03-23",14
"57","2007-03-26",14.25
"58","2007-03-27",14.295
"59","2007-03-28",14.265
"60","2007-03-29",14.295
"61","2007-03-30",14.35
"62","2007-04-02",14.285
"63","2007-04-03",14.25
"64","2007-04-04",13.94
"65","2007-04-05",14.035
"66","2007-04-09",14.075
"67","2007-04-10",14.1
"68","2007-04-11",13.815
"69","2007-04-12",13.705
"70","2007-04-13",13.615
"71","2007-04-16",13.705
"72","2007-04-17",13.74
"73","2007-04-18",13.72
"74","2007-04-19",13.44
"75","2007-04-20",13.5
"76","2007-04-23",13.62
"77","2007-04-24",13.735
"78","2007-04-25",13.79
"79","2007-04-26",13.99
"80","2007-04-27",14.02
"81","2007-04-30",14.03
"82","2007-05-01",13.96
