"","date","PEB"
"1","2009-12-09",20.450001
"2","2009-12-10",20.5
"3","2009-12-11",21.25
"4","2009-12-14",20.969999
"5","2009-12-15",21
"6","2009-12-16",21
"7","2009-12-17",20.700001
"8","2009-12-18",21.49
"9","2009-12-21",22.27
"10","2009-12-22",22
"11","2009-12-23",21.65
"12","2009-12-24",21.940001
"13","2009-12-28",21.82
"14","2009-12-29",21.860001
"15","2009-12-30",22.25
"16","2009-12-31",22.01
"17","2010-01-04",21.35
"18","2010-01-05",21.74
"19","2010-01-06",21.75
"20","2010-01-07",21.309999
"21","2010-01-08",21.120001
"22","2010-01-11",21.030001
"23","2010-01-12",20.559999
"24","2010-01-13",20.57
"25","2010-01-14",20.629999
"26","2010-01-15",20.82
"27","2010-01-19",21.540001
"28","2010-01-20",21.6
"29","2010-01-21",21.549999
"30","2010-01-22",21.110001
"31","2010-01-25",20.719999
"32","2010-01-26",20.35
"33","2010-01-27",20.15
"34","2010-01-28",20.610001
"35","2010-01-29",20.620001
"36","2010-02-01",20.25
"37","2010-02-02",20.35
"38","2010-02-03",20.290001
"39","2010-02-04",20.280001
"40","2010-02-05",20.32
"41","2010-02-08",20.09
"42","2010-02-09",20.059999
"43","2010-02-10",20.08
"44","2010-02-11",20.030001
"45","2010-02-12",20.35
"46","2010-02-16",20.26
"47","2010-02-17",20.129999
"48","2010-02-18",20.01
"49","2010-02-19",20.139999
"50","2010-02-22",20.35
"51","2010-02-23",20.17
"52","2010-02-24",20.360001
"53","2010-02-25",20.120001
"54","2010-02-26",20.26
"55","2010-03-01",20.370001
"56","2010-03-02",20.719999
"57","2010-03-03",20.9
"58","2010-03-04",21.200001
"59","2010-03-05",21.42
"60","2010-03-08",21.42
"61","2010-03-09",21.190001
"62","2010-03-10",20.91
"63","2010-03-11",21.049999
"64","2010-03-12",21.18
"65","2010-03-15",21
"66","2010-03-16",21.469999
"67","2010-03-17",21.440001
"68","2010-03-18",21
"69","2010-03-19",20.1
"70","2010-03-22",20.450001
"71","2010-03-23",20.620001
"72","2010-03-24",20.51
"73","2010-03-25",20.92
"74","2010-03-26",20.950001
"75","2010-03-29",20.940001
"76","2010-03-30",20.879999
"77","2010-03-31",21.030001
"78","2010-04-01",20.950001
"79","2010-04-05",21.07
"80","2010-04-06",21.09
"81","2010-04-07",20.940001
"82","2010-04-08",20.32
"83","2010-04-09",20.290001
"84","2010-04-12",20.52
"85","2010-04-13",20.370001
"86","2010-04-14",20.549999
"87","2010-04-15",20.51
"88","2010-04-16",20.059999
"89","2010-04-19",19.99
"90","2010-04-20",20.049999
"91","2010-04-21",20.049999
"92","2010-04-22",20.09
"93","2010-04-23",20
"94","2010-04-26",19.870001
"95","2010-04-27",19.91
"96","2010-04-28",19.950001
"97","2010-04-29",19.65
"98","2010-04-30",19.700001
"99","2010-05-03",19.75
"100","2010-05-04",19.4
"101","2010-05-05",19.09
"102","2010-05-06",18.67
"103","2010-05-07",18.6
"104","2010-05-10",19.299999
"105","2010-05-11",18.74
"106","2010-05-12",19.65
"107","2010-05-13",19.549999
"108","2010-05-14",19.27
"109","2010-05-17",18.99
"110","2010-05-18",19.16
"111","2010-05-19",18.969999
"112","2010-05-20",18.799999
"113","2010-05-21",19.190001
"114","2010-05-24",19.799999
"115","2010-05-25",19.969999
"116","2010-05-26",20.33
"117","2010-05-27",20.67
"118","2010-05-28",20.52
"119","2010-06-01",20.120001
"120","2010-06-02",19.99
"121","2010-06-03",19.77
"122","2010-06-04",18.360001
"123","2010-06-07",17.950001
"124","2010-06-08",17.93
"125","2010-06-09",17.99
"126","2010-06-10",19.27
"127","2010-06-11",19.32
"128","2010-06-14",19.379999
"129","2010-06-15",19.1
"130","2010-06-16",18.9
"131","2010-06-17",18.74
"132","2010-06-18",19.02
"133","2010-06-21",19.059999
"134","2010-06-22",18.85
"135","2010-06-23",19.290001
"136","2010-06-24",19.209999
"137","2010-06-25",19.91
"138","2010-06-28",19.709999
"139","2010-06-29",18.93
"140","2010-06-30",18.85
"141","2010-07-01",18.93
"142","2010-07-02",18.639999
"143","2010-07-06",18.26
"144","2010-07-07",19
"145","2010-07-08",19.219999
"146","2010-07-09",19.25
"147","2010-07-12",19.1
"148","2010-07-13",18.940001
"149","2010-07-14",18.780001
"150","2010-07-15",18.65
"151","2010-07-16",18.42
"152","2010-07-19",18.02
"153","2010-07-20",17.950001
"154","2010-07-21",17.110001
"155","2010-07-22",17.09
"156","2010-07-23",17.299999
"157","2010-07-26",17.559999
"158","2010-07-27",17.67
"159","2010-07-28",17.85
"160","2010-07-29",18.309999
"161","2010-07-30",18.290001
"162","2010-08-02",19.07
"163","2010-08-03",18.98
"164","2010-08-04",19.059999
"165","2010-08-05",18.799999
"166","2010-08-06",18.860001
"167","2010-08-09",18.700001
"168","2010-08-10",18.549999
"169","2010-08-11",17.870001
"170","2010-08-12",17.809999
"171","2010-08-13",17.450001
"172","2010-08-16",17.98
"173","2010-08-17",18.02
"174","2010-08-18",17.879999
"175","2010-08-19",17.27
"176","2010-08-20",17.280001
"177","2010-08-23",17.209999
"178","2010-08-24",17.219999
"179","2010-08-25",17.799999
"180","2010-08-26",17.690001
"181","2010-08-27",18.07
"182","2010-08-30",17.92
"183","2010-08-31",17.74
"184","2010-09-01",17.879999
"185","2010-09-02",17.940001
"186","2010-09-03",18.18
"187","2010-09-07",17.99
"188","2010-09-08",17.77
"189","2010-09-09",17.959999
"190","2010-09-10",17.889999
"191","2010-09-13",18.030001
"192","2010-09-14",17.950001
"193","2010-09-15",18.059999
"194","2010-09-16",17.889999
"195","2010-09-17",18.469999
"196","2010-09-20",19.25
"197","2010-09-21",18.9
"198","2010-09-22",18.5
"199","2010-09-23",17.9
