"","date","EPAY"
"1","2007-01-03",11.15
"2","2007-01-04",11.17
"3","2007-01-05",11.09
"4","2007-01-08",11.11
"5","2007-01-09",11.04
"6","2007-01-10",10.89
"7","2007-01-11",10.87
"8","2007-01-12",10.9
"9","2007-01-16",10.91
"10","2007-01-17",10.8
"11","2007-01-18",10.54
"12","2007-01-19",10.67
"13","2007-01-22",10.48
"14","2007-01-23",10.24
"15","2007-01-24",10.47
"16","2007-01-25",12.05
"17","2007-01-26",12.99
"18","2007-01-29",13
"19","2007-01-30",13.1
"20","2007-01-31",13.13
"21","2007-02-01",13.01
"22","2007-02-02",13.01
"23","2007-02-05",13
"24","2007-02-06",12.91
"25","2007-02-07",12.99
"26","2007-02-08",13.19
"27","2007-02-09",13.02
"28","2007-02-12",12.99
"29","2007-02-13",13.24
"30","2007-02-14",12.99
"31","2007-02-15",12.94
"32","2007-02-16",13.03
"33","2007-02-20",12.99
"34","2007-02-21",12.99
"35","2007-02-22",12.49
"36","2007-02-23",12.61
"37","2007-02-26",12.61
"38","2007-02-27",11.61
"39","2007-02-28",12.24
"40","2007-03-01",12.01
"41","2007-03-02",11.85
"42","2007-03-05",10.92
"43","2007-03-06",11.09
"44","2007-03-07",11.27
"45","2007-03-08",11.07
"46","2007-03-09",11.05
"47","2007-03-12",11.4
"48","2007-03-13",11.26
"49","2007-03-14",11.12
"50","2007-03-15",11.09
"51","2007-03-16",11.09
"52","2007-03-19",11.25
"53","2007-03-20",11.25
"54","2007-03-21",11.2
"55","2007-03-22",11.15
"56","2007-03-23",11.14
"57","2007-03-26",11.02
"58","2007-03-27",10.78
"59","2007-03-28",10.84
"60","2007-03-29",10.85
"61","2007-03-30",10.9
"62","2007-04-02",11.06
"63","2007-04-03",11.13
"64","2007-04-04",10.97
"65","2007-04-05",10.88
"66","2007-04-09",10.71
"67","2007-04-10",10.59
"68","2007-04-11",10.5
"69","2007-04-12",10.62
"70","2007-04-13",10.84
"71","2007-04-16",11.14
"72","2007-04-17",10.96
"73","2007-04-18",10.96
"74","2007-04-19",10.92
"75","2007-04-20",11.39
"76","2007-04-23",11.17
"77","2007-04-24",11.61
"78","2007-04-25",11.23
"79","2007-04-26",12.67
"80","2007-04-27",13.13
