"","date","USWS"
"1","2018-11-13",9.7
"2","2018-11-14",8.7
"3","2018-11-15",8.68
"4","2018-11-16",8.42
"5","2018-11-19",8.41
"6","2018-11-20",8.04
"7","2018-11-21",8.07
"8","2018-11-23",8.48
"9","2018-11-26",8
"10","2018-11-27",7.89
"11","2018-11-28",7.9
"12","2018-11-29",7.91
"13","2018-11-30",7.9
"14","2018-12-03",8
"15","2018-12-04",7.6
"16","2018-12-06",7.47
"17","2018-12-07",7.49
"18","2018-12-10",7.35
"19","2018-12-11",7.6
"20","2018-12-12",7.5
"21","2018-12-13",7.28
"22","2018-12-14",7.46
"23","2018-12-17",7.54
"24","2018-12-18",7.7
"25","2018-12-19",7.71
"26","2018-12-20",7.71
"27","2018-12-21",6.96
"28","2018-12-24",6.4
"29","2018-12-26",6.5
"30","2018-12-27",6.4
"31","2018-12-28",6.45
"32","2018-12-31",6.5
"33","2019-01-02",6.61
"34","2019-01-03",6.74
"35","2019-01-04",6.79
"36","2019-01-07",6.61
"37","2019-01-08",6.7
"38","2019-01-09",7.02
"39","2019-01-10",6.74
"40","2019-01-11",6.62
"41","2019-01-14",6.88
"42","2019-01-15",7.05
"43","2019-01-16",7.12
"44","2019-01-17",8.14
"45","2019-01-18",7.85
"46","2019-01-22",7.5
"47","2019-01-23",7.8
"48","2019-01-24",7.28
"49","2019-01-25",7.68
"50","2019-01-28",7.58
"51","2019-01-29",7.39
"52","2019-01-30",7.69
"53","2019-01-31",8
"54","2019-02-01",8.2
"55","2019-02-04",8.35
"56","2019-02-05",8.01
"57","2019-02-06",8.19
"58","2019-02-07",7.96
"59","2019-02-08",8.19
"60","2019-02-11",8.2
"61","2019-02-12",8.07
"62","2019-02-13",8.25
"63","2019-02-14",8.02
"64","2019-02-15",7.91
"65","2019-02-19",7.95
"66","2019-02-20",8
"67","2019-02-21",7.8
"68","2019-02-22",7.85
"69","2019-02-25",7.99
"70","2019-02-26",7.85
"71","2019-02-27",7.95
"72","2019-02-28",8.05
"73","2019-03-01",8.2
"74","2019-03-04",8.85
"75","2019-03-05",8.83
"76","2019-03-06",8.27
"77","2019-03-07",8.33
"78","2019-03-08",8.39
"79","2019-03-11",8.4
"80","2019-03-12",8.44
"81","2019-03-13",8.96
"82","2019-03-14",8.91
"83","2019-03-15",8.44
"84","2019-03-18",8.68
"85","2019-03-19",8.22
"86","2019-03-20",8.25
"87","2019-03-21",8.28
"88","2019-03-22",7.74
"89","2019-03-25",7.71
"90","2019-03-26",7.91
"91","2019-03-27",7.73
"92","2019-03-28",7.62
"93","2019-03-29",7.98
"94","2019-04-01",8.1
"95","2019-04-02",7.76
"96","2019-04-03",7.89
"97","2019-04-04",7.92
"98","2019-04-05",7.61
"99","2019-04-08",7.84
"100","2019-04-09",7.96
"101","2019-04-10",7.7
"102","2019-04-11",7.85
"103","2019-04-12",7.9
