"","date","EBTC"
"1","2007-01-03",15.3
"2","2007-01-04",15.45
"3","2007-01-05",15.75
"4","2007-01-08",15.55
"5","2007-01-09",15.65
"6","2007-01-10",15.5
"7","2007-01-11",15.5
"8","2007-01-12",15.5
"9","2007-01-16",15.5
"10","2007-01-17",15.26
"11","2007-01-18",15.26
"12","2007-01-19",15.26
"13","2007-01-22",15.5
"14","2007-01-23",15.4
"15","2007-01-24",15.5
"16","2007-01-25",15.25
"17","2007-01-26",15.6
"18","2007-01-29",15.25
"19","2007-01-30",15.3
"20","2007-01-31",15.4
"21","2007-02-01",15.49
"22","2007-02-02",15.45
"23","2007-02-05",15.56
"24","2007-02-06",15.75
"25","2007-02-07",15.6
"26","2007-02-08",15.65
"27","2007-02-09",15.65
"28","2007-02-12",15.75
"29","2007-02-13",15.75
"30","2007-02-14",15.85
"31","2007-02-15",16
"32","2007-02-16",15.95
"33","2007-02-20",15.89
"34","2007-02-21",15.98
"35","2007-02-22",16
"36","2007-02-23",16
"37","2007-02-26",16.5
"38","2007-02-27",16.25
"39","2007-02-28",16.25
"40","2007-03-01",16.26
"41","2007-03-02",16.5
"42","2007-03-05",16.5
"43","2007-03-06",16.5
"44","2007-03-07",16.5
"45","2007-03-08",16.25
"46","2007-03-09",16.25
"47","2007-03-12",16.25
"48","2007-03-13",16.24
"49","2007-03-14",16.24
"50","2007-03-15",16.07
"51","2007-03-16",16.07
"52","2007-03-19",16.370001
"53","2007-03-20",16.370001
"54","2007-03-21",16.15
"55","2007-03-22",16.15
"56","2007-03-23",16.15
"57","2007-03-26",16
"58","2007-03-27",16.15
"59","2007-03-28",16.25
"60","2007-03-29",16.25
"61","2007-03-30",16
"62","2007-04-02",16.389999
"63","2007-04-03",16.1
"64","2007-04-04",16.01
"65","2007-04-05",16.01
"66","2007-04-09",16.35
"67","2007-04-10",16.35
"68","2007-04-11",16
"69","2007-04-12",16.08
"70","2007-04-13",16.08
"71","2007-04-16",16.09
"72","2007-04-17",16.09
"73","2007-04-18",15.95
"74","2007-04-19",15.75
"75","2007-04-20",15.75
"76","2007-04-23",15.75
"77","2007-04-24",15.38
"78","2007-04-25",15.3
"79","2007-04-26",15.7
"80","2007-04-27",16
"81","2007-04-30",16
"82","2007-05-01",16.040001
"83","2007-05-02",16
"84","2007-05-03",16.08
"85","2007-05-04",16
"86","2007-05-07",15.75
"87","2007-05-08",15.76
"88","2007-05-09",15.76
"89","2007-05-10",15.76
"90","2007-05-11",15.75
"91","2007-05-14",16.02
"92","2007-05-15",15.99
"93","2007-05-16",15.99
"94","2007-05-17",15.99
"95","2007-05-18",15.95
"96","2007-05-21",16
"97","2007-05-22",15.95
"98","2007-05-23",15.95
"99","2007-05-24",15.95
"100","2007-05-25",15.95
"101","2007-05-29",16
"102","2007-05-30",16
"103","2007-05-31",15.99
"104","2007-06-01",16
"105","2007-06-04",15.95
"106","2007-06-05",15.95
"107","2007-06-06",15.95
"108","2007-06-07",15.95
"109","2007-06-08",15.95
"110","2007-06-11",15.95
"111","2007-06-12",15.95
"112","2007-06-13",15.95
"113","2007-06-14",15.95
"114","2007-06-15",15.95
"115","2007-06-18",15.95
"116","2007-06-19",15.97
"117","2007-06-20",15.97
"118","2007-06-21",15.95
"119","2007-06-22",15.95
"120","2007-06-25",15.95
"121","2007-06-26",15.9
"122","2007-06-27",15.9
"123","2007-06-28",15.97
"124","2007-06-29",15.9
"125","2007-07-02",15.98
"126","2007-07-03",15.98
"127","2007-07-05",16
"128","2007-07-06",15.85
"129","2007-07-09",15.8
"130","2007-07-10",15.8
"131","2007-07-11",15.75
"132","2007-07-12",15.73
"133","2007-07-13",15.74
"134","2007-07-16",15.74
"135","2007-07-17",15.75
"136","2007-07-18",15.75
"137","2007-07-19",15.75
"138","2007-07-20",15.47
"139","2007-07-23",15.47
"140","2007-07-24",15.47
"141","2007-07-25",15.06
"142","2007-07-26",15.34
"143","2007-07-27",15.34
"144","2007-07-30",15.34
"145","2007-07-31",15.2
"146","2007-08-01",15.37
"147","2007-08-02",15.37
"148","2007-08-03",15
"149","2007-08-06",13.92
"150","2007-08-07",14.25
"151","2007-08-08",14.25
"152","2007-08-09",14.3
"153","2007-08-10",13.86
"154","2007-08-13",13.84
"155","2007-08-14",13.8
"156","2007-08-15",13.8
"157","2007-08-16",13.85
"158","2007-08-17",13.85
"159","2007-08-20",13.85
"160","2007-08-21",13.7
"161","2007-08-22",13.15
"162","2007-08-23",13.5
"163","2007-08-24",13.49
"164","2007-08-27",13.3
"165","2007-08-28",13.4
"166","2007-08-29",13.81
"167","2007-08-30",13.95
"168","2007-08-31",13.95
"169","2007-09-04",14.1
"170","2007-09-05",14.02
"171","2007-09-06",14.09
"172","2007-09-07",13.95
"173","2007-09-10",13.95
"174","2007-09-11",13.9
"175","2007-09-12",13.7
"176","2007-09-13",13.58
"177","2007-09-14",13.58
"178","2007-09-17",13.77
"179","2007-09-18",13.77
"180","2007-09-19",13.77
"181","2007-09-20",14
"182","2007-09-21",13.67
"183","2007-09-24",13.18
"184","2007-09-25",13.06
"185","2007-09-26",14
"186","2007-09-27",14.38
"187","2007-09-28",14.38
"188","2007-10-01",14.05
"189","2007-10-02",14.09
"190","2007-10-03",14.05
"191","2007-10-04",14.05
"192","2007-10-05",14.15
"193","2007-10-08",14.15
"194","2007-10-09",14.1
"195","2007-10-10",14.1
"196","2007-10-11",14.25
"197","2007-10-12",14.64
"198","2007-10-15",14.64
"199","2007-10-16",14.64
"200","2007-10-17",14.73
"201","2007-10-18",14.25
"202","2007-10-19",14.3
"203","2007-10-22",14.3
"204","2007-10-23",14.16
"205","2007-10-24",14.16
"206","2007-10-25",14.4
"207","2007-10-26",14.47
"208","2007-10-29",14.23
"209","2007-10-30",14.11
"210","2007-10-31",14.06
"211","2007-11-01",14.05
"212","2007-11-02",14.39
"213","2007-11-05",14.05
"214","2007-11-06",14.05
"215","2007-11-07",14.05
"216","2007-11-08",13.95
"217","2007-11-09",13.95
"218","2007-11-12",13.95
"219","2007-11-13",13.95
"220","2007-11-14",13.95
"221","2007-11-15",13.8
"222","2007-11-16",13.86
"223","2007-11-19",13.86
"224","2007-11-20",14.02
"225","2007-11-21",14.02
"226","2007-11-23",14.02
"227","2007-11-26",13.95
"228","2007-11-27",13.9
"229","2007-11-28",13.96
"230","2007-11-29",13.87
"231","2007-11-30",13.7
"232","2007-12-03",13.5
"233","2007-12-04",13.5
"234","2007-12-05",13.5
"235","2007-12-06",13.35
"236","2007-12-07",13.25
"237","2007-12-10",13.23
"238","2007-12-11",13.2
"239","2007-12-12",13.2
"240","2007-12-13",13
"241","2007-12-14",13
"242","2007-12-17",12.92
"243","2007-12-18",12.94
"244","2007-12-19",13
"245","2007-12-20",13
"246","2007-12-21",13
"247","2007-12-24",13
"248","2007-12-26",12.28
"249","2007-12-27",12.95
"250","2007-12-28",12.65
"251","2007-12-31",12.65
"252","2008-01-02",12.75
"253","2008-01-03",12.75
"254","2008-01-04",12.99
"255","2008-01-07",12.95
"256","2008-01-08",12.95
"257","2008-01-09",12.95
"258","2008-01-10",12.65
"259","2008-01-11",13
"260","2008-01-14",13
"261","2008-01-15",13
"262","2008-01-16",12.97
"263","2008-01-17",12.62
"264","2008-01-18",12.71
"265","2008-01-22",13
"266","2008-01-23",12.85
"267","2008-01-24",12.75
"268","2008-01-25",12.95
"269","2008-01-28",12.95
"270","2008-01-29",13.19
"271","2008-01-30",13.2
"272","2008-01-31",13.01
"273","2008-02-01",13.01
"274","2008-02-04",13
"275","2008-02-05",12.95
"276","2008-02-06",12.9
"277","2008-02-07",12.85
"278","2008-02-08",12.85
"279","2008-02-11",13.48
"280","2008-02-12",13.05
"281","2008-02-13",12.95
"282","2008-02-14",12.95
"283","2008-02-15",12.9
"284","2008-02-19",13.05
"285","2008-02-20",13.05
"286","2008-02-21",13.05
"287","2008-02-22",13
"288","2008-02-25",13
"289","2008-02-26",12.95
"290","2008-02-27",12.9
"291","2008-02-28",12.85
"292","2008-02-29",12.8
"293","2008-03-03",12.8
"294","2008-03-04",13.23
"295","2008-03-05",12.55
"296","2008-03-06",12.55
"297","2008-03-07",12.96
"298","2008-03-10",12.52
"299","2008-03-11",12.5
"300","2008-03-12",12.5
"301","2008-03-13",12.5
"302","2008-03-14",12.5
"303","2008-03-17",12.5
"304","2008-03-18",12.75
"305","2008-03-19",13.01
