"","date","LOCO"
"1","2014-07-25",24.030001
"2","2014-07-28",34.48
"3","2014-07-29",29.9
"4","2014-07-30",34.563
"5","2014-07-31",38.75
"6","2014-08-01",41.200001
"7","2014-08-04",38.400002
"8","2014-08-05",34.310001
"9","2014-08-06",36.950001
"10","2014-08-07",38.868
"11","2014-08-08",36.950001
"12","2014-08-11",35.790001
"13","2014-08-12",34.07
"14","2014-08-13",33.310001
"15","2014-08-14",31.941999
"16","2014-08-15",33.360001
"17","2014-08-18",33.200001
"18","2014-08-19",29.91
"19","2014-08-20",30.190001
"20","2014-08-21",29.870001
"21","2014-08-22",30.620001
"22","2014-08-25",32.189999
"23","2014-08-26",31.57
"24","2014-08-27",31.540001
"25","2014-08-28",31.65
"26","2014-08-29",32.310001
"27","2014-09-02",36.02
"28","2014-09-03",34.389999
"29","2014-09-04",34.790001
"30","2014-09-05",36.240002
"31","2014-09-08",36.189999
"32","2014-09-09",35.790001
"33","2014-09-10",36.25
"34","2014-09-11",36.639999
"35","2014-09-12",38.869999
"36","2014-09-15",36.98
"37","2014-09-16",36.759998
"38","2014-09-17",36.84
"39","2014-09-18",35.59
"40","2014-09-19",35.41
"41","2014-09-22",35.07
"42","2014-09-23",34.950001
"43","2014-09-24",35.720001
"44","2014-09-25",35.09
"45","2014-09-26",35.16
"46","2014-09-29",35.490002
"47","2014-09-30",35.91
"48","2014-10-01",34.07
"49","2014-10-02",35.060001
"50","2014-10-03",35.860001
"51","2014-10-06",37.349998
"52","2014-10-07",37.200001
"53","2014-10-08",37.580002
"54","2014-10-09",36.349998
"55","2014-10-10",35.580002
"56","2014-10-13",34.23
"57","2014-10-14",34.279999
"58","2014-10-15",33.57
"59","2014-10-16",33.450001
"60","2014-10-17",34
"61","2014-10-20",35.060001
"62","2014-10-21",34.48
"63","2014-10-22",34.240002
"64","2014-10-23",34.700001
"65","2014-10-24",34.630001
"66","2014-10-27",34.220001
"67","2014-10-28",36.419998
"68","2014-10-29",36.709999
"69","2014-10-30",36.639999
"70","2014-10-31",35.650002
"71","2014-11-03",35.700001
"72","2014-11-04",36.189999
"73","2014-11-05",36.349998
"74","2014-11-06",37.299999
"75","2014-11-07",36.599998
