"","date","CWBR"
"1","2017-12-15",5.5
"2","2017-12-18",5.35
"3","2017-12-19",5.33
"4","2017-12-20",5.4
"5","2017-12-21",5.14
"6","2017-12-22",5
"7","2017-12-26",5
"8","2017-12-27",4.91
"9","2017-12-28",5.39
"10","2017-12-29",4.97
"11","2018-01-02",5.07
"12","2018-01-03",5.5
"13","2018-01-04",5.83
"14","2018-01-05",5.92
"15","2018-01-08",5.28
"16","2018-01-09",5.69
"17","2018-01-10",5.26
"18","2018-01-11",4.85
"19","2018-01-12",4.86
"20","2018-01-16",5.645
"21","2018-01-17",6
"22","2018-01-18",6.05
"23","2018-01-19",6.05
"24","2018-01-22",6.26
"25","2018-01-23",6.32
"26","2018-01-24",6.2
"27","2018-01-25",6.45
"28","2018-01-26",6.52
"29","2018-01-29",6.65
"30","2018-01-30",6.41
"31","2018-01-31",6.74
"32","2018-02-01",6.62
"33","2018-02-02",6.26
"34","2018-02-05",6.3
"35","2018-02-06",6.45
"36","2018-02-07",6.486
"37","2018-02-08",6.38
"38","2018-02-09",6.1
"39","2018-02-12",6.38
"40","2018-02-13",6.46
"41","2018-02-14",6.64
"42","2018-02-15",6.92
"43","2018-02-16",6.69
"44","2018-02-20",6.6
"45","2018-02-21",6.8
"46","2018-02-22",6.52
"47","2018-02-23",6.68
"48","2018-02-26",6.48
"49","2018-02-27",6.4
"50","2018-02-28",6.07
"51","2018-03-01",5.78
"52","2018-03-02",5.8
"53","2018-03-05",5.8
"54","2018-03-06",5.84
"55","2018-03-07",5.9
"56","2018-03-08",6
"57","2018-03-09",5.91
"58","2018-03-12",5.68
"59","2018-03-13",5.5
"60","2018-03-14",5.49
"61","2018-03-15",5.23
"62","2018-03-16",5.21
"63","2018-03-19",5.05
"64","2018-03-20",4.97
"65","2018-03-21",4.96
"66","2018-03-22",5.12
"67","2018-03-23",5.3
"68","2018-03-26",5.3
"69","2018-03-27",5.45
"70","2018-03-28",5.3
"71","2018-03-29",5.2
"72","2018-04-02",5.15
"73","2018-04-03",5.23
"74","2018-04-04",5.18
"75","2018-04-05",5.11
"76","2018-04-06",4.95
"77","2018-04-09",4.96
"78","2018-04-10",4.77
"79","2018-04-11",4.65
"80","2018-04-12",4.68
"81","2018-04-13",4.94
"82","2018-04-16",4.95
"83","2018-04-17",4.94
"84","2018-04-18",4.83
"85","2018-04-19",4.76
"86","2018-04-20",4.44
"87","2018-04-23",4.99
"88","2018-04-24",4.92
"89","2018-04-25",4.8
"90","2018-04-26",4.8
"91","2018-04-27",4.8
"92","2018-04-30",4.85
"93","2018-05-01",4.97
"94","2018-05-02",4.95
"95","2018-05-03",4.95
"96","2018-05-04",5.484
"97","2018-05-07",6.29
"98","2018-05-08",6.35
"99","2018-05-09",6.24
"100","2018-05-10",5.91
"101","2018-05-11",6.1
"102","2018-05-14",6.04
"103","2018-05-15",6.04
"104","2018-05-16",5.98
"105","2018-05-17",5.9
"106","2018-05-18",6.04
"107","2018-05-21",6.02
"108","2018-05-22",6.06
"109","2018-05-23",6.04
"110","2018-05-24",6.21
"111","2018-05-25",5.8
"112","2018-05-29",5.62
"113","2018-05-30",5.84
"114","2018-05-31",6.05
"115","2018-06-01",7.1
"116","2018-06-04",7.85
"117","2018-06-05",7.63
"118","2018-06-06",8.86
"119","2018-06-07",8.49
"120","2018-06-08",8.24
"121","2018-06-11",9.22
"122","2018-06-12",10.4
"123","2018-06-13",10.17
"124","2018-06-14",10.18
"125","2018-06-15",10.09
"126","2018-06-18",10
"127","2018-06-19",9.95
"128","2018-06-20",9.9
"129","2018-06-21",9.35
"130","2018-06-22",8.31
"131","2018-06-25",8.35
"132","2018-06-26",7.22
"133","2018-06-27",7.55
"134","2018-06-28",6.71
"135","2018-06-29",6.55
"136","2018-07-02",6.04
"137","2018-07-03",6.09
"138","2018-07-05",6.25
"139","2018-07-06",6.28
"140","2018-07-09",6.13
"141","2018-07-10",5.78
"142","2018-07-11",5.65
"143","2018-07-12",5.87
"144","2018-07-13",6.06
"145","2018-07-16",5.7
"146","2018-07-17",5.56
"147","2018-07-18",5.59
"148","2018-07-19",5.7
"149","2018-07-20",5.63
"150","2018-07-23",5.66
"151","2018-07-24",5.86
"152","2018-07-25",5.91
"153","2018-07-26",5.87
"154","2018-07-27",5.63
"155","2018-07-30",5.55
"156","2018-07-31",5.72
"157","2018-08-01",5.6
"158","2018-08-02",5.39
"159","2018-08-03",5.2
"160","2018-08-06",4.705
"161","2018-08-07",6.32
"162","2018-08-08",6.66
"163","2018-08-09",6.84
"164","2018-08-10",6.84
"165","2018-08-13",6.12
"166","2018-08-14",6.3
"167","2018-08-15",5.62
"168","2018-08-16",5.97
"169","2018-08-17",5.6
"170","2018-08-20",4.98
"171","2018-08-21",5.64
"172","2018-08-22",5.35
"173","2018-08-23",5.22
"174","2018-08-24",5.13
"175","2018-08-27",5.23
"176","2018-08-28",5.27
"177","2018-08-29",5.3
"178","2018-08-30",5.35
"179","2018-08-31",5.24
"180","2018-09-04",5.06
"181","2018-09-05",4.99
"182","2018-09-06",4.89
"183","2018-09-07",4.76
"184","2018-09-10",4.73
"185","2018-09-11",4.52
"186","2018-09-12",4.53
"187","2018-09-13",4.57
"188","2018-09-14",4.64
"189","2018-09-17",4.4
"190","2018-09-18",4.25
"191","2018-09-19",4.13
"192","2018-09-20",4.7
"193","2018-09-21",4.35
"194","2018-09-24",4.26
"195","2018-09-25",4.45
"196","2018-09-26",4.34
"197","2018-09-27",4.27
"198","2018-09-28",4.31
"199","2018-10-01",4.24
"200","2018-10-02",4.21
"201","2018-10-03",4.52
"202","2018-10-04",4.37
"203","2018-10-05",4.17
"204","2018-10-08",4.02
"205","2018-10-09",3.84
"206","2018-10-10",3.86
"207","2018-10-11",3.92
"208","2018-10-12",3.97
"209","2018-10-15",3.91
"210","2018-10-16",4.25
"211","2018-10-17",4.08
"212","2018-10-18",3.89
"213","2018-10-19",4.2
"214","2018-10-22",4.07
"215","2018-10-23",3.96
"216","2018-10-24",3.64
"217","2018-10-25",3.91
"218","2018-10-26",3.86
"219","2018-10-29",3.71
"220","2018-10-30",3.78
"221","2018-10-31",3.83
"222","2018-11-01",4.07
"223","2018-11-02",4.28
"224","2018-11-05",3.57
"225","2018-11-06",3.88
"226","2018-11-07",3.95
"227","2018-11-08",3.98
"228","2018-11-09",3.95
"229","2018-11-12",3.75
"230","2018-11-13",3.67
"231","2018-11-14",3.26
"232","2018-11-15",3.36
"233","2018-11-16",3.16
"234","2018-11-19",3.06
"235","2018-11-20",3
"236","2018-11-21",3.04
"237","2018-11-23",3.1
"238","2018-11-26",3.07
"239","2018-11-27",3.58
"240","2018-11-28",3.96
"241","2018-11-29",3.87
"242","2018-11-30",4.09
"243","2018-12-03",3.86
"244","2018-12-04",3.53
"245","2018-12-06",3.57
"246","2018-12-07",3.5
"247","2018-12-10",3.58
"248","2018-12-11",3.54
"249","2018-12-12",3.7
"250","2018-12-13",3.55
"251","2018-12-14",3.92
"252","2018-12-17",3.58
