"","date","WFC"
"191","2007-10-04",37.27
"192","2007-10-05",37.470001
"193","2007-10-08",36.959999
"194","2007-10-09",37.119999
"195","2007-10-10",36.619999
"196","2007-10-11",36.32
"197","2007-10-12",36.040001
"198","2007-10-15",35.950001
"199","2007-10-16",34.549999
"200","2007-10-17",34.27
"201","2007-10-18",33.5
"202","2007-10-19",32.860001
"203","2007-10-22",33.82
"204","2007-10-23",33.759998
"205","2007-10-24",34.040001
"206","2007-10-25",33.810001
"207","2007-10-26",34.549999
"208","2007-10-29",34.130001
"209","2007-10-30",34
"210","2007-10-31",34.009998
"211","2007-11-01",32.110001
"212","2007-11-02",32.310001
"213","2007-11-05",31.93
"214","2007-11-06",32.950001
"215","2007-11-07",30.76
"216","2007-11-08",31.48
"217","2007-11-09",31.66
"218","2007-11-12",32.349998
"219","2007-11-13",33.889999
"220","2007-11-14",33.25
"221","2007-11-15",31.969999
"222","2007-11-16",31.139999
"223","2007-11-19",30.530001
"224","2007-11-20",30.42
"225","2007-11-21",29.92
"226","2007-11-23",30.84
"227","2007-11-26",29.49
"228","2007-11-27",29.83
"229","2007-11-28",30.719999
"230","2007-11-29",30.540001
"231","2007-11-30",32.43
"232","2007-12-03",31.84
"233","2007-12-04",31.76
"234","2007-12-05",32.400002
"235","2007-12-06",32.59
"236","2007-12-07",31.709999
"237","2007-12-10",32.639999
"238","2007-12-11",30.77
"239","2007-12-12",30.67
"240","2007-12-13",30.559999
"241","2007-12-14",30.07
"242","2007-12-17",30.07
"243","2007-12-18",30.32
"244","2007-12-19",30.620001
"245","2007-12-20",30.370001
"246","2007-12-21",30.370001
"247","2007-12-24",31.200001
"248","2007-12-26",31.26
"249","2007-12-27",30.299999
"250","2007-12-28",30.09
"251","2007-12-31",30.190001
"252","2008-01-02",29.1
"253","2008-01-03",28.52
"254","2008-01-04",27.49
"255","2008-01-07",27.68
"256","2008-01-08",26.5
"257","2008-01-09",27.040001
"258","2008-01-10",27.91
"259","2008-01-11",28.200001
"260","2008-01-14",28.209999
"261","2008-01-15",26.49
"262","2008-01-16",27.370001
"263","2008-01-17",26.129999
"264","2008-01-18",25.48
"265","2008-01-22",26.950001
"266","2008-01-23",29.379999
"267","2008-01-24",31.16
"268","2008-01-25",30.66
"269","2008-01-28",31.799999
"270","2008-01-29",32.599998
"271","2008-01-30",32.759998
"272","2008-01-31",34.080002
"273","2008-02-01",33.650002
"274","2008-02-04",31.389999
"275","2008-02-05",30.469999
"276","2008-02-06",30.08
"277","2008-02-07",30.459999
"278","2008-02-08",29.48
"279","2008-02-11",29.540001
"280","2008-02-12",29.92
"281","2008-02-13",30.469999
"282","2008-02-14",29.59
"283","2008-02-15",29.690001
"284","2008-02-19",29.860001
"285","2008-02-20",30.65
"286","2008-02-21",30.74
"287","2008-02-22",31.440001
"288","2008-02-25",31.690001
"289","2008-02-26",31.4
"290","2008-02-27",31.74
"291","2008-02-28",30.559999
"292","2008-02-29",29.23
"293","2008-03-03",28.870001
"294","2008-03-04",28.83
"295","2008-03-05",28.98
"296","2008-03-06",27.83
"297","2008-03-07",28.110001
"298","2008-03-10",27.889999
"299","2008-03-11",30.82
"300","2008-03-12",29.540001
"301","2008-03-13",29.48
"302","2008-03-14",28.450001
"303","2008-03-17",28.780001
"304","2008-03-18",31.540001
"305","2008-03-19",30.58
"306","2008-03-20",32.549999
"307","2008-03-24",32.09
"308","2008-03-25",32.060001
"309","2008-03-26",30.809999
"310","2008-03-27",30.26
"311","2008-03-28",29.35
"312","2008-03-31",29.1
"313","2008-04-01",31.49
"314","2008-04-02",30.530001
"315","2008-04-03",30.790001
"316","2008-04-04",30.93
"317","2008-04-07",30.790001
"318","2008-04-08",29.93
"319","2008-04-09",29.450001
"320","2008-04-10",28.52
"321","2008-04-11",27.969999
"322","2008-04-14",27.200001
"323","2008-04-15",27.809999
"324","2008-04-16",29.01
"325","2008-04-17",29.709999
"326","2008-04-18",30.4
"327","2008-04-21",29.27
"328","2008-04-22",29.379999
"329","2008-04-23",28.92
"330","2008-04-24",29.85
"331","2008-04-25",30.59
"332","2008-04-28",30.34
"333","2008-04-29",29.879999
"334","2008-04-30",29.75
"335","2008-05-01",31.18
"336","2008-05-02",31.139999
"337","2008-05-05",31.15
"338","2008-05-06",31.27
"339","2008-05-07",29.9
"340","2008-05-08",29.379999
"341","2008-05-09",29.33
"342","2008-05-12",29.76
"343","2008-05-13",28.969999
"344","2008-05-14",28.91
"345","2008-05-15",29.6
"346","2008-05-16",28.950001
"347","2008-05-19",28.48
"348","2008-05-20",28.049999
"349","2008-05-21",27.700001
"350","2008-05-22",27.91
"351","2008-05-23",27.68
"352","2008-05-27",27.559999
"353","2008-05-28",27.469999
"354","2008-05-29",27.98
"355","2008-05-30",27.57
"356","2008-06-02",27.110001
"357","2008-06-03",26.780001
"358","2008-06-04",26.639999
"359","2008-06-05",27.200001
"360","2008-06-06",25.42
"361","2008-06-09",25.27
"362","2008-06-10",25.91
"363","2008-06-11",25.549999
"364","2008-06-12",26.02
"365","2008-06-13",26.08
"366","2008-06-16",26.379999
"367","2008-06-17",25.4
"368","2008-06-18",25.43
"369","2008-06-19",25.629999
"370","2008-06-20",24.5
"371","2008-06-23",24.26
"372","2008-06-24",25.200001
"373","2008-06-25",25.4
"374","2008-06-26",24.07
"375","2008-06-27",24.030001
"376","2008-06-30",23.75
"377","2008-07-01",24.120001
"378","2008-07-02",23.59
"379","2008-07-03",23.92
"380","2008-07-07",23.52
"381","2008-07-08",24.67
"382","2008-07-09",23.709999
"383","2008-07-10",23.610001
"384","2008-07-11",23
"385","2008-07-14",21.57
"386","2008-07-15",20.51
"387","2008-07-16",27.23
"388","2008-07-17",27.83
"389","2008-07-18",27.860001
"390","2008-07-21",27.540001
"391","2008-07-22",30.43
"392","2008-07-23",30.450001
"393","2008-07-24",29.15
"394","2008-07-25",29.09
"395","2008-07-28",27.93
"396","2008-07-29",30.459999
"397","2008-07-30",31.200001
"398","2008-07-31",30.27
"399","2008-08-01",30.5
"400","2008-08-04",30.18
"401","2008-08-05",31.540001
"402","2008-08-06",30.309999
"403","2008-08-07",29.01
"404","2008-08-08",30.17
"405","2008-08-11",31.610001
"406","2008-08-12",30.379999
"407","2008-08-13",29.290001
"408","2008-08-14",30.17
"409","2008-08-15",29.76
"410","2008-08-18",28.799999
"411","2008-08-19",27.790001
"412","2008-08-20",28.92
"413","2008-08-21",28.440001
"414","2008-08-22",29.360001
"415","2008-08-25",28.67
"416","2008-08-26",28.690001
"417","2008-08-27",28.91
"418","2008-08-28",30.43
"419","2008-08-29",30.27
