"","date","PHI"
"1","2007-01-03",51.950001
"2","2007-01-04",51.25
"3","2007-01-05",50.349998
"4","2007-01-08",50.700001
"5","2007-01-09",49.450001
"6","2007-01-10",49.34
"7","2007-01-11",49.360001
"8","2007-01-12",50.349998
"9","2007-01-16",49.310001
"10","2007-01-17",49.900002
"11","2007-01-18",51.200001
"12","2007-01-19",51.709999
"13","2007-01-22",52.150002
"14","2007-01-23",54.700001
"15","2007-01-24",56.27
"16","2007-01-25",55.07
"17","2007-01-26",54.439999
"18","2007-01-29",52.98
"19","2007-01-30",53.549999
"20","2007-01-31",52.619999
"21","2007-02-01",52.900002
"22","2007-02-02",52.299999
"23","2007-02-05",52.299999
"24","2007-02-06",52.990002
"25","2007-02-07",52.200001
"26","2007-02-08",51.389999
"27","2007-02-09",51.240002
"28","2007-02-12",51.18
"29","2007-02-13",51.189999
"30","2007-02-14",53
"31","2007-02-15",53.119999
"32","2007-02-16",53.040001
"33","2007-02-20",53.759998
"34","2007-02-21",53.450001
"35","2007-02-22",53.330002
"36","2007-02-23",53.639999
"37","2007-02-26",53.900002
"38","2007-02-27",47.400002
"39","2007-02-28",48.98
"40","2007-03-01",48.450001
"41","2007-03-02",48.810001
"42","2007-03-05",46.93
"43","2007-03-06",48
"44","2007-03-07",48.099998
"45","2007-03-08",48
"46","2007-03-09",48.310001
"47","2007-03-12",48.610001
"48","2007-03-13",46.880001
"49","2007-03-14",47.669998
"50","2007-03-15",46.630001
"51","2007-03-16",46.459999
"52","2007-03-19",46.950001
"53","2007-03-20",48.630001
"54","2007-03-21",50.299999
"55","2007-03-22",52.400002
"56","2007-03-23",52.150002
"57","2007-03-26",52.75
"58","2007-03-27",52.52
"59","2007-03-28",52
"60","2007-03-29",52.799999
"61","2007-03-30",52.799999
"62","2007-04-02",53.599998
"63","2007-04-03",53.959999
"64","2007-04-04",53.950001
"65","2007-04-05",53.349998
"66","2007-04-09",53.450001
"67","2007-04-10",53.150002
"68","2007-04-11",51.84
"69","2007-04-12",51.07
"70","2007-04-13",50.360001
"71","2007-04-16",51.150002
"72","2007-04-17",52.279999
"73","2007-04-18",52.5
"74","2007-04-19",52.060001
"75","2007-04-20",52.91
"76","2007-04-23",53.16
"77","2007-04-24",53.98
"78","2007-04-25",54.610001
"79","2007-04-26",54.169998
"80","2007-04-27",54.060001
"81","2007-04-30",53.41
"82","2007-05-01",53.599998
"83","2007-05-02",53.59
"84","2007-05-03",53.240002
"85","2007-05-04",53.639999
"86","2007-05-07",54
"87","2007-05-08",53.990002
"88","2007-05-09",54.27
"89","2007-05-10",53.709999
"90","2007-05-11",54.650002
"91","2007-05-14",54.560001
"92","2007-05-15",54.849998
"93","2007-05-16",55.09
"94","2007-05-17",54.66
"95","2007-05-18",54.790001
"96","2007-05-21",54.18
