"","date","KFRC"
"187","2007-09-28",12.86
"188","2007-10-01",13.3
"189","2007-10-02",13.27
"190","2007-10-03",13.25
"191","2007-10-04",13.26
"192","2007-10-05",13.8
"193","2007-10-08",13.69
"194","2007-10-09",13.3
"195","2007-10-10",12.5
"196","2007-10-11",13.17
"197","2007-10-12",13.28
"198","2007-10-15",13.17
"199","2007-10-16",13.2
"200","2007-10-17",13.1
"201","2007-10-18",12.86
"202","2007-10-19",12.25
"203","2007-10-22",12.66
"204","2007-10-23",12.53
"205","2007-10-24",12.44
"206","2007-10-25",12.44
"207","2007-10-26",12.63
"208","2007-10-29",12.24
"209","2007-10-30",12.08
"210","2007-10-31",12.04
"211","2007-11-01",11.79
"212","2007-11-02",11.68
"213","2007-11-05",11.7
"214","2007-11-06",11.83
"215","2007-11-07",11.57
"216","2007-11-08",11.76
"217","2007-11-09",11.71
"218","2007-11-12",11.79
"219","2007-11-13",12.04
"220","2007-11-14",12.06
"221","2007-11-15",11.9
"222","2007-11-16",11.54
"223","2007-11-19",11.18
"224","2007-11-20",11.23
"225","2007-11-21",10.98
"226","2007-11-23",11.56
"227","2007-11-26",10.93
"228","2007-11-27",10.72
"229","2007-11-28",10.99
"230","2007-11-29",10.94
"231","2007-11-30",10.85
"232","2007-12-03",10.25
"233","2007-12-04",10.17
"234","2007-12-05",10.37
"235","2007-12-06",10.52
"236","2007-12-07",10.59
"237","2007-12-10",10.57
"238","2007-12-11",10.16
"239","2007-12-12",10.52
"240","2007-12-13",10.38
"241","2007-12-14",9.89
"242","2007-12-17",9.42
"243","2007-12-18",9.77
"244","2007-12-19",9.39
"245","2007-12-20",9.4
"246","2007-12-21",9.75
"247","2007-12-24",9.79
"248","2007-12-26",10.18
"249","2007-12-27",9.78
"250","2007-12-28",9.76
"251","2007-12-31",9.75
"252","2008-01-02",8.94
"253","2008-01-03",9.06
"254","2008-01-04",8.49
"255","2008-01-07",8.9
"256","2008-01-08",8.76
"257","2008-01-09",9.1
"258","2008-01-10",9.09
"259","2008-01-11",8.72
"260","2008-01-14",8.92
"261","2008-01-15",8.72
"262","2008-01-16",8.85
"263","2008-01-17",8.55
"264","2008-01-18",8.15
"265","2008-01-22",7.86
"266","2008-01-23",7.94
"267","2008-01-24",8.26
"268","2008-01-25",8.37
"269","2008-01-28",8.44
"270","2008-01-29",8.55
"271","2008-01-30",8.91
"272","2008-01-31",8.9
"273","2008-02-01",8.95
"274","2008-02-04",9.01
"275","2008-02-05",8.75
"276","2008-02-06",8.78
"277","2008-02-07",8.77
"278","2008-02-08",8.5
"279","2008-02-11",8.43
"280","2008-02-12",8.35
"281","2008-02-13",8.38
"282","2008-02-14",8.06
"283","2008-02-15",8.09
"284","2008-02-19",8.05
"285","2008-02-20",8.05
"286","2008-02-21",8.24
"287","2008-02-22",8.46
"288","2008-02-25",8.37
"289","2008-02-26",8.94
"290","2008-02-27",8.99
"291","2008-02-28",8.83
